Branch PC,Accuracy,Mispredictions,Correct Predictions,Total,dir_t_pred_t,dir_t_pred_nt,dir_nt_pred_t,dir_nt_pred_nt
aggregate,99.0738%,183214,19598860,19782074,8000147,77611,105603,11598713
0x4bedf9,83.0118%,103113,503857,606970,374342,31177,71936,129515
0x4c5c06,81.0248%,13172,56245,69417,33762,7750,5422,22483
0x4bf7d5,96.9114%,9649,302761,312410,389,9368,281,302372
0x4c8761,97.1837%,7906,272820,280726,56004,2377,5529,216816
0x50fc12,95.5229%,6983,148987,155970,530,5928,1055,148457
0x4c5c31,74.6741%,6275,18502,24777,14688,2234,4041,3814
0x4c6bb0,97.9837%,4393,213477,217870,299,4246,147,213178
0x4be97a,62.6116%,4272,7154,11426,4331,1926,2346,2823
0x4bf7d9,98.978%,3093,299560,302653,299391,126,2967,169
0x50feb6,93.2544%,2531,34990,37521,14049,1979,552,20941
0x4bedd7,99.5936%,2477,606963,609440,6,2464,13,606957
0x4ba40c,88.8295%,2381,18934,21315,16813,263,2118,2121
0x4bf8b4,99.4075%,1851,310552,312403,309197,148,1703,1355
0x4c4988,93.5396%,1487,21530,23017,1338,1315,172,20192
0x4c5c1f,94.6788%,1463,26031,27494,1671,1046,417,24360
0x4c6bb9,99.4497%,1174,212151,213325,211984,23,1151,167
0x4be9c1,76.9702%,1090,3643,4733,3349,170,920,294
0x479c65,82.9306%,989,4805,5794,47,852,137,4758
0x50fe02,87.8854%,727,5274,6001,5266,42,685,8
0x50fc1e,99.5739%,637,148875,149512,148781,11,626,94
0x4be9b3,88.7929%,597,4730,5327,28,566,31,4702
0x50fcff,98.3904%,374,22861,23235,22861,5,369,0
0x4c7ef0,91.4315%,331,3532,3863,3531,13,318,1
0x4ca08a,99.9406%,317,532918,533235,280786,108,209,252132
0x4c5c18,98.8676%,316,27589,27905,133,278,38,27456
0x4be9ca,76.2768%,288,926,1214,198,204,84,728
0x4cbcb0,97.8841%,245,11334,11579,11084,76,169,250
0x4ba887,99.5833%,234,55919,56153,55919,2,232,0
0x4c64da,99.8978%,231,225902,226133,120002,102,129,105900
0x50fec1,99.0648%,201,21292,21493,4189,175,26,17103
0x4c02ce,92.834%,177,2293,2470,270,119,58,2023
0x4c9fcb,92.1604%,176,2069,2245,823,124,52,1246
0x4c5c38,97.7721%,175,7680,7855,5,161,14,7675
0x4b8dbd,97.4464%,125,4770,4895,3785,55,70,985
0x50fe76,93.3447%,117,1641,1758,649,102,15,992
0x47b38c,98.0691%,114,5790,5904,0,112,2,5790
0x4ca0c8,99.9616%,97,252244,252341,234465,28,69,17779
0x50feaa,99.7505%,94,37574,37668,71,76,18,37503
0x4ba510,97.4558%,92,3524,3616,1067,49,43,2457
0x4c9ecc,95.9484%,91,2155,2246,690,81,10,1465
0x50fd04,76.1518%,88,281,369,269,14,74,12
0x4b9f2e,98.5377%,62,4178,4240,2303,27,35,1875
0x4c6bd4,99.0265%,57,5798,5855,631,40,17,5167
0x4c466b,99.9783%,56,257750,257806,1686,51,5,256064
0x50fde6,98.9771%,55,5322,5377,0,48,7,5322
