Branch PC,Accuracy,Mispredictions,Correct Predictions,Total,dir_t_pred_t,dir_t_pred_nt,dir_nt_pred_t,dir_nt_pred_nt
aggregate,99.7335%,186379,69737825,69924204,23517749,165054,21325,46220076
0x40f7c3,99.3071%,152369,21838284,21990653,129743,152360,9,21708541
0xa52640,90.1331%,18905,172695,191600,171617,1431,17474,1078
0xa525bb,79.6652%,5151,20180,25331,319,4619,532,19861
0xa52623,80.5654%,4922,20404,25326,3377,3397,1525,17027
0xa525ea,72.0988%,2825,7300,10125,1678,1699,1126,5622
0xa525f7,72.8216%,1834,4914,6748,409,1406,428,4505
0xa52200,93.9716%,51,795,846,733,17,34,62
0x40e3aa,99.0311%,42,4293,4335,4285,0,42,8
0xa521e4,92.0455%,35,405,440,340,4,31,65
0x40f54b,99.9887%,32,282071,282103,21,24,8,282050
0xa52180,93.6652%,28,414,442,413,3,25,1
0xa4c449,99.9047%,25,26200,26225,423,25,0,25777
0xa521db,54.7619%,19,23,42,5,13,6,18
0xa521b4,75%,16,48,64,35,7,9,13
0x40f894,99.9947%,15,282093,282108,256773,0,15,25320
0xa5223c,97.5%,11,429,440,4,8,3,425
0xa5236c,97.9358%,9,427,436,351,1,8,76
0xa52242,98.3645%,7,421,428,0,4,3,421
0x40d44f,66.6667%,6,12,18,11,1,5,1
0x40d412,98.6239%,6,430,436,428,2,4,2
0x40f7d4,100%,5,21708544,21708549,21708544,0,5,0
0x40e289,99.8848%,5,4335,4340,0,5,0,4335
0x40f719,99.9991%,5,564111,564116,564111,0,5,0
0xa52602,99.8519%,5,3372,3377,0,5,0,3372
0xa52290,99.4764%,4,760,764,0,0,4,760
0xa52296,99.4764%,4,760,764,421,3,1,339
0x40d4a5,99.0826%,4,432,436,432,0,4,0
0xa521bc,81.8182%,4,18,22,18,2,2,0
0xa52238,99.3182%,3,437,440,0,0,3,437
0xa52279,75%,3,9,12,9,3,0,0
0xa51668,60%,2,3,5,3,0,2,0
0x40d406,99.5413%,2,434,436,0,0,2,434
0xa523f2,0%,2,0,2,0,0,2,0
0xa5245a,60%,2,3,5,0,0,2,3
0xa516d4,0%,2,0,2,0,2,0,0
0x40d5b8,50%,1,1,2,1,1,0,0
0xa52326,99.7706%,1,435,436,431,1,0,4
0xa516f0,50%,1,1,2,1,1,0,0
0x40d44a,94.4444%,1,17,18,0,0,1,17
0x40d414,83.3333%,1,5,6,5,1,0,0
0x40e1e4,99.9767%,1,4284,4285,4284,1,0,0
0xa522ca,99.7706%,1,435,436,435,1,0,0
0xa522bf,99.7706%,1,435,436,0,0,1,435
0xa5138e,83.3333%,1,5,6,0,1,0,5
0xa51796,50%,1,1,2,1,1,0,0
0xa5224b,99.7642%,1,423,424,423,1,0,0
0x40d5e9,50%,1,1,2,0,0,1,1
0x40f542,99.9996%,1,282102,282103,0,0,1,282102
0xa5233d,75%,1,3,4,0,0,1,3
0xa51671,50%,1,1,2,0,0,1,1
0x40d59e,50%,1,1,2,1,1,0,0
0x40d601,50%,1,1,2,1,1,0,0
0xa5238f,50%,1,1,2,1,1,0,0
0x40e11a,80%,1,4,5,4,1,0,0
0x40e294,100%,0,4335,4335,4335,0,0,0
0xa52332,100%,0,4,4,0,0,0,4
0x40f59e,100%,0,5,5,5,0,0,0
0x40f8ad,100%,0,25335,25335,25335,0,0,0
0x40e137,100%,0,5,5,0,0,0,5
0x40f8ca,100%,0,25335,25335,0,0,0,25335
0x40e4a5,100%,0,4340,4340,4335,0,0,5
0x40e2b0,100%,0,4335,4335,4335,0,0,0
0x40f56a,100%,0,5,5,0,0,0,5
0x40e2d1,100%,0,5,5,0,0,0,5
0x40e400,100%,0,4285,4285,165,0,0,4120
0x40e140,100%,0,5,5,0,0,0,5
0xa51752,100%,0,2,2,0,0,0,2
0x40f7b7,100%,0,282108,282108,0,0,0,282108
0x40e1b9,100%,0,4285,4285,0,0,0,4285
0x40f5bd,100%,0,5,5,5,0,0,0
0x40f61d,100%,0,45,45,0,0,0,45
0x40e5a2,100%,0,5,5,0,0,0,5
0x40e50b,100%,0,5,5,5,0,0,0
0x40e383,100%,0,15,15,5,0,0,10
0x40e2c3,100%,0,5,5,0,0,0,5
0x40e409,100%,0,4120,4120,4120,0,0,0
0x40e3bb,100%,0,50,50,0,0,0,50
0x40e1c6,100%,0,4285,4285,165,0,0,4120
0x40e1d3,100%,0,4285,4285,0,0,0,4285
0xa51632,100%,0,5,5,0,0,0,5
0x40e212,100%,0,50,50,50,0,0,0
0x40e17e,100%,0,165,165,0,0,0,165
0x40e167,100%,0,165,165,165,0,0,0
0x40e249,100%,0,4285,4285,0,0,0,4285
0x40d19f,100%,0,4290,4290,5,0,0,4285
0x40d589,100%,0,2,2,0,0,0,2
0x40e3cb,100%,0,4285,4285,0,0,0,4285
0x40e3a4,100%,0,4335,4335,0,0,0,4335
0x40f5e8,100%,0,5,5,5,0,0,0
0x40e39f,100%,0,4335,4335,0,0,0,4335
0x40f5e3,100%,0,5,5,0,0,0,5
0xa52408,100%,0,5,5,0,0,0,5
0x40f53d,100%,0,282103,282103,0,0,0,282103
0x40f7c5,100%,0,21708550,21708550,0,0,0,21708550
0x40f56f,100%,0,5,5,5,0,0,0
0xa515d9,100%,0,5,5,0,0,0,5
0x40e115,100%,0,5,5,0,0,0,5
0x40e430,100%,0,4120,4120,0,0,0,4120
0x40f703,100%,0,846174,846174,282058,0,0,564116
0x40d224,100%,0,5,5,5,0,0,0
0xa51737,100%,0,2,2,0,0,0,2
0x40d256,100%,0,5,5,5,0,0,0
0x40f60b,100%,0,5,5,5,0,0,0
0xa515f2,100%,0,5,5,5,0,0,0
0xa52428,100%,0,5,5,0,0,0,5
0x40d5ef,100%,0,2,2,0,0,0,2
0xa5176f,100%,0,2,2,2,0,0,0
0x40d59c,100%,0,2,2,0,0,0,2
0xa52283,100%,0,340,340,0,0,0,340
0xa52125,100%,0,2,2,2,0,0,0
0xa522e7,100%,0,436,436,0,0,0,436
0xa522f9,100%,0,436,436,436,0,0,0
0x40d480,100%,0,6,6,0,0,0,6
0xa52341,100%,0,4,4,0,0,0,4
0xa52379,100%,0,84,84,0,0,0,84
0x40e582,100%,0,5,5,5,0,0,0
0x40f555,100%,0,282058,282058,0,0,0,282058
0xa5172e,100%,0,2,2,0,0,0,2
0xa51374,100%,0,6,6,0,0,0,6
0x40e398,100%,0,10,10,10,0,0,0
0x40e3d1,100%,0,4285,4285,0,0,0,4285
0x40e1dc,100%,0,4285,4285,4120,0,0,165
0x40f791,100%,0,25335,25335,0,0,0,25335
0x40f7a0,100%,0,25335,25335,0,0,0,25335
0xa52685,100%,0,25326,25326,25326,0,0,0
0xa526fc,100%,0,6,6,6,0,0,0
0x40d436,100%,0,6,6,0,0,0,6
0xa513ab,100%,0,5,5,5,0,0,0
0x40e21d,100%,0,50,50,0,0,0,50
0x40d1fe,100%,0,5,5,5,0,0,0
0x40d197,100%,0,4290,4290,0,0,0,4290
0x40f514,100%,0,282108,282108,282108,0,0,0
0x40f532,100%,0,282103,282103,0,0,0,282103
0x40e2c8,100%,0,5,5,0,0,0,5
0xa52660,100%,0,25326,25326,0,0,0,25326
0x40d1a7,100%,0,4285,4285,4285,0,0,0
0x40f52d,100%,0,282108,282108,5,0,0,282103
0xa4c41f,100%,0,26225,26225,26225,0,0,0
