Branch PC,Accuracy,Mispredictions,Correct Predictions,Total,dir_t_pred_t,dir_t_pred_nt,dir_nt_pred_t,dir_nt_pred_nt
aggregate,99.9171%,21809,26298527,26320336,18537334,10381,11428,7761193
0x42f195,86.1291%,6033,37461,43494,30422,2616,3417,7039
0x42e6b3,84.2269%,3095,16527,19622,3746,1947,1148,12781
0x42ff97,80.8217%,2670,11252,13922,10412,496,2174,840
0x42fff7,93.0703%,1493,20052,21545,82,1274,219,19970
0x42f14e,99.3667%,1363,213864,215227,32549,628,735,181315
0x42e0fa,95.9569%,1050,24920,25970,21464,278,772,3456
0x42fe5c,97.3297%,818,29815,30633,27448,327,491,2367
0x42f3cb,98.1622%,804,42944,43748,9452,478,326,33492
0x42e038,97.3945%,687,25680,26367,13096,480,207,12584
0x430015,96.9509%,677,21526,22203,21354,191,486,172
0x461cae,99.0741%,539,57675,58214,35144,288,251,22531
0x42dbb8,87.8922%,301,2185,2486,1008,188,113,1177
0x42ee5d,99.416%,254,43240,43494,6857,156,98,36383
0x42edb9,96.3422%,230,6058,6288,398,113,117,5660
0x42ee76,99.92%,229,285881,286110,6144,174,55,279737
0x42e09b,99.9626%,193,515254,515447,488487,81,112,26767
0x42ee69,99.5258%,173,36308,36481,22624,68,105,13684
0x42ee82,99.9403%,167,279625,279792,16267,107,60,263358
0x42fe64,96.2177%,114,2900,3014,448,68,46,2452
0x42ffd6,96.9818%,91,2924,3015,956,44,47,1968
0x42fe4e,97.1135%,87,2927,3014,100,56,31,2827
0x42e575,97.2184%,80,2796,2876,1138,38,42,1658
0x42fe70,97.7107%,69,2945,3014,965,35,34,1980
0x42e8e3,99.8131%,40,21361,21401,19386,16,24,1975
0x42e130,99.9931%,40,582587,582627,555736,12,28,26851
0x42acdd,98.9807%,38,3690,3728,1829,19,19,1861
0x42effb,99.9661%,36,106125,106161,91378,15,21,14747
0x42ef31,99.9926%,31,416824,416855,373351,10,21,43473
0x42e317,97.8472%,31,1409,1440,227,17,14,1182
0x461c85,99.8872%,28,24792,24820,2027,11,17,22765
0x42e0d6,99.9577%,28,66239,66267,39890,9,19,26349
0x42f309,99.9986%,26,1866832,1866858,1735602,9,17,131230
0x42e7b3,99.963%,25,67547,67572,63867,11,14,3680
0x42e249,99.9889%,20,179962,179982,170936,4,16,9026
0x42f10e,99.9996%,17,3793605,3793622,3162583,3,14,631022
0x4074b0,99.088%,17,1847,1864,1847,0,17,0
0x4302e3,99.3554%,14,2158,2172,1325,5,9,833
0x42f389,99.9999%,13,9529069,9529082,8313684,4,9,1215385
0x42f13c,99.9701%,13,43481,43494,33168,9,4,10313
0x461c0c,99.9744%,13,50752,50765,24811,9,4,25941
0x42e938,99.8842%,11,9490,9501,7501,1,10,1989
0x461c12,99.9576%,11,25934,25945,5595,9,2,20339
0x42e0e7,99.9665%,9,26870,26879,22648,3,6,4222
0x42f076,99.9987%,9,670997,671006,600532,5,4,70465
0x42eeb5,99.9816%,8,43486,43494,20299,7,1,23187
0x42f014,99.9816%,8,43486,43494,17580,4,4,25906
0x461c28,99.9656%,7,20334,20341,17827,3,4,2507
0x42a6ed,99.8391%,6,3722,3728,2,6,0,3720
0x42e507,99.9692%,6,19456,19462,10,6,0,19446
0x42e29c,99.9816%,6,32562,32568,31150,2,4,1412
0x42f2bc,99.9954%,6,131241,131247,87495,3,3,43746
0x42b9b2,99.1639%,5,593,598,352,2,3,241
0x42efa1,99.9653%,4,11515,11519,4610,3,1,6905
