Branch PC,Accuracy,Mispredictions,Correct Predictions,Total,dir_t_pred_t,dir_t_pred_nt,dir_nt_pred_t,dir_nt_pred_nt
aggregate,99.1001%,169863,18705391,18875254,8262129,93607,76256,10443262
0x403003,97.8263%,102203,4599561,4701764,59827,65218,36985,4539734
0x402e07,95.6362%,50574,1108366,1158940,364332,17983,32591,744034
0x402f45,96.3522%,13946,368369,382315,173377,9137,4809,194992
0x402dd2,99.7566%,2836,1162126,1164962,1157895,1045,1791,4231
0x403078,99.9944%,257,4576463,4576720,74532,224,33,4501931
0x40312b,99.9959%,47,1158893,1158940,1158893,0,47,0
0x41aca6,100%,0,47,47,0,0,0,47
0x403104,100%,0,382315,382315,382315,0,0,0
0x41ac8d,100%,0,47,47,0,0,0,47
0x41d36f,100%,0,47,47,0,0,0,47
0x41acd8,100%,0,47,47,0,0,0,47
0x41d37f,100%,0,47,47,0,0,0,47
0x41a7d5,100%,0,47,47,47,0,0,0
0x41d3a7,100%,0,47,47,47,0,0,0
0x41d3d1,100%,0,47,47,47,0,0,0
0x41d4c4,100%,0,47,47,47,0,0,0
0x41a9c5,100%,0,47,47,47,0,0,0
0x41d49a,100%,0,47,47,0,0,0,47
0x41d3fc,100%,0,47,47,0,0,0,47
0x41accb,100%,0,47,47,0,0,0,47
0x402d83,100%,0,47,47,0,0,0,47
0x41a78a,100%,0,47,47,0,0,0,47
0x41ac99,100%,0,47,47,0,0,0,47
0x41a830,100%,0,47,47,0,0,0,47
0x41a84a,100%,0,47,47,47,0,0,0
0x41a7b5,100%,0,47,47,0,0,0,47
0x41ac56,100%,0,47,47,0,0,0,47
0x402dde,100%,0,6022,6022,6022,0,0,0
0x4030a9,100%,0,182514,182514,0,0,0,182514
0x41d4a4,100%,0,47,47,0,0,0,47
0x41d485,100%,0,47,47,47,0,0,0
0x41d47c,100%,0,47,47,0,0,0,47
0x41d44c,100%,0,47,47,47,0,0,0
0x41d430,100%,0,47,47,47,0,0,0
0x41d423,100%,0,47,47,0,0,0,47
0x41d408,100%,0,47,47,0,0,0,47
0x41ad07,100%,0,47,47,47,0,0,0
0x402cbd,100%,0,47,47,47,0,0,0
0x402c86,100%,0,47,47,0,0,0,47
0x402fd9,100%,0,199801,199801,0,0,0,199801
0x403167,100%,0,47,47,47,0,0,0
0x41acbf,100%,0,47,47,0,0,0,47
0x403094,100%,0,4576719,4576719,4501963,0,0,74756
0x41d393,100%,0,47,47,0,0,0,47
0x402d90,100%,0,47,47,0,0,0,47
0x41d3b8,100%,0,47,47,0,0,0,47
0x41acb2,100%,0,47,47,0,0,0,47
0x402e25,100%,0,382315,382315,382315,0,0,0
0x41a88d,100%,0,47,47,0,0,0,47
0x402d4a,100%,0,47,47,0,0,0,47
0x41d411,100%,0,47,47,47,0,0,0
0x41ace0,100%,0,47,47,47,0,0,0
0x41d43f,100%,0,47,47,0,0,0,47
