Branch PC,Accuracy,Mispredictions,Correct Predictions,Total,dir_t_pred_t,dir_t_pred_nt,dir_nt_pred_t,dir_nt_pred_nt
aggregate,99.9783%,236,1086492,1086728,434538,10,226,651954
0x8d42d5,99.397%,218,35932,36150,35932,0,218,0
0xa09375,70%,3,7,10,5,2,1,2
0xa2c587,33.3333%,2,1,3,1,1,1,0
0x8d42fd,99.0826%,2,216,218,216,1,1,0
0xa09062,75%,2,6,8,2,1,1,4
0x9ebc69,94.2857%,2,33,35,29,1,1,4
0xa2c605,80%,2,8,10,8,1,1,0
0xa0903d,90%,1,9,10,1,1,0,8
0xa25a31,99.9986%,1,72300,72301,0,1,0,72300
0x9ecc6c,94.7368%,1,18,19,0,0,1,18
0x9ebcbc,94.7368%,1,18,19,18,0,1,0
0xa087cb,96.9697%,1,32,33,25,1,0,7
0x9ebbd2,100%,0,8,8,0,0,0,8
0xa67ccc,100%,0,12,12,0,0,0,12
0xa088c7,100%,0,6,6,1,0,0,5
0xa258dd,100%,0,72301,72301,0,0,0,72301
0xa2c460,100%,0,1,1,0,0,0,1
0xa092b5,100%,0,48,48,10,0,0,38
0xa25a2b,100%,0,72301,72301,0,0,0,72301
0xa18899,100%,0,36150,36150,36150,0,0,0
0xa189b4,100%,0,36150,36150,0,0,0,36150
0x8d431d,100%,0,1,1,1,0,0,0
0xa2c397,100%,0,1,1,0,0,0,1
0xa2c43e,100%,0,1,1,0,0,0,1
0xa090e2,100%,0,10,10,0,0,0,10
0xa09338,100%,0,18,18,18,0,0,0
0xa2c44c,100%,0,4,4,3,0,0,1
0xa08a04,100%,0,5,5,0,0,0,5
0x8d12c4,100%,0,36150,36150,36150,0,0,0
0xa096a5,100%,0,1,1,1,0,0,0
0xa67cd2,100%,0,12,12,9,0,0,3
0xa258af,100%,0,72301,72301,0,0,0,72301
0xa08a7f,100%,0,1,1,0,0,0,1
0xa0978b,100%,0,1,1,0,0,0,1
0x9e6fa9,100%,0,72301,72301,72301,0,0,0
0xa0971f,100%,0,1,1,0,0,0,1
0x9e71d9,100%,0,36150,36150,36150,0,0,0
0xa091f4,100%,0,10,10,2,0,0,8
0xa0886c,100%,0,7,7,7,0,0,0
0xa2c487,100%,0,1,1,1,0,0,0
0xa08a19,100%,0,4,4,1,0,0,3
0xa09294,100%,0,48,48,20,0,0,28
0x9e7186,100%,0,36150,36150,0,0,0,36150
0xa18532,100%,0,36150,36150,36150,0,0,0
0xa18885,100%,0,36150,36150,0,0,0,36150
0xa089fb,100%,0,5,5,0,0,0,5
0xa08d13,100%,0,1,1,1,0,0,0
0xa09056,100%,0,9,9,1,0,0,8
0xa091a4,100%,0,10,10,10,0,0,0
0xa09282,100%,0,10,10,0,0,0,10
0xa2c5e7,100%,0,9,9,0,0,0,9
0xa096d8,100%,0,1,1,1,0,0,0
0xa092ee,100%,0,56,56,18,0,0,38
0xa08806,100%,0,9,9,2,0,0,7
0xa09081,100%,0,10,10,0,0,0,10
0xa0916f,100%,0,8,8,2,0,0,6
0x9ebbb5,100%,0,8,8,8,0,0,0
