Branch PC,Accuracy,Mispredictions,Correct Predictions,Total,dir_t_pred_t,dir_t_pred_nt,dir_nt_pred_t,dir_nt_pred_nt
aggregate,97.1508%,764645,26072615,26837260,10125421,421406,343239,15947194
0x471355,73.4342%,273737,756676,1030413,223408,166030,107707,533268
0x471357,82.7438%,110608,530367,640975,420670,34526,76082,109697
0x471374,59.1256%,75936,109843,185779,60247,36333,39603,49596
0x471328,95.7808%,46028,1044878,1090906,9337,43416,2612,1035541
0x4712b5,87.9126%,36813,267743,304556,252871,7807,29006,14872
0x47139c,96.9539%,31623,1006530,1038153,1472,30174,1449,1005058
0x55bb1a,88.6779%,25533,199982,225515,87837,14526,11007,112145
0x55bb07,91.9134%,19618,222982,242600,111240,11912,7706,111742
0x5510fc,87.8613%,19496,141114,160610,28501,12867,6629,112613
0x54ff6f,76.5707%,18921,61837,80758,37257,9086,9835,24580
0x54ff31,78.0022%,17765,62993,80758,53061,5956,11809,9932
0x4712b3,95.6964%,14850,330206,345056,32982,7518,7332,297224
0x55bb3b,92.7691%,8905,114247,123152,57372,4226,4679,56875
0x471334,99.244%,7848,1030305,1038153,38,7702,146,1030267
0x54ff95,82.1822%,6132,28283,34415,10368,2892,3240,17915
0x47139e,99.5501%,4528,1001979,1006507,994324,126,4402,7655
0x6408b8,92.0074%,4443,51146,55589,42156,1815,2628,8990
0x6291ab,95.2153%,4426,88078,92504,5904,3107,1319,82174
0x550b40,84.367%,3176,17140,20316,112,2907,269,17028
0x64cb0d,91.197%,3024,31328,34352,2073,2310,714,29255
0x54ff3d,88.9196%,2409,19332,21741,18979,432,1977,353
0x54517e,69.7093%,2157,4964,7121,1671,1252,905,3293
0x416e79,98.3735%,1789,108199,109988,36432,778,1011,71767
0x416e82,97.5583%,1777,71001,72778,51940,1010,767,19061
0x5458ae,71.171%,1423,3513,4936,1698,738,685,1815
0x558424,87.5595%,1202,8460,9662,591,1114,88,7869
0x54536e,84.2275%,1079,5762,6841,1170,767,312,4592
0x5549b7,94.9864%,1011,19154,20165,24,992,19,19130
0x544c93,93.0223%,987,13158,14145,2,966,21,13156
0x544cc7,93.3894%,935,13209,14144,13160,16,919,49
0x558412,92.2143%,885,10482,11367,889,816,69,9593
