Branch PC,Accuracy,Mispredictions,Correct Predictions,Total,dir_t_pred_t,dir_t_pred_nt,dir_nt_pred_t,dir_nt_pred_nt
aggregate,98.84%,232386,19801252,20033638,10629981,113174,119212,9171271
0x1147781,83.944%,20351,106399,126750,71539,11293,9058,34860
0x1147007,92.598%,16112,201560,217672,100679,7464,8648,100881
0x114836b,92.3821%,12559,152303,164862,57696,7610,4949,94607
0x11479b8,97.6977%,11727,497634,509361,119618,7131,4596,378016
0x162634e,75.4416%,7772,23875,31647,4805,5679,2093,19070
0x1148112,95.3464%,7672,157190,164862,129673,4488,3184,27517
0x114821f,96.081%,6461,158401,164862,127659,3161,3300,30742
0x11477b5,86.5818%,5893,38025,43918,9599,3591,2302,28426
0x1148356,96.4303%,5885,158977,164862,48478,3402,2483,110499
0x1626359,73.3072%,5649,15514,21163,3340,3873,1776,12174
0x1146216,89.1781%,5350,44087,49437,19396,3114,2236,24691
0x114b11d,91.1264%,4763,48913,53676,19200,2709,2054,29713
0x11477ba,85.3293%,4508,26220,30728,19815,2387,2121,6405
0x11479c2,98.8461%,4415,378197,382612,377454,282,4133,743
0x1625fec,98.8455%,3884,332548,336432,332520,79,3805,28
0x114ad85,92.9727%,3772,49904,53676,32545,1755,2017,17359
0x11477ef,97.1763%,3579,123171,126750,121261,614,2965,1910
0x1146117,93.0154%,3453,45984,49437,36377,1834,1619,9607
0x114701e,98.4775%,3314,214358,217672,208719,581,2733,5639
0x114e7fb,94.2493%,3197,52396,55593,10505,1543,1654,41891
0x11473f9,62.4224%,3146,5226,8372,3307,1568,1578,1919
0x114e1a5,93.4154%,2771,39312,42083,23064,826,1945,16248
0x1146501,94.0133%,2694,42306,45000,16812,1135,1559,25494
0x114d779,95.2044%,2666,52927,55593,43650,1541,1125,9277
0x114b111,95.674%,2322,51354,53676,16092,1222,1100,35262
0x114f207,95.8736%,2294,53299,55593,35844,1199,1095,17455
0x114e100,89.5031%,2216,18895,21111,6331,1189,1027,12564
0x1148384,98.7098%,2127,162735,164862,162421,119,2008,314
0x114be27,96.3718%,2017,53576,55593,22697,1095,922,30879
0x1146426,95.6733%,1947,43053,45000,33439,1333,614,9614
0x114d7e3,96.7154%,1826,53767,55593,38550,767,1059,15217
0x1148102,98.8985%,1816,163046,164862,37898,1178,638,125148
0x114dff7,83.6518%,1805,9236,11041,5977,857,948,3259
0x114cb3f,95.7512%,1799,40542,42341,33635,934,865,6907
0x11462bb,96.6462%,1658,47779,49437,47481,125,1533,298
0x114e991,96.0936%,1654,40687,42341,40367,309,1345,320
0x114de33,96.1409%,1634,40707,42341,31118,963,671,9589
0x114adc2,97.0042%,1608,52068,53676,43288,754,854,8780
0x114dd53,97.1291%,1596,53997,55593,38974,739,857,15023
0x114f369,97.1579%,1580,54013,55593,10940,972,608,43073
0x114f25c,97.1579%,1580,54013,55593,9,1524,56,54004
0x114dd98,97.2407%,1534,54059,55593,44935,810,724,9124
0x114f35d,97.2694%,1518,54075,55593,1176,992,526,52899
0x114b9cf,88.9979%,1458,11794,13252,6365,830,628,5429
0x114ebb3,96.5613%,1456,40885,42341,13320,742,714,27565
0x114ecd3,96.6227%,1430,40911,42341,277,1353,77,40634
0x114d783,86.541%,1400,9002,10402,1341,907,493,7661
0x114d872,92.32%,1250,15026,16276,709,841,409,14317
0x114cc82,97.0643%,1243,41098,42341,35544,468,775,5554
0x114eb3a,97.0785%,1237,41104,42341,3180,735,502,37924
0x114e977,97.0997%,1228,41113,42341,15122,758,470,25991
0x114f1eb,97.8019%,1222,54371,55593,53579,480,742,792
0x114e150,91.7666%,1119,12472,13591,4035,602,517,8437
0x11465b1,97.5689%,1094,43906,45000,43071,262,832,835
0x114be56,96.8712%,995,30806,31801,610,667,328,30196
0x114debe,90.2776%,991,9202,10193,580,659,332,8622
0x114ca7d,92.8539%,947,12305,13252,2634,603,344,9671
0x114cd7a,86.0641%,882,5447,6329,1602,424,458,3845
0x114e082,97.9901%,851,41490,42341,21013,217,634,20477
0x114caea,96.1102%,837,20681,21518,19422,364,473,1259
0x114f294,98.5664%,797,54796,55593,54794,16,781,2
0x114cdf6,98.579%,790,54803,55593,54785,25,765,18
0x114e52f,98.579%,790,54803,55593,54803,7,783,0
0x114bec5,98.5826%,788,54805,55593,54793,17,771,12
0x114bc78,98.5862%,786,54807,55593,54807,3,783,0
0x114d8e8,98.5862%,786,54807,55593,54774,36,750,33
0x114a932,98.5412%,783,52893,53676,52893,27,756,0
0x114d3c9,98.5915%,783,54810,55593,54810,0,783,0
0x114efbc,98.5915%,783,54810,55593,54810,0,783,0
0x114b466,98.5915%,783,54810,55593,54810,0,783,0
0x114f37c,98.5933%,782,54811,55593,54808,2,780,3
0x114adf5,98.5673%,769,52907,53676,52902,18,751,5
0x1148aaa,98.5766%,764,52912,53676,52912,8,756,0
0x114be71,97.5976%,764,31037,31801,120,615,149,30917
0x114b13c,98.5841%,760,52916,53676,52888,32,728,28
0x114ecfc,98.2499%,741,41600,42341,6,711,30,41594
0x114ed85,98.6707%,739,54854,55593,54762,48,691,92
0x1147bd9,85.3128%,716,4159,4875,1685,393,323,2474
0x1146133,93.9694%,677,10549,11226,610,480,197,9939
0x114ebbc,98.4814%,643,41698,42341,41696,50,593,2
0x114e813,98.8668%,630,54963,55593,42124,217,413,12839
0x114ca66,98.8919%,616,54977,55593,42138,203,413,12839
0x114a60c,98.858%,613,53063,53676,12134,423,190,40929
0x114b985,98.9495%,584,55009,55593,12853,399,185,42156
0x114d896,96.1225%,571,14155,14726,5533,344,227,8622
0x114e285,95.2978%,514,10417,10931,6950,181,333,3467
0x114bbc8,91.8607%,493,5564,6057,4978,242,251,586
0x114f228,97.4553%,433,16583,17016,16520,62,371,63
0x114e8c1,96.7401%,432,12820,13252,10623,136,296,2197
0x114dfe0,99.2535%,415,55178,55593,44357,195,220,10821
0x1146c50,93.7014%,389,5787,6176,1065,237,152,4722
0x114e419,95.0289%,361,6901,7262,2920,209,152,3981
0x114de15,99.401%,333,55260,55593,13076,176,157,42184
0x1148a5d,99.4113%,316,53360,53676,0,309,7,53360
0x114a658,99.4802%,279,53397,53676,52908,12,267,489
0x1674495,97.9717%,271,13090,13361,3069,139,132,10021
0x1148a84,99.5473%,243,53433,53676,0,241,2,53433
0x1148a96,99.5883%,221,53455,53676,0,219,2,53455
0x1147412,94.9385%,177,3320,3497,1735,96,81,1585
0x1148a70,99.6889%,167,53509,53676,0,161,6,53509
0x114eb43,99.6221%,160,42181,42341,42181,7,153,0
0x114e49e,81.4815%,155,682,837,96,96,59,586
0x114e8d2,98.8605%,151,13101,13252,13100,6,145,1
0x16744be,99.5207%,148,30730,30878,20686,39,109,10044
0x11470a0,99.9354%,146,225898,226044,217651,21,125,8247
0x114cade,99.7805%,122,55471,55593,34023,52,70,21448
0x114c7b2,94.3176%,117,1942,2059,1482,65,52,460
0x16688f5,93.9655%,98,1526,1624,777,6,92,749
0x166a1f7,94.3539%,97,1621,1718,1238,4,93,383
0x11483a8,96.081%,91,2231,2322,2231,5,86,0
0x1147d0d,98.5915%,87,6090,6177,6090,0,87,0
0x114707e,99.962%,86,225958,226044,225936,12,74,22
0x1668755,97.2285%,86,3017,3103,1594,30,56,1423
0x114c771,96.6974%,68,1991,2059,703,28,40,1288
0x114eaaf,99.5321%,62,13190,13252,0,60,2,13190
0x1669c25,96.8816%,59,1833,1892,848,58,1,985
0x114e488,99.5699%,57,13195,13252,12414,1,56,781
0x1669c80,97.371%,54,2000,2054,923,1,53,1077
0x114d6ea,99.9083%,51,55542,55593,55527,8,43,15
0x1669e4c,94.8296%,44,807,851,568,22,22,239
0x1668901,95.0059%,42,799,841,500,22,20,299
0x114ae22,95.1058%,37,719,756,719,9,28,0
0x114a985,95.3704%,35,721,756,721,7,28,0
0x114ce49,95.7854%,33,750,783,750,4,29,0
0x166a1ee,99.2785%,33,4541,4574,2851,5,28,1690
0x1148abe,95.6349%,33,723,756,723,5,28,0
0x114f398,95.9132%,32,751,783,751,3,29,0
0x114cf40,99.9442%,31,55562,55593,54808,2,29,754
0x114f2d3,96.0409%,31,752,783,752,2,29,0
0x114eff5,96.1686%,30,753,783,753,1,29,0
0x114d93a,96.1686%,30,753,783,753,1,29,0
0x114b159,96.0317%,30,726,756,726,2,28,0
0x114bcf0,96.1686%,30,753,783,753,1,29,0
0x114c4c8,96.2963%,29,754,783,754,0,29,0
0x1148eee,96.164%,29,727,756,727,1,28,0
0x114b54f,98.5915%,29,2030,2059,2030,0,29,0
0x114b497,96.2963%,29,754,783,754,0,29,0
0x114c1ce,96.2963%,29,754,783,754,0,29,0
0x114cf4b,96.2963%,29,754,783,754,0,29,0
0x114d423,96.2963%,29,754,783,754,0,29,0
0x16680c9,94.1176%,29,464,493,0,29,0,464
0x114bf1c,96.2963%,29,754,783,751,3,26,3
0x114b62c,96.2963%,29,754,783,754,0,29,0
0x114edd3,96.424%,28,755,783,749,5,23,6
0x1148ffb,98.5915%,28,1960,1988,1960,0,28,0
0x1148da5,96.2963%,28,728,756,728,0,28,0
0x114ac7e,96.2963%,28,728,756,728,0,28,0
0x114aeef,96.2963%,28,728,756,728,0,28,0
0x1150646,96.3158%,28,732,760,732,0,28,0
0x1669e6a,98.5794%,28,1943,1971,1719,0,28,224
0x114a437,96.2963%,28,728,756,728,0,28,0
0x114feb7,96.2963%,28,728,756,728,0,28,0
0x114c86a,98.6401%,28,2031,2059,2027,3,25,4
0x114d6c8,99.9514%,27,55566,55593,0,26,1,55566
0x1669d14,97.0779%,27,897,924,225,27,0,672
0x114dd08,99.9532%,26,55567,55593,0,26,0,55567
0x114f166,99.9532%,26,55567,55593,0,26,0,55567
0x1668933,92.163%,25,294,319,145,0,25,149
0x114fe67,99.9627%,20,53656,53676,52920,0,20,736
0x114c0e9,99.8648%,18,13293,13311,12526,2,16,767
0x1147ae1,99.9855%,17,117472,117489,113102,1,16,4370
0x114aee0,99.9683%,17,53659,53676,52920,0,17,739
0x114a817,99.9702%,16,53660,53676,0,15,1,53660
0x114ec9c,99.9646%,15,42326,42341,0,13,2,42326
0x114cb26,99.9784%,12,55581,55593,13247,5,7,42334
0x1669c05,99.6053%,12,3028,3040,1147,1,11,1881
0x16260ca,99.9967%,11,332588,332599,109259,10,1,223329
0x46f1a6,99.9795%,11,53665,53676,52920,0,11,745
0x114f1da,99.9802%,11,55582,55593,4,8,3,55578
0x114b621,99.982%,10,55583,55593,54810,0,10,773
0x1147958,99.9973%,10,372850,372860,131616,9,1,241234
0x114c413,99.9781%,6,27399,27405,26622,0,6,777
0x16687df,99.5943%,6,1473,1479,81,6,0,1392
0x114e06f,99.9892%,6,55587,55593,13246,6,0,42341
0x11479cf,99.9954%,6,131619,131625,122365,0,6,9254
0x114ac60,99.9907%,5,53671,53676,52920,0,5,751
0x114ca07,99.4891%,4,779,783,0,0,4,779
0x114e47e,99.9928%,4,55589,55593,42339,2,2,13250
0x114ccf8,99.9526%,3,6326,6329,0,2,1,6326
0x114c89f,89.6552%,3,26,29,0,0,3,26
0x114de41,99.9708%,3,10257,10260,64,3,0,10193
0x114de26,99.9964%,2,55591,55593,13251,1,1,42340
0x1148cb0,99.9844%,2,12850,12852,12096,0,2,754
0x114e442,99.9953%,2,42339,42341,21228,2,0,21111
0x114e42c,99.9725%,2,7260,7262,3127,0,2,4133
0x114c7ec,99.6094%,2,510,512,0,0,2,510
0x1669e15,99.9496%,2,3967,3969,1996,2,0,1971
0x1147b93,99.9985%,2,131623,131625,126748,2,0,4875
0x114d745,96.5517%,2,56,58,0,0,2,56
0x114c83e,99.9029%,2,2057,2059,731,0,2,1326
0x1626373,99.9968%,1,31646,31647,31646,1,0,0
0x114f10b,99.8723%,1,782,783,0,0,1,782
0x1146557,99.9978%,1,44999,45000,0,0,1,44999
0x1147131,99.996%,1,25115,25116,16744,0,1,8371
0x166893c,99.4253%,1,173,174,86,1,0,87
0x1148a40,99.8677%,1,755,756,0,0,1,755
0x1625f37,99.9997%,1,336432,336433,336432,0,1,0
0x1147192,99.997%,1,33487,33488,25116,0,1,8371
0x1669e47,99.9493%,1,1970,1971,1119,1,0,851
