Branch PC,Accuracy,Mispredictions,Correct Predictions,Total,dir_t_pred_t,dir_t_pred_nt,dir_nt_pred_t,dir_nt_pred_nt
aggregate,99.1872%,186262,22730712,22916974,12877950,85424,100838,9852762
0xa7838e,95.6935%,5025,111660,116685,97993,1868,3157,13667
0xa39395,86.3794%,3929,24917,28846,12970,2021,1908,11947
0xa305cd,92.7998%,3927,50613,54540,21622,1988,1939,28991
0x62358e,92.8596%,3713,48287,52000,38083,2492,1221,10204
0xa39282,89.8634%,2924,25922,28846,17177,1601,1323,8745
0x64dac3,98.8979%,2645,237355,240000,200597,1317,1328,36758
0x652b74,97.3779%,2363,87754,90117,31010,1636,727,56744
0x65245a,95.9824%,2307,55115,57422,48282,937,1370,6833
0xa77dc5,95.1784%,2303,45461,47764,13694,1312,991,31767
0xa7827d,95.1021%,1720,33397,35117,13568,930,790,19829
0xa76a95,92.0293%,1696,19582,21278,6503,917,779,13079
0x64dace,95.8016%,1599,36487,38086,21315,771,828,15172
0xa77da5,97.7101%,1579,67377,68956,20379,813,766,46998
0xa77fb5,96.9625%,1503,47978,49481,25490,829,674,22488
0x655562,99.4151%,1424,242029,243453,229323,615,809,12706
0xa304d2,97.8588%,1408,64348,65756,19440,919,489,44908
0xa39234,95.6864%,1392,30878,32270,13986,645,747,16892
0xa76290,90.9663%,1349,13584,14933,4874,777,572,8710
0xa77fec,94.2354%,1299,21235,22534,17974,610,689,3261
0xa761d8,97.3639%,1293,47757,49050,8549,759,534,39208
0x64daf9,97.9117%,1253,58747,60000,58734,66,1187,13
0x927d6c,98.2741%,1150,65483,66633,62971,478,672,2512
0xa77ffd,93.5833%,1056,15401,16457,1598,721,335,13803
0x64ed43,93.3312%,1027,14373,15400,13824,328,699,549
0xa762de,91.7109%,1014,11219,12233,2857,624,390,8362
0xa78397,94.0383%,1003,15821,16824,7521,503,500,8300
0x64f32f,97.0221%,972,31668,32640,31668,156,816,0
0x9283a5,82.3809%,854,3993,4847,734,512,342,3259
0xa76aa1,93.989%,833,13025,13858,7755,408,425,5270
0x8c39f1,93.0917%,829,11171,12000,9642,358,471,1529
0x62362e,98.4096%,827,51173,52000,38669,331,496,12504
0x652462,90.0524%,816,7387,8203,3660,442,374,3727
0x8bf414,92.3365%,797,9603,10400,5839,515,282,3764
