Branch PC,Accuracy,Mispredictions,Correct Predictions,Total,dir_t_pred_t,dir_t_pred_nt,dir_nt_pred_t,dir_nt_pred_nt
aggregate,99.1775%,234387,28264221,28498608,23886353,53671,180716,4377868
0x8e36ee,99.02%,5322,537746,543068,493373,923,4399,44373
0x8e376d,96.0162%,1943,46829,48772,46829,573,1370,0
0x87a868,94.2477%,1491,24429,25920,18587,827,664,5842
0x78afb8,97.2203%,1441,50399,51840,49029,508,933,1370
0x77d947,97.2955%,1402,50438,51840,50351,529,873,87
0x86de8c,98.6722%,1325,98467,99792,97623,321,1004,844
0x8739c4,95.0309%,1288,24632,25920,22356,613,675,2276
0x87dd1c,94.9404%,1282,24056,25338,6228,536,746,17828
0x873ae4,95.1042%,1269,24651,25920,22375,594,675,2276
0x873a36,95.1427%,1259,24661,25920,22362,607,652,2299
0x873b44,95.1505%,1257,24663,25920,2262,689,568,22401
0x86dab6,98.7514%,1246,98546,99792,97523,421,825,1023
0x873bc4,95.2199%,1239,24681,25920,2308,643,596,22373
0x873b84,95.2623%,1228,24692,25920,2261,690,538,22431
0x873961,95.4051%,1191,24729,25920,21482,567,624,3247
0x77da9b,97.8549%,1112,50728,51840,50728,152,960,0
0x78b037,97.8781%,1100,50740,51840,50727,153,947,13
0x77cd78,97.9363%,1052,49924,50976,49924,108,944,0
0x77ded0,97.9919%,1041,50799,51840,50799,81,960,0
0x77aeab,98.0228%,1025,50815,51840,50789,91,934,26
0x86de67,98.9779%,1020,98772,99792,74761,566,454,24011
0x77db4b,98.0401%,1016,50824,51840,50821,59,957,3
0x77e0bf,98.0536%,1009,50831,51840,50831,49,960,0
0x8e3f1f,99.7227%,1005,361399,362404,361399,287,718,0
0x64aa77,98.2874%,989,56761,57750,56354,241,748,407
0x77af9f,98.098%,986,50854,51840,50670,210,776,184
0x77d9eb,98.0999%,985,50855,51840,50855,25,960,0
0x77c93f,98.0697%,984,49992,50976,49992,40,944,0
0x77dc80,98.1134%,978,50862,51840,50862,18,960,0
0x77cbca,98.0815%,978,49998,50976,49998,34,944,0
0x77c9c6,98.0854%,976,50000,50976,50000,32,944,0
0x7da568,98.1173%,976,50864,51840,50864,16,960,0
0x77dfc0,98.1173%,976,50864,51840,50864,16,960,0
0x830802,98.1192%,975,50865,51840,50865,15,960,0
0x874166,98.1348%,975,51297,52272,51142,162,813,155
0x77c8d2,98.0913%,973,50003,50976,50003,29,944,0
0x7da74e,98.1289%,970,50870,51840,50870,10,960,0
0x7da3d7,98.1308%,969,50871,51840,50871,9,960,0
0x7da451,98.1308%,969,50871,51840,50870,10,959,1
0x7da4ce,98.1308%,969,50871,51840,50871,9,960,0
0x7da611,98.1327%,968,50872,51840,50872,8,960,0
0x7da7f2,98.1346%,967,50873,51840,50873,7,960,0
0x7da6b1,98.1366%,966,50874,51840,50873,7,959,1
0x77c2f9,98.107%,965,50011,50976,50011,21,944,0
0x77b0ce,98.1385%,965,50875,51840,50875,5,960,0
0x77affe,98.1404%,964,50876,51840,50876,4,960,0
0x77af30,98.1443%,962,50878,51840,50878,2,960,0
0x77dddf,98.1443%,962,50878,51840,50878,2,960,0
0x77c846,98.1148%,961,50015,50976,50015,17,944,0
0x77bf5f,98.1168%,960,50016,50976,50016,16,944,0
0x77dbfb,98.1481%,960,50880,51840,50879,1,959,1
0x77b06c,98.1481%,960,50880,51840,50880,0,960,0
0x77c19b,98.1226%,957,50019,50976,50019,13,944,0
0x77cb5f,98.1246%,956,50020,50976,50020,12,944,0
0x77c796,98.1246%,956,50020,50976,50020,12,944,0
0x77c50a,98.1285%,954,50022,50976,50022,10,944,0
0x77cb02,98.1305%,953,50023,50976,50023,9,944,0
0x77ceda,98.1325%,952,50024,50976,50024,8,944,0
0x77c60f,98.1344%,951,50025,50976,50025,7,944,0
0x77c3aa,98.1364%,950,50026,50976,50026,6,944,0
0x77f6df,98.1383%,949,50027,50976,50027,5,944,0
0x77c0ea,98.1383%,949,50027,50976,50027,5,944,0
0x77c471,98.1383%,949,50027,50976,50027,5,944,0
0x77ca76,98.1383%,949,50027,50976,50027,5,944,0
0x77f800,98.1383%,949,50027,50976,50027,5,944,0
0x77c260,98.1383%,949,50027,50976,50027,5,944,0
0x77ce39,98.1403%,948,50028,50976,50028,4,944,0
0x77c59a,98.1423%,947,50029,50976,50029,3,944,0
0x77cf6a,98.1442%,946,50030,50976,50030,2,944,0
0x77f761,98.1442%,946,50030,50976,50030,2,944,0
0x77f850,98.1462%,945,50031,50976,50031,1,944,0
0x77dcf3,98.2677%,898,50942,51840,50745,135,763,197
0x873c1c,96.5664%,890,25030,25920,24688,249,641,342
0x86da87,99.1132%,885,98907,99792,75452,508,377,23455
0x64a181,98.1708%,862,46262,47124,45974,226,636,288
0x8e3686,98.2428%,857,47915,48772,16577,411,446,31338
0x8482b6,97.4297%,855,32409,33264,32274,374,481,135
0x5e9603,99.7451%,826,323174,324000,323174,76,750,0
0x7803bc,89.2118%,824,6814,7638,6196,322,502,618
0x8728bd,97.8552%,803,36637,37440,36636,84,719,1
0x77f7b1,98.4404%,795,50181,50976,49982,50,745,199
0x848205,97.8415%,718,32546,33264,32424,224,494,122
0x77e124,98.6056%,715,50560,51275,14819,216,499,35741
0x77b113,98.6134%,711,50564,51275,35739,501,210,14825
0x780705,97.2497%,701,24787,25488,17634,459,242,7153
0x77e3c3,98.6671%,691,51149,51840,36371,434,257,14778
0x64a0fa,98.5506%,683,46441,47124,7013,301,382,39428
0x77e313,98.6921%,678,51162,51840,36365,440,238,14797
0x77e263,98.696%,676,51164,51840,36370,435,241,14794
0x8e3508,76.3139%,649,2091,2740,1049,321,328,1042
0x77e1b3,98.7539%,646,51194,51840,36381,424,222,14813
0x77e33a,98.7712%,637,51203,51840,50771,109,528,432
0x873825,97.554%,634,25286,25920,24350,281,353,936
0x873905,97.5617%,632,25288,25920,24362,269,363,926
0x8736e4,97.5656%,631,25289,25920,24351,280,351,938
0x780378,97.5282%,630,24858,25488,17442,408,222,7416
0x873883,97.581%,627,25293,25920,926,363,264,24367
0x87a963,97.5176%,622,24434,25056,24433,159,463,1
0x77e9a5,97.6273%,615,25305,25920,25222,218,397,83
0x873664,97.6312%,614,25306,25920,24366,265,349,940
0x873783,97.635%,613,25307,25920,929,360,253,24378
0x7d4f73,98.1812%,605,32659,33264,32537,111,494,122
0x96b86e,99.7471%,601,237089,237690,224958,135,466,12131
0x64a9f8,98.9662%,597,57153,57750,19544,334,263,37609
0x77e3ea,98.8542%,594,51246,51840,50794,86,508,452
0x786423,98.2212%,584,32248,32832,32109,115,469,139
0x794fac,98.2243%,583,32249,32832,32098,126,457,151
0x7951c4,98.2395%,578,32254,32832,32093,131,447,161
0x77b127,98.8908%,575,51265,51840,50702,178,397,563
0x77e136,98.8927%,574,51266,51840,50755,125,449,511
0x795199,98.2669%,569,32263,32832,24392,334,235,7871
0x873c45,97.8048%,569,25351,25920,25334,106,463,17
0x65f893,98.2924%,568,32696,33264,32535,113,455,161
0x77e1da,98.912%,564,51276,51840,50838,42,522,438
