Branch PC,Accuracy,Mispredictions,Correct Predictions,Total,dir_t_pred_t,dir_t_pred_nt,dir_nt_pred_t,dir_nt_pred_nt
aggregate,95.5401%,867037,18573709,19440746,9684319,423028,444009,8889390
0x403465,93.515%,40621,585760,626381,280444,21331,19290,305316
0x403479,94.3189%,30897,512962,543859,203512,15741,15156,309450
0x4013c9,80.128%,19623,79124,98747,52506,9347,10276,26618
0x40db09,91.4236%,17977,191633,209610,6886,15083,2894,184747
0x40ad24,81.9659%,16125,73289,89414,33748,7578,8547,39541
0x407276,84.0154%,15971,83944,99915,22358,10276,5695,61586
0x40140c,84.9099%,14901,83846,98747,53521,6171,8730,30325
0x40abd3,87.734%,13428,96045,109473,83987,4080,9348,12058
0x407638,88.7805%,12418,98264,110682,75368,4953,7465,22896
0x401427,87.7951%,12052,86695,98747,62913,4816,7236,23782
0x4013e7,87.9844%,11865,86882,98747,71445,4865,7000,15437
0x40111c,87.6902%,11577,82470,94047,71978,3605,7972,10492
0x40acfb,87.1915%,11484,78175,89659,52730,5820,5664,25445
0x40cc63,68.9561%,10875,24156,35031,9806,5902,4973,14350
0x40ab55,90.1791%,10702,98270,108972,34689,6635,4067,63581
0x40ca35,84.9812%,10393,58807,69200,57610,1680,8713,1197
0x40f888,89.6493%,10221,88526,98747,16044,6099,4122,72482
0x40d488,85.2128%,10148,58479,68627,51370,3744,6404,7109
0x40c8fd,84.3266%,9457,50881,60338,27286,4438,5019,23595
0x4101b1,82.9716%,9108,44379,53487,8005,5799,3309,36374
0x4064ec,79.8157%,8739,34557,43296,17741,4132,4607,16816
0x40f8e5,91.6738%,8538,94006,102544,63231,4134,4404,30775
0x401148,89.1976%,8508,70252,78760,59949,2937,5571,10303
0x40117c,88.1026%,8201,60730,68931,54178,2667,5534,6552
0x40dba7,96.2361%,7950,203266,211216,202619,370,7580,647
0x40d4a6,63.734%,7770,13655,21425,7479,3149,4621,6176
0x407122,93.1563%,7575,103110,110685,55037,3714,3861,48073
0x40fa66,88.5571%,7181,55574,62755,22215,3725,3456,33359
0x40d3ef,74.9062%,6888,20561,27449,9355,3697,3191,11206
0x403789,87.1867%,6861,46685,53546,39426,2505,4356,7259
