Branch PC,Accuracy,Mispredictions,Correct Predictions,Total,dir_t_pred_t,dir_t_pred_nt,dir_nt_pred_t,dir_nt_pred_nt
aggregate,92.0278%,1739000,20074396,21813396,9924725,741217,997783,10149671
0x40bda5,69.4225%,148879,338012,486891,283173,48233,100646,54839
0x40971d,65.3494%,111760,210774,322534,115117,53790,57970,95657
0x41683b,49.9525%,88536,88368,176904,42821,45413,43123,45547
0x40be17,63.4601%,56814,98671,155485,32462,33642,23172,66209
0x40cf70,74.6036%,55910,164239,220149,129170,20161,35749,35069
0x40cc3f,85.0961%,43061,245863,288924,232781,10277,32784,13082
0x41ee6f,64.2098%,41037,73623,114660,58323,15022,26015,15300
0x416298,67.6994%,36783,77094,113877,15044,25540,11243,62050
0x40bbb6,83.2405%,34170,169714,203884,48733,20533,13637,120981
0x4164ea,89.5384%,33665,288132,321797,32380,23716,9949,255752
0x40c966,82.5184%,33564,158432,191996,100700,14002,19562,57732
0x40bbbf,75.4171%,33093,101525,134618,49699,17041,16052,51826
0x409544,75.5836%,31387,97162,128549,18122,20382,11005,79040
0x40cdd3,87.0116%,28630,191798,220428,153926,9169,19461,37872
0x41ee22,68.5555%,26680,58168,84848,49782,8265,18415,8386
0x40ccb5,92.3042%,25101,301066,326167,285860,5425,19676,15206
0x40cfb4,84.9216%,23193,130623,153816,121973,5566,17627,8650
0x40cc72,81.2925%,23179,100723,123902,29769,11360,11819,70954
0x402e0b,83.8659%,22099,114872,136971,45725,10889,11210,69147
0x40cff1,84.671%,21895,120939,142834,112946,5212,16683,7993
0x409489,73.2803%,18342,50304,68646,8250,13230,5112,42054
0x40f6e4,71.8319%,18338,46764,65102,19501,10018,8320,27263
0x40cf60,92.5878%,18016,225042,243058,216772,3377,14639,8270
0x41eec2,65.9717%,17643,34205,51848,29254,5417,12226,4951
0x40bcb7,91.4044%,17525,186359,203884,146628,6285,11240,39731
0x4096b4,83.7545%,17119,88258,105377,22363,10452,6667,65895
0x40f70f,74.2911%,16737,48365,65102,32284,6635,10102,16081
0x416416,77.0281%,16073,53895,69968,28797,8412,7661,25098
0x41136c,89.1552%,15602,128264,143866,81576,4978,10624,46688
0x40cfa4,91.1208%,15560,159681,175241,150300,3516,12044,9381
0x402e1a,80.731%,15484,64873,80357,47865,6375,9109,17008
0x4094ed,66.7041%,14510,29069,43579,21158,5749,8761,7911
0x416895,88.8425%,14306,113913,128219,111703,2244,12062,2210
0x416558,79.5681%,13833,53870,67703,30857,6063,7770,23013
0x40f73a,79.3416%,13449,51653,65102,41255,5013,8436,10398
0x40cf7a,81.5386%,13074,57744,70818,54248,3252,9822,3496
0x402c7e,79.7999%,12374,48883,61257,4457,8620,3754,44426
0x40f765,82.7548%,11227,53875,65102,45738,3612,7615,8137
0x40f024,79.636%,11222,43885,55107,29621,4815,6407,14264
0x40d021,91.8268%,10727,120519,131246,115610,2097,8630,4909
0x40bbd7,84.2968%,10659,57219,67878,46826,4431,6228,10393
0x4095f9,81.5562%,10617,46947,57564,13731,6549,4068,33216
0x40b676,88.3774%,10115,76914,87029,70802,2956,7159,6112
0x411488,92.9556%,9875,130308,140183,114769,3094,6781,15539
0x40bc9b,80.1577%,9665,39044,48709,12123,5469,4196,26921
0x40eff2,82.6156%,9580,45527,55107,32531,4141,5439,12996
0x40cded,83.3255%,9560,47773,57333,40763,3561,5999,7010
0x40b734,89.0416%,9537,77492,87029,70926,2312,7225,6566
0x40b6d4,89.0967%,9489,77540,87029,69525,2561,6928,8015
0x40b796,89.2174%,9384,77645,87029,20424,5789,3595,57221
0x41651f,86.2554%,8948,56154,65102,41571,2335,6613,14583
0x40c98c,89.0547%,8444,68703,77147,61954,2491,5953,6749
0x40ef8e,85.0001%,8266,46841,55107,39018,2365,5901,7823
0x402e47,93.9995%,8219,128752,136971,119273,2479,5740,9479
0x40ccf3,97.3219%,7801,283485,291286,223768,2791,5010,59717
0x40caeb,83.7872%,7782,40217,47999,32548,2442,5340,7669
0x40f056,85.882%,7780,47327,55107,40973,2512,5268,6354
0x40ef5c,85.9981%,7716,47391,55107,45122,1586,6130,2269
0x4094d0,88.8646%,7644,61002,68646,677,6429,1215,60325
0x40b5f6,91.5385%,7364,79665,87029,73023,2054,5310,6642
0x40cfbe,72.5159%,7222,19055,26277,11545,3227,3995,7510
0x40d02e,93.8772%,7207,110500,117707,106892,1084,6123,3608
0x40cfe4,95.4044%,7085,147085,154170,141513,1321,5764,5572
0x40efc0,87.1505%,7081,48026,55107,44871,1459,5622,3155
0x40965d,79.8576%,6988,27705,34693,14210,3839,3149,13495
0x40f088,87.762%,6744,48363,55107,42595,1892,4852,5768
0x4113d4,88.4276%,6578,50264,56842,37862,2685,3893,12402
0x40f115,88.1285%,6542,48565,55107,48477,681,5861,88
0x40be1b,92.9079%,6339,83042,89381,82831,983,5356,211
