Branch PC,Accuracy,Mispredictions,Correct Predictions,Total,dir_t_pred_t,dir_t_pred_nt,dir_nt_pred_t,dir_nt_pred_nt
aggregate,99.3515%,164899,25264740,25429639,15466443,77272,87627,9798297
0x411cdb,98.1846%,21119,1142175,1163294,1046405,9287,11832,95770
0x41104e,97.4949%,14322,557382,571704,486917,7023,7299,70465
0x411480,97.8957%,14031,652757,666788,537084,6118,7913,115673
0x4120ef,98.5674%,13688,941806,955494,897191,5561,8127,44615
0x412d38,98.8683%,10813,944668,955481,842790,5102,5711,101878
0x4118ce,97.3236%,10362,376803,387165,251603,4821,5541,125200
0x410794,97.154%,8534,291329,299863,240609,4284,4250,50720
0x412633,97.5868%,8033,324847,332880,44273,4316,3717,280574
0x4130f0,98.8359%,7762,659013,666775,585246,3778,3984,73767
0x412fb0,98.2312%,6848,380303,387151,260244,3334,3514,120059
0x412e6e,99.4154%,6801,1156480,1163281,1029378,3175,3626,127102
0x410341,94.6436%,6255,110522,116777,30678,3327,2928,79844
0x410c08,95.2536%,5747,115335,121082,54971,2578,3169,60364
0x41321e,99.2979%,4014,567677,571691,506017,2154,1860,61660
0x4123df,93.2217%,3575,49167,52742,28335,1966,1609,20832
0x4134a1,98.8591%,3421,296429,299850,263977,1881,1540,32452
0x413360,97.8475%,2606,118463,121069,65013,1099,1507,53450
0x41ac73,94.5557%,2097,36420,38517,33165,1040,1057,3255
0x4135e8,98.4901%,1763,115001,116764,97315,867,896,17686
0x41ae23,95.0628%,1757,33830,35587,33535,362,1395,295
0x41ad1f,93.5897%,975,14235,15210,13136,384,591,1099
0x41acba,98.6266%,529,37988,38517,30019,186,343,7969
0x40c2fb,58.871%,153,219,372,194,54,99,25
0x40bfff,59.1398%,152,220,372,199,49,103,21
0x40c953,59.6774%,150,222,372,196,52,98,26
0x40c657,59.9462%,149,223,372,197,51,98,26
0x410edd,99.7906%,133,63387,63520,5617,75,58,57770
0x412629,99.8126%,132,70291,70423,10061,67,65,60230
0x401dc4,63.7427%,124,218,342,183,56,68,35
0x411d18,99.8888%,118,106014,106132,105148,34,84,866
0x410c59,99.819%,115,63418,63533,5634,60,55,57784
0x4114c1,99.9118%,109,123478,123587,4815,69,40,118663
0x412660,99.8144%,109,58608,58717,56979,44,65,1629
0x410473,99.6883%,106,33899,34005,6426,56,50,27473
0x40c713,72.8495%,101,271,372,268,28,73,3
0x41108f,99.874%,98,77666,77764,3914,63,35,73752
0x40bdac,73.9247%,97,275,372,7,64,33,268
0x41158a,99.9223%,96,123491,123587,36329,45,51,87162
0x415803,62.5%,96,160,256,79,45,51,81
0x411907,99.9273%,95,130646,130741,4562,68,27,126084
0x4110ab,99.8713%,95,73692,73787,73007,21,74,685
0x40c3fc,74.4624%,95,277,372,4,72,23,273
0x401d33,72.2222%,95,247,342,47,61,34,200
0x401ce3,74.5614%,87,255,342,54,48,39,201
0x411923,99.931%,87,126024,126111,125526,28,59,498
0x410fb4,99.863%,87,63433,63520,15928,40,47,47505
0x4113c4,99.892%,84,77667,77751,22436,43,41,55231
0x40c0b8,78.2258%,81,291,372,284,17,64,7
0x41115f,99.8971%,80,77684,77764,22447,42,38,55237
0x411309,99.9125%,68,77683,77751,3930,45,23,73753
0x40de8a,86.214%,67,419,486,61,53,14,358
0x411740,99.9466%,66,123507,123573,4837,45,21,118670
0x411dc7,99.9415%,63,107539,107602,35148,36,27,72391
0x4114dd,99.9469%,63,118640,118703,117755,15,48,885
0x4103a8,99.8147%,63,33942,34005,2521,39,24,31421
0x4103c4,99.8028%,62,31383,31445,31108,20,42,275
0x411b94,99.9508%,62,126038,126100,125533,16,46,505
0x40df85,87.2428%,62,424,486,411,21,41,13
0x411325,99.9173%,61,73715,73776,73002,21,40,713
0x410a85,99.8908%,60,54897,54957,2520,38,22,52377
0x4108ba,99.8908%,60,54910,54970,7748,36,24,47162
0x410809,99.8874%,59,52351,52410,52036,12,47,315
0x40bcce,95.7627%,55,1243,1298,0,38,17,1243
0x41212f,99.893%,55,51358,51413,50234,13,42,1124
0x401cae,67.9012%,52,110,162,97,27,25,13
0x410c75,99.9101%,52,57787,57839,57460,15,37,327
0x40b308,95.9938%,52,1246,1298,1,37,15,1245
0x4157fb,67.9012%,52,110,162,4,34,18,106
0x40aa4d,96.225%,49,1249,1298,0,38,11,1249
0x410d1a,99.9229%,49,63484,63533,15959,19,30,47525
0x401cf1,86.2573%,47,295,342,288,16,31,7
0x402c4d,71.6049%,46,116,162,14,24,22,102
0x401d41,86.5497%,46,296,342,288,16,30,8
0x41175c,99.9621%,45,118646,118691,117753,11,34,893
0x407353,72.2222%,45,117,162,113,31,14,4
0x411f5e,99.9582%,45,107544,107589,1433,35,10,106111
0x4087ef,65.873%,43,83,126,5,25,18,78
0x4097ea,73.4568%,43,119,162,10,28,15,109
0x411814,99.9652%,43,123530,123573,36340,24,19,87190
0x401de2,63.1579%,42,72,114,61,15,27,11
0x412113,99.9223%,41,52701,52742,1295,34,7,51406
0x405b15,67.4603%,41,85,126,8,22,19,77
0x415138,74.6914%,41,121,162,106,18,23,15
0x411b78,99.9694%,40,130688,130728,4598,30,10,126090
0x411c44,99.9694%,40,130688,130728,43808,24,16,86880
0x4063e7,69.0476%,39,87,126,7,23,16,80
0x406a70,75.9259%,39,123,162,15,23,16,108
0x401a84,75.9259%,39,123,162,19,19,20,104
0x411f7a,99.9632%,39,106082,106121,105164,13,26,918
0x4119ca,99.9709%,38,130703,130741,43825,16,22,86878
0x40f2d5,72.0588%,38,98,136,93,18,20,5
0x40218b,74.3056%,37,107,144,13,21,16,94
0x411a06,99.9156%,37,43804,43841,1577,24,13,42227
0x40a88e,77.1605%,37,125,162,124,20,17,1
0x410ef9,99.9377%,36,57792,57828,57459,11,25,333
0x412884,99.8811%,36,30252,30288,504,22,14,29748
0x40840b,71.4286%,36,90,126,7,23,13,83
0x402745,76.3889%,34,110,144,9,25,9,101
0x40e62a,93.0041%,34,452,486,422,10,24,30
0x406cc6,69.4444%,33,75,108,6,19,14,69
