Branch PC,Accuracy,Mispredictions,Correct Predictions,Total,dir_t_pred_t,dir_t_pred_nt,dir_nt_pred_t,dir_nt_pred_nt
aggregate,99.773%,16928,7440431,7457359,7413444,219,16709,26987
0x4540b8,99.7853%,564,262092,262656,262092,52,512,0
0x44e05f,99.8009%,524,262644,263168,262644,12,512,0
0x451eb1,99.8009%,523,262133,262656,262133,11,512,0
0x44d51d,99.6025%,521,130551,131072,130551,9,512,0
0x455e11,99.8024%,518,261626,262144,261626,6,512,0
0x44daf7,99.604%,518,130298,130816,130298,7,511,0
0x452ae6,99.8028%,517,261627,262144,261627,5,512,0
0x451655,99.6063%,517,130811,131328,130811,4,513,0
0x44a849,99.8032%,517,262139,262656,262139,4,513,0
0x44ef39,99.8035%,516,262138,262654,262138,5,511,0
0x44a749,99.8043%,515,262653,263168,262653,1,514,0
0x44e7bb,99.8043%,515,262654,263169,262654,2,513,0
0x450f2b,99.8039%,515,262141,262656,262141,3,512,0
0x44ec36,99.6079%,515,130813,131328,130813,2,513,0
0x449ab8,99.8062%,515,265223,265738,265223,1,514,0
0x453625,99.8039%,514,261630,262144,261630,2,512,0
0x449f26,99.8062%,514,264707,265221,264707,1,513,0
0x453765,99.8035%,514,261118,261632,261118,3,511,0
0x450388,99.6078%,514,130558,131072,130558,2,512,0
0x449cfb,99.8062%,514,264710,265224,264710,0,514,0
0x44f6aa,99.6071%,514,130302,130816,130302,3,511,0
0x452730,99.8047%,514,262655,263169,262655,1,513,0
0x44e2f9,99.8047%,513,262143,262656,262143,1,512,0
0x4509fd,99.6078%,513,130303,130816,130303,2,511,0
0x44e527,99.8043%,513,261631,262144,261631,1,512,0
0x450737,99.6086%,513,130559,131072,130559,1,512,0
0x453034,99.6078%,513,130303,130816,130303,2,511,0
0x44fc00,99.6078%,513,130303,130816,130303,2,511,0
0x454d20,99.8047%,512,261632,262144,261632,0,512,0
0x455f41,99.8047%,511,261121,261632,261121,0,511,0
0x45513f,99.8047%,511,261121,261632,261121,0,511,0
0x44c5db,99.8049%,374,191353,191727,191353,1,373,0
0x44c961,99.8043%,352,179502,179854,179502,0,352,0
0x44f1b1,99.9847%,10,65526,65536,65020,4,6,506
0x45141d,99.9862%,9,65399,65408,64895,2,7,504
0x45118d,99.9893%,7,65529,65536,65021,3,4,508
0x44fe7a,99.2188%,4,508,512,508,3,1,0
0x4023aa,99.6109%,4,1024,1028,1024,2,2,0
0x561307,83.3333%,3,15,18,0,2,1,15
0x430b80,99.4141%,3,509,512,509,2,1,0
0x453780,99.4129%,3,508,511,508,2,1,0
0x401eea,99.4152%,3,510,513,510,2,1,0
0x44fdaf,99.6086%,2,509,511,509,1,1,0
0x450ff2,99.6094%,2,510,512,510,1,1,0
0x455f5e,99.6086%,2,509,511,509,1,1,0
0x44e347,99.6094%,2,510,512,510,1,1,0
0x4531ba,99.6086%,2,509,511,509,1,1,0
0x451102,99.6094%,2,510,512,0,0,2,510
0x42fb49,99.6094%,2,510,512,510,1,1,0
