Branch PC,Accuracy,Mispredictions,Correct Predictions,Total,dir_t_pred_t,dir_t_pred_nt,dir_nt_pred_t,dir_nt_pred_nt
aggregate,96.0449%,1091147,26496964,27588111,13353606,444094,647053,13143358
0x40e097,96.7287%,229199,6777132,7006331,6530673,50001,179198,246459
0x40dc85,86.8904%,88603,587261,675864,508756,33713,54890,78505
0x40e09f,87.5908%,83838,591772,675610,404462,41627,42211,187310
0x40e06b,93.4883%,64355,923949,988304,216329,33624,30731,707620
0x40dcd3,70.8565%,63261,153806,217067,91813,30550,32711,61993
0x41348c,61.966%,60031,97804,157835,65969,25907,34124,31835
0x40dc48,81.948%,39847,180888,220735,64850,18822,21025,116038
0x40d87e,80.1193%,35699,143867,179566,13915,25327,10372,129952
0x40dd12,84.6592%,33225,183355,216580,178818,5577,27648,4537
0x40f3f7,89.7802%,32578,286196,318774,279397,7138,25440,6799
0x40e0ea,95.1729%,32454,639871,672325,627609,6268,26186,12262
0x40e083,99.6703%,24131,7294895,7319026,290799,21896,2235,7004096
0x413463,88.1154%,18758,139077,157835,110255,5747,13011,28822
0x4138a7,74.3325%,16930,49029,65959,28673,8342,8588,20356
0x40f53e,95.0972%,15629,303145,318774,301693,934,14695,1452
0x40dc98,90.0564%,13629,123434,137063,89268,5652,7977,34166
0x41299b,71.0849%,13076,32146,45222,3564,9695,3381,28582
0x41213b,63.4273%,12596,21845,34441,16770,4423,8173,5075
0x40d7ed,71.8986%,12588,32207,44795,2069,9653,2935,30138
0x40f407,61.3201%,12470,19769,32239,1630,9358,3112,18139
0x4133ca,90.6239%,11823,114274,126097,21090,7780,4043,93184
0x40d823,74.7316%,11319,33476,44795,10648,6403,4916,22828
0x4133ac,93.976%,9508,148327,157835,123321,2776,6732,25006
0x413116,69.3788%,8863,20081,28944,19037,1733,7130,1044
0x412447,75.3288%,8497,25944,34441,19802,3415,5082,6142
0x4132d2,60.1916%,8144,12314,20458,10025,2497,5647,2289
0x412969,94.9805%,6915,130849,137764,114614,457,6458,16235
0x40b207,97.2807%,6893,246591,253484,116,6709,184,246475
0x40e2ec,98.1011%,6759,349175,355934,348449,602,6157,726
0x4134df,91.5035%,6247,67277,73524,64812,1086,5161,2465
0x412979,74.5693%,5771,16922,22693,5583,3851,1920,11339
0x411f39,71.7434%,5757,14617,20374,12699,1718,4039,1918
0x4110ce,70.7624%,4721,11426,16147,3194,2599,2122,8232
0x40dbe4,89.0572%,4550,37030,41580,2201,3039,1511,34829
0x41331b,88.0287%,4364,32090,36454,4582,2928,1436,27508
0x4124e1,87.7065%,4234,30207,34441,15401,2988,1246,14806
0x41214f,69.5383%,3992,9113,13105,989,2909,1083,8124
0x40d837,85.638%,3979,23726,27705,741,3230,749,22985
