Branch PC,Accuracy,Mispredictions,Correct Predictions,Total,dir_t_pred_t,dir_t_pred_nt,dir_nt_pred_t,dir_nt_pred_nt
aggregate,99.1493%,166946,19457172,19624118,7914379,64642,102304,11542793
0x4bedf9,86.8373%,98566,650263,748829,472173,30788,67778,178090
0x4c5c06,82.8614%,13093,63302,76395,52498,4731,8362,10804
0x4c8761,96.2902%,12065,313155,325220,47298,3664,8401,265857
0x4bf7d5,98.1335%,6069,319090,325159,13,5946,123,319077
0x50fc12,96.5406%,5241,146261,151502,774,4654,587,145487
0x4c5c31,75.595%,4368,13530,17898,9251,1578,2790,4279
0x4be97a,60.7536%,2885,4466,7351,3318,1026,1859,1148
0x4bf7d9,99.2669%,2340,316860,319200,316860,31,2309,0
0x4c6bb0,99.0408%,2283,235736,238019,55,2154,129,235681
0x4c2680,84.4736%,2140,11643,13783,1776,1922,218,9867
0x4bdcfc,91.9622%,1736,19862,21598,17930,415,1321,1932
0x4cb4c0,87.935%,1463,10663,12126,7437,703,760,3226
0x4c6bb9,99.3821%,1457,234353,235810,234337,83,1374,16
0x50feb6,94.1911%,1391,22555,23946,7865,1183,208,14690
0x4ba40c,94.0288%,1210,19054,20264,16896,114,1096,2158
0x4cbcb0,85.4648%,1082,6362,7444,3966,451,631,2396
0x4c5c1f,94.6359%,1012,17854,18866,82,886,126,17772
0x50fe02,88.6878%,875,6860,7735,6803,119,756,57
0x4bf8b4,99.7875%,691,324467,325158,322754,59,632,1713
0x4bedd7,99.9166%,625,748819,749444,0,615,10,748819
0x4c7ef0,92.4261%,566,6907,7473,6505,99,467,402
0x4c9fcb,94.7269%,473,8497,8970,1884,392,81,6613
0x4be9c1,86.4518%,433,2763,3196,2756,7,426,7
0x50fcd4,98.078%,348,17758,18106,1,327,21,17757
0x4c5c18,98.3617%,314,18852,19166,12,288,26,18840
0x50fec1,98.1541%,275,14623,14898,3466,244,31,11157
0x4c5c38,96.4351%,252,6817,7069,33,205,47,6784
0x4cbcea,87.2685%,220,1508,1728,102,179,41,1406
0x4c5929,99.7447%,196,76575,76771,76350,47,149,225
0x4c4988,90.3356%,167,1561,1728,580,111,56,981
0x4c4407,99.3022%,150,21345,21495,21157,10,140,188
0x4ca08a,99.9705%,146,495304,495450,319033,78,68,176271
0x4c57c3,94.2514%,139,2279,2418,2277,17,122,2
0x50fc1e,99.9055%,138,145936,146074,145912,8,130,24
0x4c02ce,82.1138%,110,505,615,97,60,50,408
0x4ba510,88.8644%,101,806,907,198,66,35,608
0x4b8dbd,91.342%,100,1055,1155,889,44,56,166
0x4ca0c8,99.9461%,95,176244,176339,154228,24,71,22016
0x4b9f2e,97.2034%,91,3163,3254,1098,43,48,2065
0x50fe76,93.5396%,71,1028,1099,311,62,9,717
0x50fcff,99.6079%,71,18035,18106,18035,5,66,0
0x4761b1,73.0159%,68,184,252,180,13,55,4
0x418b3c,91.9414%,66,753,819,753,3,63,0
0x4c5c90,88.2212%,49,367,416,1,41,8,366
0x4bf6d4,99.3311%,49,7277,7326,7277,12,37,0
0x4c64da,99.967%,46,139402,139448,74648,21,25,64754
0x50fcf7,87.8706%,45,326,371,3,40,5,323
0x4c9ecc,99.5206%,43,8927,8970,7349,33,10,1578
0x50fe81,94.2149%,42,684,726,175,34,8,509
0x4c4d6e,98.2865%,39,2237,2276,682,30,9,1555
0x4bb1ce,98.2257%,39,2159,2198,598,25,14,1561
0x4ba887,99.9182%,39,47635,47674,47635,0,39,0
0x4c4d5b,99.612%,38,9755,9793,7488,29,9,2267
0x50fb1a,99.35%,37,5655,5692,22,22,15,5633
0x4c466b,99.9889%,36,325184,325220,544,36,0,324640
0x4c6bd4,99.0275%,35,3564,3599,131,27,8,3433
0x4c9e62,99.621%,34,8936,8970,7341,16,18,1595
0x50fb20,99.398%,34,5614,5648,48,18,16,5566
0x50feaa,99.8583%,34,23953,23987,11,30,4,23942
0x50fdec,99.526%,33,6929,6962,6928,9,24,1
0x4bddbd,99.9032%,28,28897,28925,28897,2,26,0
0x4c4ccb,99.7141%,28,9765,9793,1281,15,13,8484
0x4bbd47,98.7371%,27,2111,2138,36,14,13,2075
0x50fc56,99.2894%,26,3633,3659,3633,7,19,0
0x4c50c6,99.7285%,23,8448,8471,3653,13,10,4795
0x4c4e24,99.7411%,22,8475,8497,5921,18,4,2554
0x4c4152,99.1515%,21,2454,2475,0,21,0,2454
0x4ba4e7,97.8836%,20,925,945,21,17,3,904
0x4cb570,99.3705%,20,3157,3177,278,20,0,2879
0x4cb3a1,99.7958%,20,9773,9793,3983,16,4,5790
0x4bc125,73.6842%,20,56,76,12,14,6,44
0x4bb1b2,99.1894%,19,2325,2344,132,14,5,2193
0x4c7b00,99.7764%,19,8478,8497,8328,15,4,150
0x50fd04,71.2121%,19,47,66,42,8,11,5
0x4bdccf,99.7545%,18,7314,7332,1617,17,1,5697
0x4bbd7c,99.1581%,18,2120,2138,44,11,7,2076
0x50fe11,98.032%,16,797,813,796,2,14,1
0x4b9ff0,98.5977%,16,1125,1141,1118,7,9,7
0x4c6e4e,99.8923%,15,13909,13924,7462,11,4,6447
0x4c77ef,96.3942%,15,401,416,2,9,6,399
0x4bee01,99.9939%,15,245853,245868,25,15,0,245828
0x4be9ad,99.5333%,15,3199,3214,0,15,0,3199
0x4c7aab,96.3942%,15,401,416,362,12,3,39
0x4ca8cb,99.6096%,15,3827,3842,2762,8,7,1065
