Branch PC,Accuracy,Mispredictions,Correct Predictions,Total,dir_t_pred_t,dir_t_pred_nt,dir_nt_pred_t,dir_nt_pred_nt
aggregate,99.7022%,208214,69715990,69924204,23493868,188935,19279,46222122
0x40f7c3,99.189%,178345,21812308,21990653,103758,178345,0,21708550
0xa52640,90.3753%,18441,173159,191600,172604,444,17997,555
0xa525bb,80.4824%,4944,20387,25331,6,4932,12,20381
0xa52623,82.7924%,4358,20968,25326,3329,3445,913,17639
0xa525f7,73.9182%,1760,4988,6748,234,1581,179,4754
0xa52200,93.4988%,55,791,846,732,18,37,59
0x40e3aa,98.985%,44,4291,4335,4285,0,44,6
0xa521e4,92.0455%,35,405,440,335,9,26,70
0xa52180,92.5339%,33,409,442,408,8,25,1
0xa521b4,60.9375%,25,39,64,22,20,5,17
0xa4c449,99.9199%,21,26204,26225,427,21,0,25777
0xa521db,57.1429%,18,24,42,2,16,2,22
0x40f54b,99.9947%,15,282088,282103,31,14,1,282057
0xa5236c,97.4771%,11,425,436,347,5,6,78
0x40d412,97.4771%,11,425,436,422,8,3,3
0xa5223c,97.5%,11,429,440,2,10,1,427
0xa521bc,54.5455%,10,12,22,12,8,2,0
0xa52296,98.9529%,8,756,764,418,6,2,338
0x40d44f,61.1111%,7,11,18,10,2,5,1
0x40f894,99.9979%,6,282102,282108,256772,1,5,25330
0xa52242,98.5981%,6,422,428,0,4,2,422
0xa52602,99.8519%,5,3372,3377,0,5,0,3372
0x40e289,99.8848%,5,4335,4340,0,5,0,4335
0x40f719,99.9991%,5,564111,564116,564111,0,5,0
0x40f7d4,100%,5,21708544,21708549,21708544,0,5,0
0x40f52d,99.9982%,5,282103,282108,0,5,0,282103
0x40d4a5,99.3119%,3,433,436,429,3,0,4
0x40e400,99.9533%,2,4283,4285,163,2,0,4120
0xa51668,60%,2,3,5,3,0,2,0
0x40d19f,99.9534%,2,4288,4290,3,2,0,4285
0xa516f0,50%,1,1,2,1,1,0,0
0xa5224b,99.7642%,1,423,424,423,1,0,0
0xa51796,50%,1,1,2,1,1,0,0
0xa52326,99.7706%,1,435,436,431,1,0,4
0x40d414,83.3333%,1,5,6,5,1,0,0
0xa522f9,99.7706%,1,435,436,435,1,0,0
0xa522ca,99.7706%,1,435,436,435,1,0,0
