Branch PC,Accuracy,Mispredictions,Correct Predictions,Total,dir_t_pred_t,dir_t_pred_nt,dir_nt_pred_t,dir_nt_pred_nt
aggregate,99.8613%,44572,32089777,32134349,22493074,12970,31602,9596703
0x4033eb,99.0741%,31258,3344560,3375818,3344560,0,31258,0
0x4027cc,99.0741%,12965,1387291,1400256,0,12965,0,1387291
0x4033fb,99.2354%,239,31019,31258,31019,0,239,0
0x4027ed,99.2364%,99,12866,12965,12866,1,98,0
0x4027b6,99.9999%,8,7001276,7001284,5601026,2,6,1400250
0x40280e,98.9796%,1,97,98,97,1,0,0
0x403456,0%,1,0,1,0,1,0,0
0x403410,99.5816%,1,238,239,238,0,1,0
0x402779,100%,0,12966,12966,0,0,0,12966
0x402738,100%,0,99,99,0,0,0,99
0x402763,100%,0,12966,12966,0,0,0,12966
0x4033d2,100%,0,16879086,16879086,13503268,0,0,3375818
0x403393,100%,0,31257,31257,0,0,0,31257
0x4026e6,100%,0,1,1,0,0,0,1
0x403373,100%,0,238,238,0,0,0,238
0x4033b7,100%,0,3375817,3375817,0,0,0,3375817
