Branch PC,Accuracy,Mispredictions,Correct Predictions,Total,dir_t_pred_t,dir_t_pred_nt,dir_nt_pred_t,dir_nt_pred_nt
aggregate,96.7972%,1667184,50386107,52053291,3860577,1147398,519786,46525530
0x4049ed,84.5781%,1526190,8370042,9896232,1813224,1061198,464992,6556818
0x403ccd,88.3422%,18230,138146,156376,84201,14148,4082,53945
0x4049d4,99.8171%,18170,9915180,9933350,132,17968,202,9915048
0x403cf0,88.6151%,17604,137022,154626,85569,12780,4824,51453
0x406fe3,94.3732%,17264,289553,306817,284095,506,16758,5458
0x4049e8,99.898%,10117,9905133,9915250,9135,9884,233,9895998
0x404833,98.6786%,9029,674268,683297,39568,5215,3814,634700
0x403e98,91.7581%,8040,89510,97550,49873,4047,3993,39637
0x40483a,99.0324%,6178,632336,638514,11144,4687,1491,621192
0x406fae,98.2595%,5909,333594,339503,28940,3745,2164,304654
0x40638e,96.5745%,4824,136004,140828,51349,3553,1271,84655
0x408408,92.3303%,3103,37355,40458,12271,1759,1344,25084
0x407bb3,97.3801%,2360,87719,90079,37835,1016,1344,49884
0x4049c6,99.9804%,1943,9933891,9935834,666,1818,125,9933225
0x40491a,98.3276%,1756,103244,105000,103244,6,1750,0
0x403e5b,96.3443%,1595,42035,43630,41732,158,1437,303
0x4084a2,93.5634%,1572,22851,24423,12818,761,811,10033
0x403e6b,97.4443%,1417,54027,55444,53568,136,1281,459
0x4040c2,97.3067%,1414,51086,52500,50734,16,1398,352
0x403f1f,97.9099%,1127,52793,53920,52551,86,1041,242
0x407bd8,98.2568%,893,50335,51228,48423,118,775,1912
0x407c41,97.8911%,876,40662,41538,40230,151,725,432
0x40612c,96.1006%,820,20209,21029,2928,480,340,17281
0x404d9a,94.7985%,644,11737,12381,4494,367,277,7243
0x403d1e,71.9836%,548,1408,1956,287,379,169,1121
0x4048c9,99.4914%,534,104466,105000,102397,94,440,2069
0x405d49,97.7487%,486,21102,21588,18106,158,328,2996
0x405cb3,97.8104%,481,21486,21967,11085,252,229,10401
0x4060f0,97.8154%,470,21044,21514,20957,72,398,87
0x403d2f,76.227%,465,1491,1956,170,356,109,1321
0x403ede,98.9663%,451,43179,43630,43147,16,435,32
0x405f4b,98.0714%,446,22679,23125,1228,383,63,21451
