Branch PC,Accuracy,Mispredictions,Correct Predictions,Total,dir_t_pred_t,dir_t_pred_nt,dir_nt_pred_t,dir_nt_pred_nt
aggregate,99.2822%,1049,145099,146148,67661,574,475,77438
0x89deb6,99.3925%,355,58080,58435,58080,3,352,0
0x47e645,96.8374%,92,2817,2909,471,34,58,2346
0xa79c2f,86.1423%,37,230,267,21,37,0,209
0x47e641,99.0776%,29,3115,3144,206,29,0,2909
0xa79c8a,66.6667%,27,54,81,26,22,5,28
0xa7ae40,77.8947%,21,74,95,56,6,15,18
0xa79c34,93.3014%,14,195,209,26,8,6,169
0xa79c88,89.4737%,10,85,95,5,9,1,80
0xa6463b,91.1765%,9,93,102,42,6,3,51
0xa64628,93.5185%,7,101,108,0,6,1,101
0xa79cd1,50%,7,7,14,6,4,3,1
0xa8aa06,83.3333%,6,30,36,18,4,2,12
0xa79c62,97.1429%,5,170,175,170,2,3,0
0x47e0a4,91.8033%,5,56,61,15,4,1,41
0x435808,99.0421%,5,517,522,302,4,1,215
0xa7a79a,42.8571%,4,3,7,2,3,1,1
0xa8caf8,63.6364%,4,7,11,2,1,3,5
0xa8aa5f,71.4286%,4,10,14,10,2,2,0
0xa67336,77.7778%,4,14,18,0,4,0,14
0xa646e4,50%,3,3,6,0,3,0,3
0xa61d3d,84.2105%,3,16,19,0,3,0,16
0x8d42d5,99.1228%,3,339,342,339,0,3,0
0xa66d27,91.6667%,3,33,36,15,3,0,18
0xa8cb0c,62.5%,3,5,8,0,3,0,5
0x89dfc0,99.1477%,3,349,352,349,1,2,0
0xa67346,78.5714%,3,11,14,11,1,2,0
0xa66ead,91.6667%,3,33,36,17,1,2,16
0x47e061,89.4737%,2,17,19,17,2,0,0
0xa66d77,94.4444%,2,34,36,16,2,0,18
0xa66c4f,94.4444%,2,34,36,16,2,0,18
0x435822,99.0741%,2,214,216,16,2,0,198
0xa7a8ba,77.7778%,2,7,9,7,2,0,0
0xa7ad3a,75%,2,6,8,6,2,0,0
0xa7ac1a,87.5%,2,14,16,14,2,0,0
0xa7a9da,77.7778%,2,7,9,7,2,0,0
0xa66f20,88.8889%,2,16,18,16,2,0,0
0xa7a55a,80%,2,8,10,8,2,0,0
0xa7a67a,71.4286%,2,5,7,5,2,0,0
0x4d9a9e,88.8889%,2,16,18,16,1,1,0
0xa7aafa,81.8182%,2,9,11,9,2,0,0
0x435839,99.6032%,2,502,504,502,2,0,0
0xa67398,50%,2,2,4,2,1,1,0
0xa8cbeb,90.9091%,2,20,22,18,1,1,2
0x4d95ca,0%,1,0,1,0,1,0,0
0x8890eb,0%,1,0,1,0,1,0,0
0x8899a9,0%,1,0,1,0,1,0,0
0x4d7f27,0%,1,0,1,0,1,0,0
0xa64724,66.6667%,1,2,3,2,1,0,0
0x889655,0%,1,0,1,0,1,0,0
