Branch PC,Accuracy,Mispredictions,Correct Predictions,Total,dir_t_pred_t,dir_t_pred_nt,dir_nt_pred_t,dir_nt_pred_nt
aggregate,97.5529%,656739,26180521,26837260,10196429,350398,306341,15984092
0x471355,73.6032%,271996,758417,1030413,226587,162851,109145,531830
0x471357,83.1036%,108302,532673,640975,420196,35000,73302,112477
0x471374,59.4341%,75363,110416,185779,61358,35222,40141,49058
0x47139c,97.0036%,31107,1007046,1038153,2856,28790,2317,1004190
0x4712b5,89.949%,30611,273945,304556,251732,8946,21665,22213
0x471328,97.2584%,29908,1060998,1090906,31652,21101,8807,1029346
0x55bb1a,92.0502%,17928,207587,225515,92408,9955,7973,115179
0x55bb07,93.526%,15706,226894,242600,113998,9154,6552,112896
0x4712b3,96.1209%,13385,331671,345056,34079,6421,6964,297592
0x471334,99.2176%,8123,1030030,1038153,370,7370,753,1029660
0x54ff31,91.8856%,6553,74205,80758,57508,1509,5044,16697
0x47139e,99.5791%,4236,1002271,1006507,994351,99,4137,7920
0x55bb3b,96.657%,4117,119035,123152,59651,1947,2170,59384
0x6408b8,92.9267%,3932,51657,55589,42269,1702,2230,9388
0x550b40,84.6279%,3123,17193,20316,162,2857,266,17031
0x6291ab,96.8412%,2922,89582,92504,6794,2217,705,82788
0x64cb0d,93.0077%,2402,31950,34352,2483,1900,502,29467
0x54ff6f,97.3885%,2109,78649,80758,45338,1005,1104,33311
0x54517e,70.6783%,2088,5033,7121,1743,1180,908,3290
0x416e79,98.2316%,1945,108043,109988,36212,998,947,71831
0x5510fc,98.8569%,1836,158774,160610,40401,967,869,118373
0x5458ae,73.906%,1288,3648,4936,1809,627,661,1839
0x544c93,92.1598%,1109,13036,14145,137,831,278,12899
0x5549b7,94.9467%,1019,19146,20165,22,994,25,19124
0x54536e,87.1802%,877,5964,6841,1377,560,317,4587
0x550924,93.4201%,844,11983,12827,11567,26,818,416
0x64e094,90.9781%,820,8269,9089,430,592,228,7839
0x544cc7,94.8317%,731,13413,14144,13147,29,702,266
0x55212b,72.7407%,555,1481,2036,777,244,311,704
0x558424,94.2662%,554,9108,9662,1518,187,367,7590
0x54ff95,98.5733%,491,33924,34415,12963,297,194,20961
0x4ebafe,96.6988%,438,12830,13268,821,248,190,12009
0x5557f7,98.1706%,387,20768,21155,11779,93,294,8989
0x4713c3,97.0557%,355,11702,12057,11591,70,285,111
0x416e82,99.5328%,340,72438,72778,52739,211,129,19699
0x558412,97.0617%,334,11033,11367,1474,231,103,9559
0x55bd8a,66.2703%,312,613,925,399,132,180,214
0x5500d9,97.6471%,312,12948,13260,12063,50,262,885
0x545187,92.6155%,310,3888,4198,3509,104,206,379
0x629198,99.6759%,301,92561,92862,92,266,35,92469
0x443f3b,99.4865%,300,58128,58428,48667,99,201,9461
0x4168d2,99.5982%,299,74121,74420,48721,35,264,25400
0x55bd67,61.4509%,271,432,703,108,164,107,324
0x4ebf4b,97.9043%,269,12567,12836,614,178,91,11953
0x544e70,99.7392%,266,101734,102000,100875,105,161,859
0x54519a,91.0708%,261,2662,2923,2402,85,176,260
0x545377,95.5139%,220,4684,4904,4416,64,156,268
0x5510f7,99.8638%,220,161296,161516,742,164,56,160554
0x5458b7,91.28%,218,2282,2500,2102,67,151,180
0x55bc42,81.5925%,215,953,1168,589,114,101,364
0x55845a,98.1701%,208,11159,11367,9498,164,44,1661
0x55bdff,72.8307%,191,512,703,360,90,101,152
0x54538a,90.1394%,191,1746,1937,1254,86,105,492
0x5451bf,81.6846%,187,834,1021,640,63,124,194
0x55baa4,74.2446%,179,516,695,334,82,97,182
0x621e8a,99.4828%,178,34238,34416,15208,113,65,19030
0x62204d,99.5566%,153,34354,34507,14992,23,130,19362
0x5564ba,98.8984%,141,12659,12800,698,85,56,11961
0x5458ca,94.2529%,140,2296,2436,2015,49,91,281
0x544fa4,99.8094%,134,70166,70300,69542,55,79,624
0x54509a,99.8336%,117,70183,70300,69553,44,73,630
0x550535,56.3433%,117,151,268,44,73,44,107
0x620af1,99.6896%,104,33397,33501,33397,1,103,0
