Branch PC,Accuracy,Mispredictions,Correct Predictions,Total,dir_t_pred_t,dir_t_pred_nt,dir_nt_pred_t,dir_nt_pred_nt
aggregate,99.8126%,93259,49676182,49769441,13249836,33442,59817,36426346
0x638ed8,99.1792%,30719,3711993,3742712,3291792,9209,21510,420201
0x7b358e,92.7102%,11593,147437,159030,141855,1933,9660,5582
0x64cc86,99.8336%,9215,5529692,5538907,5529655,52,9163,37
0x64d0d3,98.1833%,7603,410904,418507,191729,3507,4096,219175
0x64cc75,99.913%,4823,5538890,5543713,10,4795,28,5538880
0x406ce1,92.8728%,4023,52423,56446,25515,1414,2609,26908
0x406c31,91.3969%,3069,32604,35673,25347,1380,1689,7257
0x406c06,98.622%,2052,146855,148907,138241,708,1344,8614
0x64cec8,82.7998%,1902,9156,11058,1591,1139,763,7565
0x64d0f2,99.0975%,1762,193474,195236,6772,1452,310,186702
0x638d03,89.3886%,1661,13992,15653,13857,638,1023,135
0x7b3597,92.3238%,1170,14072,15242,8681,545,625,5391
0x638ecb,99.969%,1160,3742710,3743870,0,1158,2,3742710
0x638eec,99.7548%,1083,440628,441711,428743,101,982,11885
0x406b67,89.8262%,1042,9200,10242,8796,337,705,404
0x7b347d,93.3211%,1018,14224,15242,7774,611,407,6450
0x7b320a,96.4595%,781,21278,22059,12640,563,218,8638
0x7b327b,91.5951%,675,7356,8031,5985,99,576,1371
0x7b321b,92.6942%,647,8209,8856,7956,75,572,253
0x7b1cd3,91.9649%,622,7119,7741,93,515,107,7026
0x406c39,94.3273%,581,9661,10242,833,465,116,8828
0x406c0b,95.9578%,414,9828,10242,1071,225,189,8757
0x7b1ca1,95.4633%,378,7954,8332,292,299,79,7662
0x7b3496,94.8666%,352,6505,6857,5445,166,186,1060
0x7b3236,95.2815%,326,6583,6909,6078,41,285,505
0x64e273,96.8806%,313,9721,10034,9721,0,313,0
0x7b303a,98.1609%,275,14678,14953,2249,97,178,12429
0x7b3806,97.3969%,238,8905,9143,551,184,54,8354
0x406d92,97.389%,234,8728,8962,8723,6,228,5
0x7b31b5,99.2824%,227,31406,31633,9147,172,55,22259
0x7b1d08,97.4436%,213,8119,8332,675,96,117,7444
0x7b3610,97.6332%,171,7054,7225,6484,52,119,570
0x7b32e4,96.3918%,168,4488,4656,4435,36,132,53
0x7b2fc5,99.2872%,148,20614,20762,12149,71,77,8465
0x7b3251,86.2981%,114,718,832,120,65,49,598
0x7b13d8,99.8589%,102,72178,72280,8616,68,34,63562
0x7b361a,85.4862%,100,589,689,581,15,85,8
0x7b3774,99.0353%,89,9137,9226,337,56,33,8800
0x64a793,99.9859%,78,551349,551427,47131,65,13,504218
0x7b1b7f,99.6387%,75,20683,20758,13854,43,32,6829
0x7b1490,99.4353%,69,12149,12218,12135,19,50,14
0x4ab909,99.3372%,66,9892,9958,9867,5,61,25
0x7b34af,94.8636%,64,1182,1246,974,32,32,208
0x7b377e,99.3547%,57,8776,8833,8776,4,53,0
0x7b32e6,70.8108%,54,131,185,28,40,14,103
0x4a76b9,99.456%,54,9872,9926,9872,1,53,0
0x7b363a,66.875%,53,107,160,28,39,14,79
0x64a748,99.9642%,45,125821,125866,31639,21,24,94182
0x64ced9,99.4717%,44,8284,8328,8124,22,22,160
0x7b1af5,99.8522%,43,29047,29090,8314,18,25,20733
0x406b91,99.6095%,40,10202,10242,260,24,16,9942
0x7b2fa5,99.8698%,40,30683,30723,9943,18,22,20740
0x7b3020,99.8197%,40,22141,22181,7209,19,21,14932
0x7b1469,99.6972%,37,12181,12218,8669,15,22,3512
0x7b329d,98.2537%,34,1913,1947,13,29,5,1900
0x64cbce,99.8085%,30,15635,15665,10025,9,21,5610
0x7b14c3,54.6875%,29,35,64,17,17,12,18
