Branch PC,Accuracy,Mispredictions,Correct Predictions,Total,dir_t_pred_t,dir_t_pred_nt,dir_nt_pred_t,dir_nt_pred_nt
aggregate,99.8436%,11153,7121406,7132559,5044142,6771,4382,2077264
0x402828,96.8494%,3757,115492,119249,55246,2609,1148,60246
0x446639,89.9602%,1515,13575,15090,12062,884,631,1513
0x445d6f,80.7241%,1347,5641,6988,260,1089,258,5381
0x445d65,97.6855%,1166,49212,50378,43017,373,793,6195
0x44b95b,94.589%,701,12254,12955,11411,272,429,843
0x44ac5d,95.3142%,607,12347,12954,11942,253,354,405
0x4482a9,96.0398%,513,12441,12954,654,261,252,11787
0x444b92,91.1389%,319,3281,3600,1209,175,144,2072
0x4442bf,98.7496%,207,16348,16555,0,207,0,16348
0x444b1d,98.873%,146,12809,12955,11180,45,101,1629
0x446186,99.0736%,120,12834,12954,11262,92,28,1572
0x4482ae,99.078%,111,11928,12039,245,88,23,11683
0x44485c,97.3889%,94,3506,3600,2195,20,74,1311
0x445122,99.2976%,91,12864,12955,869,79,12,11995
0x4451ae,99.4564%,90,16465,16555,1109,85,5,15356
0x444970,99.699%,39,12916,12955,127,35,4,12789
0x4449b0,99.6992%,38,12597,12635,121,37,1,12476
0x445e7b,99.9365%,32,50346,50378,37422,6,26,12924
0x4442c3,99.8165%,30,16318,16348,377,18,12,15941
0x43ee15,99.855%,24,16531,16555,16342,6,18,189
0x444991,99.8379%,21,12934,12955,305,15,6,12629
0x444b75,99.9107%,18,20137,20155,3583,17,1,16554
0x4442e5,99.8921%,17,15734,15751,381,9,8,15353
0x44492c,99.9355%,13,20142,20155,7192,8,5,12950
0x444b83,99.9215%,13,16542,16555,12944,11,2,3598
0x404008,99.9745%,13,50987,51000,44622,3,10,6365
0x444514,99.9336%,11,16544,16555,12946,9,2,3598
0x4443f7,99.9396%,10,16545,16555,16140,1,9,405
0x4449d7,99.9288%,9,12626,12635,150,8,1,12476
0x43ee2a,96.1353%,8,199,207,199,3,5,0
0x446691,99.7199%,6,2136,2142,2136,0,6,0
0x4450f7,99.9698%,5,16550,16555,12951,4,1,3599
0x43ebfa,20%,4,1,5,0,2,2,1
0x445c2c,99.9691%,4,12951,12955,0,4,0,12951
0x444b9c,99.8195%,4,2212,2216,2209,1,3,3
0x4442d3,99.9749%,4,15949,15953,198,4,0,15751
0x43ebbb,20%,4,1,5,0,4,0,1
0x43ec6a,40%,3,2,5,2,2,1,0
0x43ee59,40%,3,2,5,2,2,1,0
0x43ec1a,0%,3,0,3,0,1,2,0
0x402a92,99.9998%,3,1974625,1974628,1482974,1,2,491651
0x43ee92,40%,3,2,5,1,3,0,1
0x44665e,99.9067%,2,2142,2144,0,2,0,2142
0x43f569,50%,2,2,4,2,1,1,0
0x43fc76,0%,2,0,2,0,2,0,0
0x43fc4a,33.3333%,2,1,3,0,1,1,1
0x444bb7,99.8561%,2,1388,1390,1388,2,0,0
0x43eb32,60%,2,3,5,3,2,0,0
0x4452fe,0%,1,0,1,0,1,0,0
0x445370,0%,1,0,1,0,1,0,0
0x444d81,99.994%,1,16554,16555,16554,1,0,0
0x43df39,50%,1,1,2,1,1,0,0
0x4452b8,0%,1,0,1,0,1,0,0
0x43f3f3,0%,1,0,1,0,1,0,0
0x43f428,0%,1,0,1,0,1,0,0
0x44465e,99.9722%,1,3599,3600,3599,1,0,0
0x43ec81,80%,1,4,5,0,1,0,4
0x43df78,50%,1,1,2,1,1,0,0
0x43e024,50%,1,1,2,1,1,0,0
0x43ec96,80%,1,4,5,4,1,0,0
0x43ec0b,66.6667%,1,2,3,2,1,0,0
0x43f33b,0%,1,0,1,0,1,0,0
0x43eb8a,80%,1,4,5,4,1,0,0
0x445d0f,100%,0,12950,12950,0,0,0,12950
0x402d24,100%,0,57855,57855,57855,0,0,0
0x44afd1,100%,0,12954,12954,0,0,0,12954
0x43f556,100%,0,4,4,0,0,0,4
0x402ac0,100%,0,491653,491653,430259,0,0,61394
0x43ed04,100%,0,5,5,5,0,0,0
0x43fc0a,100%,0,1,1,0,0,0,1
0x44af3d,100%,0,12954,12954,0,0,0,12954
0x43ed7e,100%,0,207,207,207,0,0,0
0x43dffd,100%,0,2,2,0,0,0,2
0x44b97a,100%,0,1272,1272,0,0,0,1272
0x4449ed,100%,0,12635,12635,12635,0,0,0
0x4482b3,100%,0,11706,11706,11706,0,0,0
0x44ac8b,100%,0,12954,12954,12954,0,0,0
0x44aff2,100%,0,12954,12954,0,0,0,12954
0x44acbb,100%,0,12954,12954,0,0,0,12954
0x44b24c,100%,0,12954,12954,0,0,0,12954
0x43fc67,100%,0,1,1,0,0,0,1
0x44ac6d,100%,0,759,759,0,0,0,759
0x43ed4a,100%,0,5,5,0,0,0,5
0x44afde,100%,0,12954,12954,0,0,0,12954
0x44ad5e,100%,0,12954,12954,12954,0,0,0
0x4452b1,100%,0,1,1,0,0,0,1
0x44a8eb,100%,0,12954,12954,12954,0,0,0
0x44b7a2,100%,0,12955,12955,12955,0,0,0
0x47cd58,100%,0,4,4,0,0,0,4
0x44aa89,100%,0,12954,12954,0,0,0,12954
0x40d805,100%,0,1162558,1162558,1017239,0,0,145319
0x43f52f,100%,0,1,1,0,0,0,1
0x44a97c,100%,0,12954,12954,12954,0,0,0
0x44b48f,100%,0,12954,12954,12954,0,0,0
0x47cd46,100%,0,4,4,0,0,0,4
0x44af2e,100%,0,12954,12954,0,0,0,12954
0x4442f8,100%,0,1194,1194,0,0,0,1194
0x44afb7,100%,0,12954,12954,0,0,0,12954
0x404c1d,100%,0,16555,16555,0,0,0,16555
0x404c03,100%,0,16555,16555,0,0,0,16555
0x40fd91,100%,0,569168,569168,426876,0,0,142292
0x44a96e,100%,0,12954,12954,0,0,0,12954
0x44b0b9,100%,0,12954,12954,12954,0,0,0
0x4444f2,100%,0,16555,16555,16555,0,0,0
0x43fc39,100%,0,3,3,0,0,0,3
0x43edb1,100%,0,207,207,0,0,0,207
0x445156,100%,0,16555,16555,0,0,0,16555
0x43ecb7,100%,0,5,5,0,0,0,5
0x44b6e5,100%,0,12955,12955,12955,0,0,0
0x44b54d,100%,0,12955,12955,12955,0,0,0
0x44afc4,100%,0,12954,12954,0,0,0,12954
0x404ca2,100%,0,16555,16555,0,0,0,16555
0x40283b,100%,0,61394,61394,0,0,0,61394
0x44b300,100%,0,12954,12954,12954,0,0,0
0x402a96,100%,0,491653,491653,491653,0,0,0
0x44affd,100%,0,12954,12954,12954,0,0,0
0x43eeaa,100%,0,1,1,0,0,0,1
0x403f48,100%,0,6375,6375,0,0,0,6375
0x445162,100%,0,16555,16555,0,0,0,16555
0x44b48a,100%,0,12954,12954,0,0,0,12954
0x4482ca,100%,0,1248,1248,0,0,0,1248
0x445bfb,100%,0,12955,12955,0,0,0,12955
0x402844,100%,0,61394,61394,0,0,0,61394
0x44528d,100%,0,1,1,0,0,0,1
0x4461e7,100%,0,12954,12954,0,0,0,12954
0x43eeaf,100%,0,1,1,0,0,0,1
0x404ca7,100%,0,16555,16555,16555,0,0,0
0x402a52,100%,0,491653,491653,0,0,0,491653
0x44aeed,100%,0,12954,12954,12954,0,0,0
0x4028ea,100%,0,491653,491653,491653,0,0,0
0x47cd41,100%,0,4,4,0,0,0,4
0x402acb,100%,0,61394,61394,61394,0,0,0
0x44b6e0,100%,0,12955,12955,0,0,0,12955
0x444355,100%,0,16555,16555,16555,0,0,0
