Branch PC,Accuracy,Mispredictions,Correct Predictions,Total,dir_t_pred_t,dir_t_pred_nt,dir_nt_pred_t,dir_nt_pred_nt
aggregate,99.4316%,130253,22786721,22916974,12904396,58978,71275,9882325
0xa7838e,96.5231%,4057,112628,116685,98608,1253,2804,14020
0xa39395,86.8127%,3804,25042,28846,12982,2009,1795,12060
0x62358e,94.6%,2808,49192,52000,38831,1744,1064,10361
0x64dac3,98.9292%,2570,237430,240000,200654,1260,1310,36776
0xa305cd,95.6876%,2352,52188,54540,22277,1333,1019,29911
0xa39282,91.985%,2312,26534,28846,17540,1238,1074,8994
0x652b74,97.7019%,2071,88046,90117,31199,1447,624,56847
0x64dace,96.227%,1437,36649,38086,21419,667,770,15230
0x65245a,97.5149%,1427,55995,57422,48631,588,839,7364
0xa77dc5,97.3641%,1259,46505,47764,14351,655,604,32154
0x64daf9,97.9683%,1219,58781,60000,58776,24,1195,5
0xa7827d,96.805%,1122,33995,35117,13898,600,522,20097
0xa76a95,95.4272%,973,20305,21278,6928,492,481,13377
0x927d6c,98.5503%,966,65667,66633,63078,371,595,2589
0x64f32f,97.0619%,959,31681,32640,31681,143,816,0
0xa76290,94.1204%,878,14055,14933,5128,523,355,8927
0xa77fec,96.2989%,834,21700,22534,18215,369,465,3485
0x655562,99.6591%,830,242623,243453,229483,455,375,13140
0xa761d8,98.367%,801,48249,49050,8868,440,361,39381
0xa77da5,98.8674%,781,68175,68956,20798,394,387,47377
0xa77ffd,95.4305%,752,15705,16457,1822,497,255,13883
0xa762de,94.0898%,723,11510,12233,3033,448,275,8477
0xa39234,97.7688%,720,31550,32270,14313,318,402,17237
0x8bf414,93.375%,689,9711,10400,5941,413,276,3770
0x8bff21,93.5481%,671,9729,10400,5888,466,205,3841
0xa77fb5,98.6722%,657,48824,49481,26018,301,356,22806
0xa304d2,99.0054%,654,65102,65756,19908,451,203,45194
0xa78397,96.398%,606,16218,16824,7699,325,281,8519
0xa76aa1,95.7209%,593,13265,13858,7931,232,361,5334
0xa39242,98.2615%,561,31709,32270,3047,377,184,28662
0x65c95b,94.6635%,555,9845,10400,6300,303,252,3545
0x645e98,94.7981%,541,9859,10400,5995,359,182,3864
0x64bee9,96.6188%,541,15459,16000,10168,375,166,5291
0x8bfe9c,94.9038%,530,9870,10400,8997,262,268,873
0x926a87,87.0534%,529,3557,4086,1028,345,184,2529
0x8bf3dc,94.9712%,523,9877,10400,8979,280,243,898
0x65df04,95.1154%,508,9892,10400,9383,203,305,509
0x6437af,95.1346%,506,9894,10400,8985,274,232,909
0x8c72fb,98.8165%,503,41997,42500,41997,3,500,0
0xa78154,95.1018%,503,9766,10269,3274,290,213,6492
0x8c737b,98.8235%,500,42000,42500,42000,0,500,0
0x6434c4,95.2308%,496,9904,10400,921,220,276,8983
0x63b1c3,97.0476%,496,16304,16800,14760,241,255,1544
0x645310,95.25%,494,9906,10400,6029,325,169,3877
0x642e26,95.2596%,493,9907,10400,8978,281,212,929
0x643324,95.2788%,491,9909,10400,916,225,266,8993
0x65ddb4,95.2885%,490,9910,10400,9394,192,298,516
0x65db63,95.2885%,490,9910,10400,9397,189,301,513
0x6429c6,95.3173%,487,9913,10400,8983,276,211,930
0x643016,95.3462%,484,9916,10400,9003,256,228,913
0x9283a5,90.0144%,484,4363,4847,992,254,230,3371
0x63d8c9,95.3558%,483,9917,10400,8982,277,206,935
0x642bd6,95.3654%,482,9918,10400,8995,264,218,923
0xa762d6,96.7722%,482,14451,14933,2396,304,178,12055
0x63d558,95.3654%,482,9918,10400,8997,262,220,921
0x643206,95.375%,481,9919,10400,8984,275,206,935
0x65c91d,95.4038%,478,9922,10400,9348,238,240,574
0x63c258,95.4231%,476,9924,10400,8982,277,199,942
0x6435a4,95.4519%,473,9927,10400,935,206,267,8992
0x63da28,95.4712%,471,9929,10400,8971,288,183,958
0x643654,95.5096%,467,9933,10400,931,210,257,9002
0x632dee,98.0214%,463,22937,23400,22932,0,463,5
0x6433f4,95.5673%,461,9939,10400,948,193,268,8991
0x926a76,90.6327%,459,4441,4900,3870,216,243,571
0x65d9f3,95.5865%,459,9941,10400,9385,201,258,556
0x63d678,95.6154%,456,9944,10400,8998,261,195,946
0x658b1c,95.9519%,421,9979,10400,3380,140,281,6599
0x75af72,66.7199%,417,836,1253,272,242,175,564
0x652bf9,91.2607%,409,4271,4680,1674,187,222,2597
0x632d6e,98.2735%,404,22996,23400,22931,1,403,65
0x429839,96.1923%,396,10004,10400,9063,196,200,941
0xa8dbfc,94.1317%,368,5903,6271,5539,160,208,364
0xa76a4a,98.341%,353,20925,21278,17857,135,218,3068
0xa22380,98.2745%,353,20105,20458,509,252,101,19596
0x652ac5,99.6227%,352,92938,93290,88200,243,109,4738
0xa78147,98.1167%,350,18234,18584,8169,146,204,10065
0xa2424c,98.415%,347,21546,21893,21280,108,239,266
0xa77e20,99.0469%,345,35853,36198,814,205,140,35039
0x9fb655,94.9925%,335,6355,6690,5408,171,164,947
0xa768f5,99.5156%,334,68622,68956,21112,166,168,47510
0xa8dc23,94.6739%,334,5937,6271,5425,149,185,512
0xa8dc34,94.8015%,326,5945,6271,1791,165,161,4154
0xa2e900,99.143%,323,37366,37689,34652,158,165,2714
0xa304ef,99.4837%,320,61656,61976,7243,193,127,54413
0xa8dc0c,94.8971%,320,5951,6271,5595,124,196,356
0x9282b4,98.9077%,313,28343,28656,23657,152,161,4686
0x64ef36,97%,312,10088,10400,6670,210,102,3418
0x638441,95.3457%,311,6371,6682,5422,157,154,949
0xa3885d,99.6801%,310,96609,96919,164,273,37,96445
0x64f015,97.0481%,307,10093,10400,6684,196,111,3409
0x64f0b3,97.0962%,302,10098,10400,3418,102,200,6680
0x92813a,96.8272%,301,9186,9487,6198,106,195,2988
0x92851b,93.8312%,299,4548,4847,2953,145,154,1595
0x65ec23,97.1442%,297,10103,10400,6300,202,95,3803
0x65e983,97.1442%,297,10103,10400,6312,190,107,3791
0x638515,95.5852%,295,6387,6682,5431,148,147,956
0xa76269,97.5885%,295,11938,12233,6550,143,152,5388
0x62364f,97.7846%,288,12712,13000,12712,28,260,0
0x655da6,99.4626%,286,52936,53222,39607,100,186,13329
0xa30530,99.4774%,285,54255,54540,3696,155,130,50559
0xa78296,98.5909%,284,19870,20154,1045,196,88,18825
0xa77e3a,99.1927%,284,34895,35179,34258,66,218,637
0x637d80,95.7647%,283,6399,6682,5438,141,142,961
0x8c39f1,97.7%,276,11724,12000,9849,151,125,1875
0x637cc2,95.9144%,273,6409,6682,5436,143,130,973
0x8c0c84,95.8154%,272,6228,6500,1995,186,86,4233
0x65ead3,97.4423%,266,10134,10400,6299,203,63,3835
0x92c61a,97.4519%,265,10135,10400,9909,108,157,226
0xa7697f,99.4694%,253,47425,47678,25569,127,126,21856
0x64ede2,99.2458%,251,33029,33280,31924,76,175,1105
0x62359a,99.3863%,249,40326,40575,39990,80,169,336
0x64c024,95.0417%,238,4562,4800,57,172,66,4505
0xa8209e,99.9622%,230,607702,607932,604196,87,143,3506
0xa9168c,93.589%,229,3343,3572,3189,57,172,154
0x64cb91,98.5938%,225,15775,16000,230,136,89,15545
0xa30629,99.5893%,224,54316,54540,19497,130,94,34819
0x7a9862,97.8846%,220,10180,10400,9636,64,156,544
0x63ae73,90.9167%,218,2182,2400,1477,65,153,705
0xa7631b,99.5596%,216,48834,49050,44074,71,145,4760
0x8c0c74,97.85%,215,9785,10000,3358,142,73,6427
0x63afb3,92.4286%,212,2588,2800,1752,47,165,836
0xa782bb,98.816%,210,17527,17737,3017,121,89,14510
0x429895,98.0385%,204,10196,10400,6180,64,140,4016
0x5943b3,93.2692%,189,2619,2808,46,162,27,2573
0x64f2b6,98.825%,188,15812,16000,10052,122,66,5760
0x8c4f66,98.5615%,187,12813,13000,12495,5,182,318
0x655319,98.6238%,186,13329,13515,6845,26,160,6484
0x6527eb,99.8292%,186,108694,108880,24494,115,71,84200
0x9f5cff,96.5582%,182,5106,5288,4772,64,118,334
0xa393c3,99.3968%,174,28672,28846,8630,108,66,20042
0x6561d9,98.7199%,173,13342,13515,551,113,60,12791
0x8c5e99,93.28%,168,2332,2500,2332,68,100,0
0x96108b,98.4188%,168,10457,10625,10457,43,125,0
0xa81ffc,99.8253%,167,95433,95600,8214,105,62,87219
0x5e8d62,94.2589%,165,2709,2874,1364,73,92,1345
0xa76b08,98.8094%,165,13693,13858,10276,85,80,3417
0x5e8463,84.357%,163,879,1042,444,77,86,435
0xa2e87b,99.5728%,161,37528,37689,36052,70,91,1476
0x8a7bca,98.5317%,161,10804,10965,10799,37,124,5
0xa82002,99.8167%,160,87121,87281,14909,100,60,72212
0x4299b5,98.5%,156,10244,10400,9971,29,127,273
0xa393dc,99.4592%,156,28690,28846,6330,87,69,22360
0x64ed4f,88.141%,148,1100,1248,537,39,109,563
0x654545,99.8923%,148,137306,137454,128906,27,121,8400
0x8c5364,98.9077%,142,12858,13000,12479,21,121,379
0xa8dbf7,99.8341%,141,84835,84976,81454,76,65,3381
0x9f9955,96.2029%,137,3471,3608,1496,70,67,1975
0x8c5308,99.7385%,136,51864,52000,10293,107,29,41571
0xa782af,99.2728%,135,18429,18564,743,84,51,17686
0x654fbe,99.8865%,135,118810,118945,110696,46,89,8114
0x5e8d7a,95.3375%,134,2740,2874,2248,47,87,492
0xa76ad3,97.6471%,134,5561,5695,3463,72,62,2098
0x652462,98.4274%,129,8074,8203,4034,68,61,4040
0xa91682,96.1795%,126,3172,3298,3133,21,105,39
0xa7800a,99.1159%,125,14013,14138,12576,60,65,1437
0x636e3a,88.6673%,125,978,1103,809,37,88,169
0xa82075,98.5335%,122,8197,8319,4626,44,78,3571
0x636523,85.6974%,121,725,846,548,46,75,177
0x63b1ca,93.3852%,119,1680,1799,196,61,58,1484
0xa77ea3,88.42%,118,901,1019,256,59,59,645
0x8c5a7e,76.6%,117,383,500,347,53,64,36
0x636d6c,89.3926%,117,986,1103,802,44,73,184
0x928531,93.3676%,116,1633,1749,978,56,60,655
0x5f1b3a,94.4444%,114,1938,2052,1061,64,50,877
0x8c4ef9,99.7808%,114,51886,52000,10294,106,8,41592
0x5e847b,89.0595%,114,928,1042,783,34,80,145
0x75c75b,65.9639%,113,219,332,117,49,64,102
0x64ef65,98.9135%,113,10287,10400,10172,20,93,115
0x64b89d,99.2938%,113,15887,16000,3743,81,32,12144
