Branch PC,Accuracy,Mispredictions,Correct Predictions,Total,dir_t_pred_t,dir_t_pred_nt,dir_nt_pred_t,dir_nt_pred_nt
aggregate,99.6356%,103859,28394749,28498608,23903728,36296,67563,4491021
0x8e36ee,99.1303%,4723,538345,543068,493964,332,4391,44381
0x78afb8,97.2454%,1428,50412,51840,49047,490,938,1365
0x87a868,95.0424%,1285,24635,25920,18727,687,598,5908
0x873a36,95.3395%,1208,24712,25920,22395,574,634,2317
0x8e376d,97.5867%,1177,47595,48772,47082,320,857,513
0x873961,95.4668%,1175,24745,25920,21492,557,618,3253
0x87dd1c,95.3666%,1174,24164,25338,6239,525,649,17925
0x8739c4,95.5054%,1165,24755,25920,22459,510,655,2296
0x873b44,95.5131%,1163,24757,25920,2320,631,532,22437
0x873b84,95.5208%,1161,24759,25920,2297,654,507,22462
0x873bc4,95.544%,1155,24765,25920,2292,659,496,22473
0x873ae4,95.5633%,1150,24770,25920,22458,511,639,2312
0x86da87,99.1382%,860,98932,99792,75505,455,405,23427
0x873c1c,96.8364%,820,25100,25920,24748,189,631,352
0x7803bc,89.3428%,814,6824,7638,6217,301,513,607
0x86de67,99.2264%,772,99020,99792,74933,394,378,24087
0x8e3f1f,99.7884%,767,361637,362404,361637,49,718,0
0x77e3c3,98.8503%,596,51244,51840,36451,354,242,14793
0x873664,97.7045%,595,25325,25920,24385,246,349,940
0x77e1b3,98.8522%,595,51245,51840,36483,322,273,14762
0x77e313,98.8638%,589,51251,51840,36470,335,254,14781
0x873905,97.7353%,587,25333,25920,24399,232,355,934
0x873825,97.7353%,587,25333,25920,24398,233,354,935
0x8736e4,97.7392%,586,25334,25920,24372,259,327,962
0x873883,97.7894%,573,25347,25920,968,321,252,24379
0x77e124,98.8922%,568,50707,51275,14782,253,315,35925
0x77b113,98.902%,563,50712,51275,35919,321,242,14793
0x873783,97.8819%,549,25371,25920,973,316,233,24398
0x780705,97.8774%,541,24947,25488,17753,340,201,7194
0x77e263,98.9622%,538,51302,51840,36488,317,221,14814
0x64a9f8,99.0736%,535,57215,57750,19610,268,267,37605
0x780378,97.9559%,521,24967,25488,17501,349,172,7466
0x780794,98.1599%,469,25019,25488,17798,295,174,7221
0x64a9c3,99.1913%,467,57283,57750,12713,199,268,44570
0x78072c,93.7255%,464,6931,7395,5782,188,276,1149
0x794f89,98.5898%,463,32369,32832,24662,271,192,7707
0x873168,98.29%,458,26326,26784,8364,219,239,17962
0x64aa77,99.2087%,457,57293,57750,56538,57,400,755
0x78b037,99.1281%,452,51388,51840,50838,42,410,550
0x65f976,98.6472%,450,32814,33264,24854,255,195,7960
0x780a17,98.2333%,446,24799,25245,17590,260,186,7209
0x831aa3,98.6863%,437,32827,33264,7740,204,233,25087
0x780689,98.2888%,432,24813,25245,17566,284,148,7247
0x7863fa,98.6933%,429,32403,32832,24477,249,180,7926
0x7a8a67,98.7163%,427,32837,33264,7972,183,244,24865
0x7d4f49,98.7253%,424,32840,33264,24861,248,176,7979
0x65f8f7,98.7314%,422,32842,33264,24879,230,192,7963
0x780814,98.3522%,420,25068,25488,17824,269,151,7244
0x831c24,98.7584%,413,32851,33264,7768,176,237,25083
0x87397c,88.0753%,412,3043,3455,2843,108,304,200
0x65f876,98.7734%,408,32856,33264,24898,211,197,7958
0x831b34,98.7765%,407,32857,33264,25096,224,183,7761
0x795199,98.7604%,407,32425,32832,24491,235,172,7934
0x7a89a7,98.7975%,400,32864,33264,7973,182,218,24891
0x7eed97,98.6173%,395,28172,28567,20700,228,167,7472
0x64b3a7,98.8215%,392,32872,33264,25293,234,158,7579
0x7db0eb,98.4877%,392,25528,25920,17881,239,153,7647
0x780874,98.5013%,382,25106,25488,7241,154,228,17865
0x87da65,98.5013%,382,25106,25488,17606,244,138,7500
0x64ebc7,98.8302%,379,32021,32400,24239,217,162,7782
0x7a1c86,98.5326%,374,25114,25488,17633,217,157,7481
0x786342,95.4108%,372,7734,8106,310,274,98,7424
0x831b93,98.8877%,370,32894,33264,7782,162,208,25112
0x87beec,98.5876%,360,25128,25488,7490,148,212,17638
0x87daf4,98.6033%,356,25132,25488,17623,227,129,7509
0x87bfc7,98.615%,353,25135,25488,18103,203,150,7032
0x7a3cf5,98.6229%,351,25137,25488,17623,227,124,7514
0x7db02b,98.6651%,346,25574,25920,18079,203,143,7495
0x878016,98.6543%,343,25145,25488,17638,212,131,7507
0x87db73,98.6896%,334,25154,25488,17655,195,139,7499
0x7a3a65,98.6974%,332,25156,25488,17643,207,125,7513
0x780749,98.7013%,331,25157,25488,24979,37,294,178
0x795091,95.9166%,331,7775,8106,335,249,82,7440
0x7a3b44,98.7406%,321,25167,25488,17652,198,123,7515
0x873993,98.7616%,321,25599,25920,25418,22,299,181
0x7803ec,98.7641%,315,25173,25488,24972,44,271,201
0x87a886,98.7963%,312,25608,25920,25411,29,283,197
0x794f11,96.1388%,305,7594,7899,327,241,64,7267
0x7d4e91,96.309%,301,7854,8155,322,268,33,7532
0x7a3de4,98.8191%,301,25187,25488,17660,190,111,7527
0x873b99,98.8503%,298,25622,25920,25426,14,284,196
0x87b673,98.8619%,295,25625,25920,7524,114,181,18101
0x873b59,98.8619%,295,25625,25920,25435,5,290,190
0x879bd6,98.8773%,291,25629,25920,7683,117,174,17946
0x873bd9,98.8773%,291,25629,25920,25435,5,286,194
0x873a98,98.9005%,285,25635,25920,25421,19,266,214
0x87dd41,98.8818%,285,25203,25488,24996,20,265,207
0x794fac,99.1472%,280,32552,32832,32156,68,212,396
0x7dafd5,96.3603%,278,7360,7638,296,236,42,7064
0x86dab6,99.7234%,276,99516,99792,97920,24,252,1596
0x7806b7,98.925%,274,25214,25488,25009,7,267,205
0x64a181,99.4186%,274,46850,47124,46189,11,263,661
