Branch PC,Accuracy,Mispredictions,Correct Predictions,Total,dir_t_pred_t,dir_t_pred_nt,dir_nt_pred_t,dir_nt_pred_nt
aggregate,96.4057%,698768,18741978,19440746,9773745,333602,365166,8968233
0x403465,94.8113%,32501,593880,626381,284816,16959,15542,309064
0x403479,95.346%,25311,518548,543859,206693,12560,12751,311855
0x4013c9,81.5002%,18268,80479,98747,53418,8435,9833,27061
0x40db09,92.872%,14941,194669,209610,9567,12402,2539,185102
0x40140c,86.114%,13712,85035,98747,54240,5452,8260,30795
0x407276,86.7688%,13220,86695,99915,24317,8317,4903,62378
0x401427,88.3865%,11468,87279,98747,63169,4560,6908,24110
0x4013e7,88.8523%,11008,87739,98747,71814,4496,6512,15925
0x40cc63,70.1978%,10440,24591,35031,10238,5470,4970,14353
0x40abd3,90.616%,10273,99200,109473,84896,3171,7102,14304
0x40ca35,85.6879%,9904,59296,69200,57673,1617,8287,1623
0x40f888,90.4736%,9407,89340,98747,16374,5769,3638,72966
0x40111c,90.2825%,9139,84908,94047,72893,2690,6449,12015
0x40d488,87.2368%,8759,59868,68627,52023,3091,5668,7845
0x4101b1,84.1737%,8465,45022,53487,8570,5234,3231,36452
0x4064ec,80.5386%,8426,34870,43296,18000,3873,4553,16870
0x407638,92.4658%,8339,102343,110682,76790,3531,4808,25553
0x40ab55,92.8321%,7811,101161,108972,36108,5216,2595,65053
0x40dba7,96.452%,7494,203722,211216,202532,457,7037,1190
0x40ad24,91.706%,7416,81998,89414,37661,3665,3751,44337
0x40acfb,91.8179%,7336,82323,89659,55189,3361,3975,27134
0x401148,91.3992%,6774,71986,78760,60809,2077,4697,11177
0x40117c,90.7052%,6407,62524,68931,54974,1871,4536,7550
0x40658c,82.3904%,6312,29532,35844,24799,2270,4042,4733
0x40fa66,90.0167%,6265,56490,62755,22839,3101,3164,33651
0x403789,88.8899%,5949,47597,53546,39787,2144,3805,7810
0x40d4a6,72.9895%,5787,15638,21425,8276,2352,3435,7362
0x405e82,91.4887%,5663,60872,66535,55003,1839,3824,5869
0x40d163,73.773%,5579,15693,21272,6305,2896,2683,9388
0x40ca68,92.2225%,5382,63818,69200,57939,1675,3707,5879
0x40c8fd,91.7216%,4995,55343,60338,29267,2457,2538,26076
0x40f8e5,95.1904%,4932,97612,102544,64914,2451,2481,32698
0x406d3a,84.453%,4839,26286,31125,21378,1962,2877,4908
0x406eb1,95.6616%,4802,105883,110685,27752,2612,2190,78131
0x40c6f9,90.3474%,4721,44188,48909,39025,1743,2978,5163
0x407085,84.5042%,4705,25658,30363,13808,2271,2434,11850
0x40ad00,92.0632%,4589,53230,57819,6632,3099,1490,46598
0x401260,92.9369%,4587,60356,64943,53490,1497,3090,6866
0x40d3ef,83.5185%,4524,22925,27449,10505,2547,1977,12420
0x406522,84.9352%,4268,24063,28331,4144,2764,1504,19919
0x40777b,96.3002%,4095,106588,110683,19772,2374,1721,86816
0x40ac6d,94.1754%,3988,64480,68468,8086,2563,1425,56394
0x401238,94.5513%,3945,68457,72402,61892,1368,2577,6565
0x406c0b,79.6281%,3878,15158,19036,5345,2141,1737,9813
0x40d20c,84.3877%,3766,20356,24122,13692,2557,1209,6664
0x40c715,69.4203%,3761,8538,12299,4663,1515,2246,3875
0x405de2,92.2766%,3653,43645,47298,37710,1460,2193,5935
0x40db27,98.0665%,3628,184013,187641,183664,273,3355,349
0x40d48c,74.6972%,3614,10669,14283,733,2753,861,9936
0x40feb9,92.0957%,3563,41514,45077,6157,2198,1365,35357
0x4090ad,89.2766%,3500,29139,32639,24696,1217,2283,4443
0x406839,77.6535%,3457,12013,15470,7780,1582,1875,4233
0x40f994,94.6862%,3412,60798,64210,3127,2461,951,57671
0x407122,96.9752%,3348,107337,110685,57004,1747,1601,50333
0x40942c,78.8485%,3288,12257,15545,5777,1697,1591,6480
0x40cbe3,94.5231%,3265,56349,59614,22792,1791,1474,33557
0x406bdc,81.5109%,3260,14372,17632,4206,1875,1385,10166
0x40d041,88.133%,3248,24122,27370,20833,1214,2034,3289
0x406529,92.5236%,3237,40059,43296,21299,1440,1797,18760
0x40ac98,94.4101%,3232,54587,57819,24827,1883,1349,29760
0x40f9cd,92.1094%,3230,37705,40935,5626,2167,1063,32079
0x40ae56,84.8589%,3075,17234,20309,16494,598,2477,740
0x407501,97.2291%,3067,107618,110685,1647,2309,758,105971
0x40adc5,82.516%,3059,14437,17496,11663,1014,2045,2774
0x40b50b,82.6603%,3027,14430,17457,10930,1373,1654,3500
0x406f21,90.0866%,3010,27353,30363,17078,1445,1565,10275
0x407785,96.694%,2927,85610,88537,77348,699,2228,8262
0x40fa16,95.5127%,2816,59939,62755,24679,1478,1338,35260
0x40ac62,96.8089%,2808,85186,87994,17392,2134,674,67794
0x40ca81,70.8742%,2792,6794,9586,5432,1018,1774,1362
0x40a7d4,88.4134%,2659,20290,22949,4852,1487,1172,15438
0x406859,83.1351%,2609,12861,15470,4562,1322,1287,8299
0x4037ec,92.5073%,2576,31804,34380,21398,1426,1150,10406
0x40db65,88.2789%,2575,19394,21969,645,2132,443,18749
0x406c9b,79.9417%,2545,10143,12688,2450,1506,1039,7693
0x40d799,98.649%,2485,181452,183937,181354,65,2420,98
0x40b536,79.9399%,2468,9835,12303,5063,1253,1215,4772
0x40fed2,93.38%,2431,34291,36722,34217,243,2188,74
0x40f941,90.9568%,2429,24431,26860,2605,1604,825,21826
0x40b505,88.6103%,2426,18874,21300,2007,1836,590,16867
0x40f9e0,95.2637%,2420,48675,51095,38571,1218,1202,10104
0x41022e,83.227%,2419,12003,14422,8822,1158,1261,3181
0x4063c4,88.5047%,2374,18278,20652,16957,762,1612,1321
0x40f9ba,94.7477%,2339,42194,44533,1846,1752,587,40348
0x4065c9,93.4884%,2334,33510,35844,14380,886,1448,19130
0x40a7c9,91.5145%,2301,24816,27117,2749,1419,882,22067
0x40ae9b,81.9752%,2285,10392,12677,1811,1459,826,8581
0x407659,92.4838%,2282,28079,30361,10806,1033,1249,17273
0x408e3e,90.9526%,2266,22780,25046,2999,1547,719,19781
0x40c6fd,72.1881%,2265,5879,8144,475,1548,717,5404
0x40d7b4,98.7703%,2231,179188,181419,179096,67,2164,92
0x401134,88.0037%,2215,16249,18464,14613,674,1541,1636
