Branch PC,Accuracy,Mispredictions,Correct Predictions,Total,dir_t_pred_t,dir_t_pred_nt,dir_nt_pred_t,dir_nt_pred_nt
aggregate,89.7259%,2123856,18548118,20671974,9659437,823784,1300072,8888681
0x40bda5,73.1325%,139765,380436,520201,313426,39705,100060,67010
0x41683b,50.2031%,94525,95296,189821,47695,47230,47295,47601
0x40cc3f,76.4489%,86761,281634,368395,232819,28470,58291,48815
0x40971d,77.2712%,79157,269111,348268,153997,33981,45176,115114
0x4164ea,87.7813%,76142,547018,623160,57700,58785,17357,489318
0x40cf70,69.4658%,74833,170246,245079,140328,21652,53181,29918
0x40bbbf,65.3154%,62911,118469,181380,63316,29999,32912,55153
0x40c966,65.1908%,62509,117067,179576,57003,31402,31107,60064
0x40bbb6,82.8025%,46868,225660,272528,60071,31077,15791,165589
0x40f70f,66.8513%,42614,85940,128554,64009,14944,27670,21931
0x40f6e4,66.8855%,42570,85984,128554,49734,19754,22816,36250
0x40cfb4,76.0396%,41289,131033,172322,121514,8559,32730,9519
0x40cdd3,85.734%,39612,238056,277668,194684,7895,31717,43372
0x40be17,76.4823%,39291,127779,167070,118653,6312,32979,9126
0x40f73a,70.0048%,38560,89994,128554,77279,10325,28235,12715
0x416298,68.5326%,38080,82934,121014,17553,28150,9930,65381
0x416416,74.2822%,33132,95697,128829,63832,15442,17690,31865
0x409544,77.2702%,32622,110899,143521,6384,26235,6387,104515
0x40f765,74.6853%,32543,96011,128554,82351,8921,23622,13660
0x40b6d4,78.0254%,31429,111595,143024,105365,6273,25156,6230
0x40b734,78.9063%,30169,112855,143024,107074,5102,25067,5781
0x40b676,79.0091%,30022,113002,143024,104639,6198,23824,8363
0x40ccb5,88.8345%,29115,231643,260758,223789,4682,24433,7854
0x40cff1,79.7739%,28236,111366,139602,106117,4960,23276,5249
0x40b5f6,80.2781%,28207,114817,143024,103552,6426,21781,11265
0x402e0b,72.7525%,28132,75114,103246,30269,13464,14668,44845
0x41651f,80.8244%,24651,103903,128554,87320,4154,20497,16583
0x416558,81.8328%,23565,106147,129712,71965,8603,14962,34182
0x40cc72,80.416%,22332,91700,114032,39521,7685,14647,52179
0x40b796,84.4739%,22206,120818,143024,60828,6876,15330,59990
0x40d02e,82.4227%,20585,96526,117111,93571,3381,17204,2955
0x40bc9b,73.2396%,20016,54781,74797,18134,11700,8316,36647
0x40f024,73.616%,18315,51102,69417,40943,5581,12734,10159
0x409489,74.4542%,18102,52759,70861,1272,15707,2395,51487
0x40f088,75.1012%,17284,52133,69417,42636,5218,12066,9497
0x4096b4,73.3323%,17226,47369,64595,8297,11762,5464,39072
