Branch PC,Accuracy,Mispredictions,Correct Predictions,Total,dir_t_pred_t,dir_t_pred_nt,dir_nt_pred_t,dir_nt_pred_nt
aggregate,98.3881%,407335,24862882,25270217,10966718,230948,176387,13896164
0x40a333,97.1636%,95678,3277592,3373270,2950230,46868,48810,327362
0x40a19a,92.9158%,94095,1234138,1328233,818235,44226,49869,415903
0x40a326,97.4383%,88664,3372523,3461187,4616,83301,5363,3367907
0x40a206,95.1271%,31470,614347,645817,562692,11507,19963,51655
0x40a293,90.8189%,29930,296065,325995,196564,14200,15730,99501
0x40a0a1,96.4178%,20865,561597,582462,531885,7123,13742,29712
0x40a074,98.8019%,15917,1312580,1328497,100518,6995,8922,1212062
0x40a079,99.1891%,9901,1211083,1220984,636153,2369,7532,574930
0x40a1d7,99.3167%,9078,1319419,1328497,100182,7331,1747,1219237
0x40a19f,98.9959%,4677,461095,465772,227778,2123,2554,233317
0x40a309,99.8847%,3991,3457196,3461187,791,3770,221,3456405
0x40a2a1,98.9126%,1253,113978,115231,92704,537,716,21274
0x40a2c1,99.8269%,403,232351,232754,232116,110,293,235
0x40a275,99.908%,300,325695,325995,125,169,131,325570
0x40a106,99.9799%,267,1328230,1328497,0,264,3,1328230
0x409792,99.8884%,264,236228,236492,236228,0,264,0
0x4097db,99.8845%,264,228210,228474,228210,0,264,0
0x47107e,95.7238%,244,5462,5706,5436,7,237,26
0x40a1dc,99.9942%,71,1220913,1220984,575122,45,26,645791
0x40a2ee,99.9994%,3,464614,464617,524,3,0,464090
0x470bb2,100%,0,263,263,263,0,0,0
0x470ca5,100%,0,526,526,263,0,0,263
0x4712f6,100%,0,263,263,0,0,0,263
0x47126e,100%,0,263,263,263,0,0,0
0x470cc6,100%,0,263,263,0,0,0,263
0x471d21,100%,0,263,263,0,0,0,263
0x470ba4,100%,0,263,263,0,0,0,263
0x40a258,100%,0,232754,232754,232754,0,0,0
0x470d0b,100%,0,263,263,263,0,0,0
0x471278,100%,0,263,263,263,0,0,0
0x470ee3,100%,0,263,263,263,0,0,0
0x470b10,100%,0,263,263,263,0,0,0
0x470f36,100%,0,263,263,263,0,0,0
0x47124f,100%,0,263,263,0,0,0,263
0x471245,100%,0,263,263,0,0,0,263
0x471076,100%,0,5443,5443,0,0,0,5443
0x471087,100%,0,263,263,263,0,0,0
0x47122b,100%,0,263,263,0,0,0,263
0x471264,100%,0,263,263,0,0,0,263
0x470b93,100%,0,263,263,0,0,0,263
0x471d30,100%,0,263,263,0,0,0,263
0x471d37,100%,0,263,263,0,0,0,263
0x470ced,100%,0,263,263,0,0,0,263
0x4712cc,100%,0,263,263,0,0,0,263
0x472c03,100%,0,263,263,0,0,0,263
0x472c0c,100%,0,263,263,263,0,0,0
0x472c1b,100%,0,263,263,0,0,0,263
0x470cd7,100%,0,263,263,263,0,0,0
0x472c27,100%,0,263,263,0,0,0,263
0x470a6a,100%,0,263,263,0,0,0,263
0x40a0b3,100%,0,107513,107513,0,0,0,107513
0x4712e9,100%,0,263,263,263,0,0,0
0x472bb3,100%,0,263,263,0,0,0,263
0x40979a,100%,0,264,264,0,0,0,264
0x472bec,100%,0,263,263,0,0,0,263
0x4097ac,100%,0,264,264,0,0,0,264
0x472c35,100%,0,263,263,0,0,0,263
0x470d26,100%,0,263,263,263,0,0,0
0x470f6d,100%,0,263,263,263,0,0,0
0x40973f,100%,0,263,263,0,0,0,263
0x472c30,100%,0,263,263,0,0,0,263
0x471100,100%,0,263,263,263,0,0,0
0x4096d7,100%,0,263,263,263,0,0,0
0x4097f4,100%,0,264,264,264,0,0,0
0x40a116,100%,0,1328233,1328233,1328233,0,0,0
0x470d6b,100%,0,263,263,263,0,0,0
0x40a34e,100%,0,464616,464616,464089,0,0,527
0x40a235,100%,0,528,528,0,0,0,528
0x409775,100%,0,263,263,0,0,0,263
0x470b6d,100%,0,263,263,0,0,0,263
0x40a213,100%,0,107513,107513,107513,0,0,0
0x470e13,100%,0,263,263,263,0,0,0
0x470f14,100%,0,263,263,263,0,0,0
0x472bc7,100%,0,263,263,0,0,0,263
0x470cfa,100%,0,263,263,0,0,0,263
0x413f2b,100%,0,263,263,0,0,0,263
0x472bdb,100%,0,263,263,263,0,0,0
0x40a176,100%,0,1328233,1328233,1328233,0,0,0
0x40a2c6,100%,0,528,528,0,0,0,528
0x470cb9,100%,0,263,263,0,0,0,263
0x470c98,100%,0,263,263,0,0,0,263
0x470a95,100%,0,263,263,263,0,0,0
