Branch PC,Accuracy,Mispredictions,Correct Predictions,Total,dir_t_pred_t,dir_t_pred_nt,dir_nt_pred_t,dir_nt_pred_nt
aggregate,99.5943%,101350,24881792,24983142,15429723,42852,58498,9452069
0x411cdb,98.5187%,15073,1002505,1017578,923744,6230,8843,78761
0x411480,98.4421%,15066,951979,967045,836087,5940,9126,115892
0x41104e,97.7806%,13959,615003,628962,508934,5560,8399,106069
0x4120ef,98.4517%,11737,746312,758049,702217,4230,7507,44095
0x412d38,99.0651%,7087,750962,758049,667276,3169,3918,83686
0x412633,98.0124%,7050,347642,354692,62811,4328,2722,284831
0x41321e,99.2806%,4525,624438,628963,557309,1769,2756,67129
0x412fb0,98.8781%,4180,368412,372592,245782,1792,2388,122630
0x4118ce,98.9356%,3966,368626,372592,253840,1526,2440,114786
0x4123df,92.51%,3865,47737,51602,27912,2042,1823,19825
0x412e6e,99.7342%,2705,1014873,1017578,899251,1101,1604,115622
0x410c08,98.8276%,2418,203829,206247,135308,1054,1364,68521
0x410794,99.417%,2174,370722,372896,306734,867,1307,63988
0x4130f0,99.803%,1905,965141,967046,851865,712,1193,113276
0x410341,99.304%,1319,188206,189525,42366,690,629,145840
0x4134a1,99.7211%,1040,371856,372896,329440,400,640,42416
0x413360,99.5471%,934,205313,206247,140575,377,557,64738
0x4135e8,99.6539%,656,188869,189525,167781,291,365,21088
0x412660,99.9171%,70,84379,84449,79223,29,41,5156
0x412629,99.929%,66,92884,92950,17269,41,25,75615
0x411dc7,99.9395%,53,87551,87604,27976,26,27,59575
0x411d18,99.947%,44,82944,82988,82397,9,35,547
0x41212f,99.9104%,42,46841,46883,46171,11,31,670
0x411923,99.9594%,42,103457,103499,103184,7,35,273
0x411b94,99.9604%,41,103458,103499,103178,13,28,280
0x412645,99.9882%,34,287519,287553,8477,24,10,279042
0x41223d,99.938%,32,51570,51602,18676,20,12,32894
0x411b78,99.9744%,30,117196,117226,13716,11,19,103480
0x410fb4,99.9571%,30,69855,69885,18710,15,15,51145
0x4110ab,99.9708%,30,102801,102831,102596,6,24,205
0x41108f,99.9755%,28,114440,114468,11624,13,15,102816
0x4119ca,99.977%,27,117199,117226,34540,12,15,82659
0x41115f,99.9773%,26,114442,114468,27794,14,12,86648
0x4114dd,99.9766%,26,111139,111165,110877,4,22,262
0x411cfc,99.9703%,26,87578,87604,4602,14,12,82976
0x411a06,99.9276%,25,34527,34552,3711,19,6,30816
0x41158a,99.98%,25,124993,125018,42273,16,9,82720
0x410629,99.9443%,24,43032,43056,5909,16,8,37123
0x41175c,99.9784%,24,111141,111165,110873,8,16,268
0x4106ec,99.9443%,24,43032,43056,14540,15,9,28492
0x412024,99.9737%,23,87581,87604,27987,15,8,59594
0x4107ed,99.9663%,22,65273,65295,4492,11,11,60781
0x410a85,99.9663%,22,65273,65295,4487,16,6,60786
0x4108ba,99.9678%,21,65274,65295,15865,12,9,49409
0x412fbe,99.9503%,21,42269,42290,7878,19,2,34391
0x412bcc,99.9612%,20,51582,51602,18687,9,11,32895
0x4113c4,99.9825%,20,114449,114469,27802,7,13,86647
0x410d1a,99.9714%,20,69864,69884,18714,10,10,51150
0x4103c4,99.9488%,19,37112,37131,37032,9,10,80
0x41241f,99.9327%,19,28193,28212,27640,7,12,553
0x410809,99.9687%,19,60773,60792,60689,1,18,84
0x410ef9,99.9673%,19,58099,58118,58011,5,14,88
0x412113,99.9632%,19,51583,51602,4708,11,8,46875
0x4114c1,99.9856%,18,125000,125018,13841,12,6,111159
0x411196,99.9353%,18,27790,27808,7887,9,9,19903
0x410473,99.9582%,18,43038,43056,14547,8,10,28491
0x411c44,99.9846%,18,117208,117226,34542,10,8,82666
0x4103a8,99.9605%,17,43039,43056,5913,12,5,37126
0x41295a,99.9466%,16,29938,29954,16129,9,7,13809
0x410b54,99.9755%,16,65279,65295,15865,12,4,49414
0x410c59,99.9771%,16,69869,69885,11758,9,7,58111
0x4124bf,99.9466%,16,29938,29954,16133,5,11,13805
0x412b1c,99.9659%,16,46867,46883,46178,4,12,689
0x4128a0,99.9433%,16,28196,28212,27642,5,11,554
0x411325,99.9854%,15,102817,102832,102598,5,10,219
0x410edd,99.9785%,15,69870,69885,11762,5,10,58108
0x4121ae,99.9893%,15,139933,139948,93059,6,9,46874
0x412d46,99.9464%,15,27987,28002,3926,9,6,24061
0x412276,99.9198%,15,18681,18696,4663,9,6,14018
0x41199e,99.9955%,14,310175,310189,206687,3,11,103488
0x411814,99.9888%,14,125005,125019,42282,8,6,82723
0x412bae,99.99%,14,139934,139948,93061,4,10,46873
0x4130fe,99.9497%,14,27795,27809,7888,9,5,19907
0x412c00,99.9305%,13,18683,18696,4664,8,5,14019
0x411907,99.9898%,12,117214,117226,13720,7,5,103494
0x41322c,99.9413%,11,18714,18725,5992,7,4,12722
0x41155e,99.9967%,11,333200,333211,222041,5,6,111159
0x41139e,99.9964%,11,308256,308267,205432,3,8,102824
0x410c75,99.9811%,11,58107,58118,58014,2,9,93
0x411740,99.9912%,11,125007,125018,13849,4,7,111158
0x4115c6,99.9764%,10,42279,42289,7891,5,5,34388
0x4104b6,99.9313%,10,14545,14555,9922,6,4,4623
0x4124f6,99.938%,10,16128,16138,3911,5,5,12217
0x411e06,99.9643%,10,27992,28002,3929,6,4,24063
0x4108f6,99.9433%,9,15868,15877,11556,5,4,4312
0x410645,99.9758%,9,37122,37131,37039,2,7,83
0x411f7a,99.9892%,9,82979,82988,82404,2,7,575
0x41292e,99.9893%,9,84062,84071,55857,2,7,28205
0x410d56,99.9519%,9,18715,18724,5994,4,5,12721
0x4106ce,99.9919%,9,111294,111303,74170,2,7,37124
0x4117ee,99.9973%,9,333205,333214,222045,3,6,111160
0x412b00,99.9845%,8,51594,51602,4715,4,4,46879
0x412e7c,99.9768%,8,34544,34552,3726,4,4,30818
0x410aa1,99.9868%,8,60784,60792,60687,3,5,97
0x412403,99.9766%,7,29947,29954,1740,2,5,28207
