Branch PC,Accuracy,Mispredictions,Correct Predictions,Total,dir_t_pred_t,dir_t_pred_nt,dir_nt_pred_t,dir_nt_pred_nt
aggregate,99.9728%,3169,11664073,11667242,10182930,59,3110,1481143
0x45a389,99.8067%,1523,786445,787968,786427,2,1521,18
0x45a755,99.898%,802,785627,786429,784894,2,800,733
0x459f7f,99.8979%,551,538920,539471,538419,0,551,501
0x45a2eb,99.9961%,31,787937,787968,19952,16,15,767985
0x45a6cd,99.9962%,30,786399,786429,386277,12,18,400122
0x45a0d0,99.9967%,26,786406,786432,784893,3,23,1513
0x45a594,99.997%,24,787944,787968,786430,2,22,1514
0x45a491,99.9971%,23,787939,787962,786427,2,21,1512
0x45a200,99.9972%,22,789485,789507,787966,2,20,1519
0x45a975,99.998%,16,784880,784896,783363,0,16,1517
0x459ec4,99.9976%,13,539457,539470,258549,3,10,280908
0x45b27a,99.9983%,9,524279,524288,523264,0,9,1015
0x45b38e,99.9983%,9,523255,523264,522242,0,9,1013
0x459c21,99.9987%,7,523257,523264,522242,0,7,1015
0x4599ba,99.9989%,6,525306,525312,524288,0,6,1018
0x45ae9d,99.9984%,5,310089,310094,308883,0,5,1206
0x45a142,99.6745%,5,1531,1536,1531,2,3,0
0x45a182,99.6745%,5,1531,1536,1531,2,3,0
0x45a7c6,99.7391%,4,1529,1533,1529,1,3,0
0x45a0dc,99.7396%,4,1532,1536,1532,1,3,0
0x45a4c0,99.7391%,4,1529,1533,1529,1,3,0
0x459b2f,99.9992%,4,524284,524288,523264,0,4,1020
0x45a3e2,99.7401%,4,1535,1539,1535,1,3,0
0x45a226,99.7401%,4,1535,1539,1535,1,3,0
0x45a5b5,99.7396%,4,1532,1536,1532,1,3,0
0x45a9b1,99.8043%,3,1530,1533,1530,0,3,0
0x459fc8,99.7148%,3,1049,1052,1049,0,3,0
0x45aa7b,99.8047%,3,1533,1536,1533,0,3,0
0x459da9,99.9994%,3,526333,526336,525312,0,3,1021
0x45aa2b,99.8047%,3,1533,1536,1533,0,3,0
0x45b3af,99.8043%,2,1020,1022,1020,0,2,0
0x459dfe,99.8047%,2,1022,1024,1022,0,2,0
0x45a028,99.8698%,2,1534,1536,1534,2,0,0
0x45b13d,99.8348%,2,1209,1211,1209,0,2,0
0x45a537,99.8698%,2,1534,1536,1534,2,0,0
0x45b2a2,99.8047%,2,1022,1024,1022,0,2,0
0x459a72,99.8047%,2,1022,1024,1022,0,2,0
0x459b50,99.8047%,2,1022,1024,1022,0,2,0
0x459c40,99.8043%,2,1020,1022,1020,0,2,0
0x45a818,99.9348%,1,1532,1533,1532,1,0,0
0x45aa5a,100%,0,3,3,0,0,0,3
0x459cb3,100%,0,2,2,0,0,0,2
0x459bb7,100%,0,2,2,0,0,0,2
0x45a129,100%,0,3,3,0,0,0,3
0x459844,100%,0,2,2,0,0,0,2
0x45ab2b,100%,0,1212,1212,0,0,0,1212
0x459ad0,100%,0,2,2,0,0,0,2
0x45a62f,100%,0,1533,1533,0,0,0,1533
0x4597d8,100%,0,2,2,0,0,0,2
0x45a618,100%,0,3,3,0,0,0,3
0x45a43e,100%,0,1533,1533,0,0,0,1533
0x45a50b,100%,0,3,3,0,0,0,3
0x45b32f,100%,0,1022,1022,0,0,0,1022
0x45b310,100%,0,2,2,0,0,0,2
0x45b51a,100%,0,2,2,2,0,0,0
0x45b19f,100%,0,1024,1024,0,0,0,1024
0x45a420,100%,0,3,3,0,0,0,3
0x459e4e,100%,0,1051,1051,0,0,0,1051
0x459bcf,100%,0,1022,1022,0,0,0,1022
0x45aa01,100%,0,3,3,0,0,0,3
0x45a1db,100%,0,1539,1539,0,0,0,1539
0x45a199,100%,0,3,3,0,0,0,3
0x45b187,100%,0,2,2,0,0,0,2
0x45abaa,100%,0,1212,1212,0,0,0,1212
0x45a163,100%,0,3,3,0,0,0,3
0x459ae8,100%,0,1024,1024,0,0,0,1024
0x45af02,100%,0,1211,1211,0,0,0,1211
0x45a80a,100%,0,3,3,0,0,0,3
0x459cfe,100%,0,1024,1024,0,0,0,1024
0x45aa92,100%,0,3,3,0,0,0,3
0x45a26f,100%,0,1539,1539,0,0,0,1539
0x45a014,100%,0,3,3,0,0,0,3
