Branch PC,Accuracy,Mispredictions,Correct Predictions,Total,dir_t_pred_t,dir_t_pred_nt,dir_nt_pred_t,dir_nt_pred_nt
aggregate,98.7528%,244753,19379365,19624118,7903583,75438,169315,11475782
0x4bedf9,77.1704%,170955,577874,748829,460699,42262,128693,117175
0x4c8761,95.3948%,14977,310243,325220,47780,3182,11795,262463
0x4c5c06,82.4504%,13407,62988,76395,53447,3782,9625,9541
0x4bf7d5,98.1631%,5973,319186,325159,1,5958,15,319185
0x50fc12,96.6007%,5150,146352,151502,745,4683,467,145607
0x4c5c31,75.8688%,4319,13579,17898,9567,1262,3057,4012
0x4be97a,58.3186%,3064,4287,7351,3433,911,2153,854
0x4bf7d9,99.2729%,2321,316879,319200,316879,12,2309,0
0x4c6bb0,99.0732%,2206,235813,238019,31,2178,28,235782
0x4ba40c,89.4641%,2135,18129,20264,16960,50,2085,1169
0x4c2680,84.8582%,2087,11696,13783,1708,1990,97,9988
0x4bdcfc,92.0687%,1713,19885,21598,17955,390,1323,1930
0x4cb4c0,86.9701%,1580,10546,12126,7369,771,809,3177
0x4cbcb0,80.6556%,1440,6004,7444,3525,892,548,2479
0x4c6bb9,99.4144%,1381,234429,235810,234416,4,1377,13
0x50feb6,94.5753%,1299,22647,23946,7825,1223,76,14822
0x4c5c1f,94.7101%,998,17868,18866,38,930,68,17830
0x50fe02,89.3213%,826,6909,7735,6904,18,808,5
0x4bf8b4,99.7481%,819,324339,325158,322749,64,755,1590
0x4c9fcb,91.9732%,720,8250,8970,1648,628,92,6602
0x4bedd7,99.9177%,617,748827,749444,0,615,2,748827
0x4c7ef0,92.881%,532,6941,7473,6550,54,478,391
0x4be9c1,86.577%,429,2767,3196,2763,0,429,4
0x50fcd4,98.1664%,332,17774,18106,0,328,4,17774
0x4c5c18,98.4243%,302,18864,19166,4,296,6,18860
0x4c4988,83.912%,278,1450,1728,462,229,49,988
0x50fec1,98.3488%,246,14652,14898,3477,233,13,11175
0x4c5c38,96.5625%,243,6826,7069,28,210,33,6798
0x4ca08a,99.956%,218,495232,495450,319027,84,134,176205
0x4cbcea,87.7315%,212,1516,1728,94,187,25,1422
0x47b38c,85.4074%,197,1153,1350,0,193,4,1153
0x4c5929,99.7616%,183,76588,76771,76364,33,150,224
0x4c4407,99.2184%,168,21327,21495,21159,8,160,168
0x4c02ce,75.4472%,151,464,615,78,79,72,386
0x50fc1e,99.9103%,131,145943,146074,145919,1,130,24
0x4c57c3,94.7477%,127,2291,2418,2291,3,124,0
0x4c64da,99.9111%,124,139324,139448,74601,68,56,64723
0x4ca0c8,99.9302%,123,176216,176339,154231,21,102,21985
0x4b8dbd,89.4372%,122,1033,1155,886,47,75,147
0x50fcff,99.6189%,69,18037,18106,18037,3,66,0
0x4ba510,92.3925%,69,838,907,217,47,22,621
0x50fe76,93.8126%,68,1031,1099,312,61,7,719
0x418b3c,92.1856%,64,755,819,755,1,63,0
0x4761b1,75.7937%,61,191,252,191,2,59,0
0x4b9f2e,98.3405%,54,3200,3254,1117,24,30,2083
0x4bb1ce,97.5432%,54,2144,2198,587,36,18,1557
0x50fb20,99.1147%,50,5598,5648,40,26,24,5558
0x4c9ecc,99.4872%,46,8924,8970,7347,35,11,1577
0x4c5c90,89.1827%,45,371,416,0,42,3,371
0x50fcf7,88.1402%,44,327,371,1,42,2,326
0x4c6bd4,98.8052%,43,3556,3599,124,34,9,3432
0x4bf6d4,99.4267%,42,7284,7326,7284,5,37,0
0x4cb570,98.7724%,39,3138,3177,262,36,3,2876
0x4ba887,99.9182%,39,47635,47674,47635,0,39,0
0x4ba4e7,95.873%,39,906,945,11,27,12,895
0x4c4ccb,99.612%,38,9755,9793,1278,18,20,8477
0x50fe81,94.7658%,38,688,726,174,35,3,514
0x50fb1a,99.3324%,38,5654,5692,19,25,13,5635
0x4c9e62,99.5987%,36,8934,8970,7345,12,24,1589
0x4c4d6e,98.5062%,34,2242,2276,688,24,10,1554
0x50feaa,99.8583%,34,23953,23987,10,31,3,23943
0x4c4e24,99.6116%,33,8464,8497,5918,21,12,2546
0x4b959e,96.7247%,32,945,977,16,28,4,929
0x4c466b,99.9902%,32,325188,325220,548,32,0,324640
0x4cb3a1,99.6834%,31,9762,9793,3978,21,10,5784
0x50fdec,99.5691%,30,6932,6962,6932,5,25,0
0x4c4d5b,99.7039%,29,9764,9793,7498,19,10,2266
0x4bddbd,99.9067%,27,28898,28925,28898,1,26,0
0x50fc56,99.3168%,25,3634,3659,3634,6,19,0
0x4bc11c,98.9242%,23,2115,2138,2075,16,7,40
0x4bbd47,98.971%,22,2116,2138,42,8,14,2074
0x4c4152,99.1515%,21,2454,2475,0,21,0,2454
0x4ca8cb,99.4534%,21,3821,3842,2764,6,15,1057
0x4bbd18,99.0309%,21,2146,2167,15,14,7,2131
0x50fde6,99.7132%,20,6954,6974,0,12,8,6954
0x4c77ef,95.1923%,20,396,416,5,6,14,391
0x50fd04,71.2121%,19,47,66,47,3,16,0
0x4c7aab,95.6731%,18,398,416,367,7,11,31
0x4bee01,99.9927%,18,245850,245868,23,17,1,245827
0x4c6e4e,99.8779%,17,13907,13924,7466,7,10,6441
0x4bb1b2,99.2747%,17,2327,2344,137,9,8,2190
0x4c3c24,99.3131%,17,2458,2475,2443,3,14,15
0x4b9579,98.4111%,16,991,1007,14,16,0,977
0x50fe11,98.032%,16,797,813,797,1,15,0
0x4b9e76,99.5175%,16,3300,3316,51,11,5,3249
0x4be9ad,99.5333%,15,3199,3214,0,15,0,3199
