Branch PC,Accuracy,Mispredictions,Correct Predictions,Total,dir_t_pred_t,dir_t_pred_nt,dir_nt_pred_t,dir_nt_pred_nt
aggregate,99.8122%,71906,38214400,38286306,15473091,27894,44012,22741309
0x40f7c3,99.0108%,27996,2802132,2830128,2338890,17172,10824,463242
0x40e3aa,72.6366%,4362,11579,15941,9074,1091,3271,2505
0xa52200,94.7844%,4339,78854,83193,78193,444,3895,661
0xa51c30,94.7684%,3654,66191,69845,65642,358,3296,549
0x40f894,99.8896%,2603,2355743,2358346,2354938,2,2601,805
0xa56750,94.3877%,2545,42802,45347,42788,9,2536,14
0x40d412,90.8567%,2442,24266,26708,21736,762,1680,2530
0xa52180,83.9372%,2354,12301,14655,12015,162,2192,286
0x40d4a5,92.551%,1943,24141,26084,22585,270,1673,1556
0xa51bb0,84.351%,1935,10430,12365,10115,170,1765,315
0x40d42e,99.3711%,1615,255174,256789,255063,42,1573,111
0xa521e4,89.2757%,1571,13078,14649,9629,464,1107,3449
0xa51c14,89.2799%,1325,11035,12360,8112,403,922,2923
0xa566cb,78.6103%,1139,4186,5325,3790,290,849,396
0xa521db,72.6972%,1073,2857,3930,679,779,294,2178
0xa51c0b,71.047%,954,2341,3295,487,733,221,1854
0xa51be4,81.5369%,913,4032,4945,2932,363,550,1100
0xa51dc9,92.6628%,739,9333,10072,229,584,155,9104
0xa56891,94.486%,656,11241,11897,11218,15,641,23
0xa5223c,93.7867%,603,9102,9705,4842,296,307,4260
0xa5672f,88.9181%,590,4734,5324,2493,281,309,2241
0xa51d6e,95.296%,580,11750,12330,6203,417,163,5547
0xa568d2,85.8625%,545,3310,3855,3038,142,403,272
0xa51c5f,95.6472%,538,11822,12360,9888,87,451,1934
0x40e2b0,96.9587%,501,15972,16473,15965,14,487,7
0xa5672b,72.1293%,483,1250,1733,98,391,92,1152
0x40f7c5,99.8994%,477,473589,474066,84,462,15,473505
0xa56775,91.2847%,464,4860,5324,3504,70,394,1356
0xa52640,93.75%,449,6735,7184,6725,122,327,10
0x40d429,99.8826%,302,257031,257333,250,294,8,256781
0xa5680c,69.2308%,208,468,676,270,76,132,198
0xa525bb,54.023%,200,235,435,122,94,106,113
0x40d414,95.3682%,195,4015,4210,1834,148,47,2181
0xa5686b,69.4391%,158,359,517,64,124,34,295
0x40d480,96.8409%,133,4077,4210,512,112,21,3565
0xa525f7,65.3439%,131,247,378,110,62,69,137
0xa56844,85.4381%,113,663,776,505,12,101,158
0xa52623,75.7647%,103,322,425,34,54,49,288
0x8a531e,97.0286%,52,1698,1750,1647,14,38,51
0xa52296,90.8766%,51,508,559,2,51,0,506
0x40d436,97.6791%,46,1936,1982,1593,7,39,343
0x40d46e,98.0324%,45,2242,2287,659,30,15,1583
0x40f719,99.9992%,36,4691030,4691066,4691013,2,34,17
0x40d44f,97.5092%,34,1331,1365,973,10,24,358
0x40d19f,99.7854%,30,13949,13979,2634,16,14,11315
0xa51d66,99.7573%,30,12330,12360,0,30,0,12330
0xa4c449,99.9365%,28,44046,44074,21795,10,18,22251
0x40d1fe,99.0189%,26,2624,2650,2624,0,26,0
0xa51f06,90.2985%,26,242,268,0,26,0,242
0xa51d7c,98.9054%,25,2259,2284,2255,3,22,4
0x40e3a4,99.8498%,24,15955,15979,14,24,0,15941
0xa5236c,99.7731%,23,10112,10135,10101,2,21,11
0x40f54b,99.999%,23,2356038,2356061,10506,22,1,2345532
0xa52242,99.4964%,23,4544,4567,4513,1,22,31
0xa51e39,99.7732%,21,9238,9259,8427,4,17,811
0xa51d76,99.6497%,20,5690,5710,3417,9,11,2273
0xa51ed4,99.8312%,17,10055,10072,10055,1,16,0
0x40d4fe,97.2756%,17,607,624,261,15,2,346
0xa525ea,97.028%,17,555,572,180,14,3,375
0x40f7b7,99.9993%,17,2358329,2358346,1721,17,0,2356608
0xa56704,99.4615%,14,2586,2600,1719,14,0,867
0xa52238,99.9113%,13,14636,14649,4936,8,5,9700
0xa51668,31.5789%,13,6,19,2,7,6,4
0xa5686f,98.2222%,12,663,675,0,11,1,663
0x40e4a5,99.9332%,11,16462,16473,16454,0,11,8
0x40d1a7,99.9029%,11,11318,11329,10200,5,6,1118
0x8a534e,89.7959%,10,88,98,0,9,1,88
0xa521b4,99.8305%,10,5888,5898,3925,5,5,1963
0xa52602,95.3608%,9,185,194,3,7,2,182
