Branch PC,Accuracy,Mispredictions,Correct Predictions,Total,dir_t_pred_t,dir_t_pred_nt,dir_nt_pred_t,dir_nt_pred_nt
aggregate,99.8727%,33494,26286842,26320336,18530699,17016,16478,7756143
0x42ee76,97.9005%,6007,280103,286110,2146,4172,1835,277957
0x42f195,86.4234%,5905,37589,43494,30510,2528,3377,7079
0x42ff97,79.0045%,2923,10999,13922,10363,545,2378,636
0x42f14e,98.8593%,2455,212772,215227,31716,1461,994,181056
0x42e6b3,90.9184%,1782,17840,19622,4449,1244,538,13391
0x42fff7,92.7083%,1571,19974,21545,79,1277,294,19895
0x42e038,94.7889%,1374,24993,26367,12814,762,612,12179
0x42fe5c,96.0565%,1208,29425,30633,27401,374,834,2024
0x42e0fa,95.799%,1091,24879,25970,21515,227,864,3364
0x42ee82,99.6572%,959,278833,279792,15534,840,119,263299
0x461cae,98.5931%,819,57395,58214,35124,308,511,22271
0x42e09b,99.8562%,741,514706,515447,488348,220,521,26358
0x430015,96.8022%,710,21493,22203,21370,175,535,123
0x42ee69,98.0647%,706,35775,36481,22373,319,387,13402
0x42ee5d,99.0872%,397,43097,43494,6765,248,149,36332
0x42f3cb,99.1268%,382,43366,43748,9689,241,141,33677
0x42edb9,94.4179%,351,5937,6288,304,207,144,5633
0x42dbb8,86.8061%,328,2158,2486,1010,186,142,1148
0x42fe70,90.3119%,292,2722,3014,834,166,126,1888
0x42effb,99.7683%,246,105915,106161,91285,108,138,14630
0x42e0d6,99.6484%,233,66034,66267,39815,84,149,26219
0x42ef31,99.9451%,229,416626,416855,373280,81,148,43346
0x42e249,99.8939%,191,179791,179982,170874,66,125,8917
0x42f10e,99.9951%,184,3793438,3793622,3162510,76,108,630928
0x42fe64,94.3597%,170,2844,3014,415,101,69,2429
0x461c0c,99.6769%,164,50601,50765,24731,89,75,25870
0x42e8e3,99.4206%,124,21277,21401,19373,29,95,1904
0x42e938,98.7686%,117,9384,9501,7466,36,81,1918
0x4302e3,94.6593%,116,2056,2172,1303,27,89,753
0x42fe4e,96.284%,112,2902,3014,83,73,39,2819
0x42ffd6,96.4179%,108,2907,3015,954,46,62,1953
0x42e130,99.9818%,106,582521,582627,555711,37,69,26810
0x42f076,99.9849%,101,670905,671006,600496,41,60,70409
0x42e575,96.6968%,95,2781,2876,1139,37,58,1642
0x42e7b3,99.8683%,89,67483,67572,63840,38,51,3643
0x42f309,99.9954%,85,1866773,1866858,1735575,36,49,131198
0x42acdd,98.015%,74,3654,3728,1804,44,30,1850
0x461c85,99.7139%,71,24749,24820,2008,30,41,22741
0x42f389,99.9993%,70,9529012,9529082,8313649,39,31,1215363
0x42e317,95.1389%,70,1370,1440,207,37,33,1163
0x461c12,99.7842%,56,25889,25945,5579,25,31,20310
0x42eeb5,99.8758%,54,43440,43494,20278,28,26,23162
0x461c28,99.7345%,54,20287,20341,17819,11,43,2468
0x42b9b2,92.6421%,44,554,598,331,23,21,223
0x42e29c,99.8741%,41,32527,32568,31135,17,24,1392
0x42ef8f,99.846%,34,22038,22072,10537,16,18,11501
0x42f13c,99.9356%,28,43466,43494,33164,13,15,10302
0x42efa1,99.7743%,26,11493,11519,4599,14,12,6894
0x473d85,99.9486%,25,48636,48661,26687,14,11,21949
0x42edaa,99.6077%,25,6348,6373,64,21,4,6284
0x42e507,99.8921%,21,19441,19462,1,15,6,19440
0x42f003,99.8713%,19,14749,14768,3694,12,7,11055
0x4074b0,99.088%,17,1847,1864,1847,0,17,0
0x42f099,99.9816%,13,70456,70469,44554,5,8,25902
0x42f0b4,99.9981%,13,674517,674530,321238,10,3,353279
0x42e560,99.9332%,13,19449,19462,17762,0,13,1687
0x42ef7d,99.9582%,12,28714,28726,6643,11,1,22071
0x42d8aa,99.7226%,12,4314,4326,1832,8,4,2482
0x43005f,97.6744%,12,504,516,41,7,5,463
0x42ef5e,99.9747%,11,43483,43494,12451,3,8,31032
0x42f014,99.977%,10,43484,43494,17577,7,3,25907
0x42f024,99.9858%,10,70459,70469,46209,7,3,24250
0x42e0e7,99.9702%,8,26871,26879,22647,4,4,4224
0x42a6ed,99.7854%,8,3720,3728,0,8,0,3720
0x42e715,99.8595%,8,5685,5693,1993,6,2,3692
0x42e282,99.4444%,8,1432,1440,18,6,2,1414
0x42f32d,99.9954%,6,131241,131247,87493,5,1,43748
0x42f344,99.9995%,6,1259137,1259143,607696,1,5,651441
