Branch PC,Accuracy,Mispredictions,Correct Predictions,Total,dir_t_pred_t,dir_t_pred_nt,dir_nt_pred_t,dir_nt_pred_nt
aggregate,98.9%,260198,23394242,23654440,12723903,175537,84661,10670339
0x403003,97.0576%,107807,3556107,3663914,37406,85886,21921,3518701
0x402e07,96.7194%,75375,2222221,2297596,299771,39824,35551,1922450
0x402f45,89.716%,34924,304671,339595,155039,22657,12267,149632
0x402dd2,98.7605%,29678,2364749,2394427,2281429,16167,13511,83320
0x403078,99.7001%,10618,3530004,3540622,29252,9355,1263,3500752
0x40281e,99.8516%,1656,1114044,1115700,4,1632,24,1114040
0x40312b,99.9947%,121,2297476,2297597,2297476,0,121,0
0x40297b,99.9993%,8,1115691,1115699,1115691,8,0,0
0x402831,99.9995%,6,1114057,1114063,1114057,6,0,0
0x402837,99.9998%,2,1114061,1114063,1114061,2,0,0
0x4027be,0%,1,0,1,0,0,1,0
0x402cbd,99.1736%,1,120,121,120,0,1,0
0x402ce9,0%,1,0,1,0,0,1,0
0x41ace0,100%,0,120,120,120,0,0,0
0x41d43f,100%,0,120,120,0,0,0,120
0x41d37f,100%,0,120,120,0,0,0,120
0x403167,100%,0,121,121,121,0,0,0
0x41d3a7,100%,0,120,120,120,0,0,0
0x41a7d5,100%,0,120,120,120,0,0,0
0x41acbf,100%,0,120,120,0,0,0,120
0x41d423,100%,0,120,120,0,0,0,120
0x402c86,100%,0,121,121,0,0,0,121
0x41d411,100%,0,120,120,120,0,0,0
0x41d408,100%,0,120,120,0,0,0,120
0x41a830,100%,0,120,120,0,0,0,120
0x41a84a,100%,0,120,120,120,0,0,0
0x41a7b5,100%,0,120,120,0,0,0,120
0x41ac56,100%,0,120,120,0,0,0,120
0x41a9c5,100%,0,120,120,120,0,0,0
0x41ad07,100%,0,120,120,120,0,0,0
0x41d49a,100%,0,120,120,0,0,0,120
0x41accb,100%,0,120,120,0,0,0,120
0x41d3fc,100%,0,120,120,0,0,0,120
0x41aca6,100%,0,120,120,0,0,0,120
0x4030a9,100%,0,177696,177696,0,0,0,177696
0x403104,100%,0,339595,339595,339595,0,0,0
0x403094,100%,0,3540622,3540622,3502015,0,0,38607
0x402fd9,100%,0,161899,161899,0,0,0,161899
0x402e25,100%,0,339595,339595,339595,0,0,0
0x402dde,100%,0,96831,96831,96831,0,0,0
0x41d4a4,100%,0,120,120,0,0,0,120
0x41d485,100%,0,120,120,120,0,0,0
0x41d47c,100%,0,120,120,0,0,0,120
0x4027f8,100%,0,1,1,0,0,0,1
0x41d44c,100%,0,120,120,120,0,0,0
0x41d3d1,100%,0,120,120,120,0,0,0
0x41d4c4,100%,0,120,120,120,0,0,0
0x41a78a,100%,0,120,120,0,0,0,120
0x402d90,100%,0,120,120,0,0,0,120
0x41d3b8,100%,0,120,120,0,0,0,120
0x41d393,100%,0,120,120,0,0,0,120
0x41acb2,100%,0,120,120,0,0,0,120
0x41ac99,100%,0,120,120,0,0,0,120
0x41ac8d,100%,0,120,120,0,0,0,120
0x41d36f,100%,0,120,120,0,0,0,120
0x41acd8,100%,0,120,120,0,0,0,120
0x41a88d,100%,0,120,120,0,0,0,120
0x402d4a,100%,0,120,120,0,0,0,120
0x41d430,100%,0,120,120,120,0,0,0
0x402d83,100%,0,120,120,0,0,0,120
