Branch PC,Accuracy,Mispredictions,Correct Predictions,Total,dir_t_pred_t,dir_t_pred_nt,dir_nt_pred_t,dir_nt_pred_nt
aggregate,99.2795%,1053,145095,146148,67709,526,527,77386
0x89deb6,99.3925%,355,58080,58435,58080,3,352,0
0x47e645,96.6311%,98,2811,2909,464,41,57,2347
0xa79c2f,84.2697%,42,225,267,21,37,5,204
0x47e641,98.9186%,34,3110,3144,206,29,5,2904
0xa79c8a,64.1975%,29,52,81,31,17,12,21
0xa7ae40,81.0526%,18,77,95,51,11,7,26
0xa79c88,87.3684%,12,83,95,2,12,0,81
0xa79c34,94.7368%,11,198,209,25,9,2,173
0xa6463b,90.1961%,10,92,102,39,9,1,53
0xa8aa06,83.3333%,6,30,36,17,5,1,13
0xa64628,94.4444%,6,102,108,0,6,0,102
0xa67336,72.2222%,5,13,18,0,4,1,13
0xa8cb0c,37.5%,5,3,8,0,3,2,3
0x47e0a4,91.8033%,5,56,61,15,4,1,41
0xa8caf8,63.6364%,4,7,11,2,1,3,5
0xa67346,71.4286%,4,10,14,10,2,2,0
0xa67398,0%,4,0,4,0,3,1,0
0xa8cbeb,81.8182%,4,18,22,17,2,2,1
0xa79cd1,71.4286%,4,10,14,6,4,0,4
0xa7ad3a,62.5%,3,5,8,5,3,0,0
0xa66c67,91.6667%,3,33,36,33,3,0,0
0xa79c62,98.2857%,3,172,175,172,0,3,0
0x8d42d5,99.1228%,3,339,342,339,0,3,0
0xa5bf49,91.6667%,3,33,36,33,3,0,0
0xa646e4,50%,3,3,6,0,3,0,3
0xa61d3d,84.2105%,3,16,19,0,3,0,16
0x435839,99.4048%,3,501,504,501,3,0,0
0x47e651,99.8752%,3,2401,2404,2401,3,0,0
0xa7a9da,66.6667%,3,6,9,6,3,0,0
0xa61d61,87.5%,2,14,16,0,0,2,14
0xa5bf94,94.4444%,2,34,36,34,2,0,0
0x47e061,89.4737%,2,17,19,17,2,0,0
0xa66ead,94.4444%,2,34,36,17,1,1,17
0xa7a79a,71.4286%,2,5,7,3,2,0,2
0xa66d86,88.8889%,2,16,18,16,2,0,0
0x89dfc0,99.4318%,2,350,352,350,0,2,0
0xa5d9ed,94.4444%,2,34,36,34,2,0,0
0x48c8d8,60%,2,3,5,1,1,1,2
0xa8aa5f,85.7143%,2,12,14,12,0,2,0
0xa7ac1a,87.5%,2,14,16,14,2,0,0
0xa8cbb9,90.9091%,2,20,22,0,0,2,20
0x48c806,60%,2,3,5,0,0,2,3
0xa7a55a,80%,2,8,10,8,2,0,0
0xa66d27,94.4444%,2,34,36,16,2,0,18
0xa5fb63,94.4444%,2,34,36,0,0,2,34
0x435808,99.6169%,2,520,522,304,2,0,216
0xa5bfaf,94.4444%,2,34,36,34,2,0,0
0x47e072,89.4737%,2,17,19,0,0,2,17
0x4c6f9e,0%,2,0,2,0,2,0,0
0x4d9a9e,88.8889%,2,16,18,16,1,1,0
0xa66f93,88.8889%,2,16,18,16,2,0,0
0x4c7080,0%,2,0,2,0,2,0,0
0x889874,0%,1,0,1,0,1,0,0
0x8b9362,0%,1,0,1,0,1,0,0
0x8890c4,0%,1,0,1,0,1,0,0
0x4d968d,0%,1,0,1,0,1,0,0
0x888e34,0%,1,0,1,0,1,0,0
0xa7a8ba,88.8889%,1,8,9,8,1,0,0
0x47e0c4,94.7368%,1,18,19,18,1,0,0
0xa8cb34,75%,1,3,4,3,1,0,0
0x47856a,0%,1,0,1,0,1,0,0
0x477bfe,0%,1,0,1,0,1,0,0
0xa64724,66.6667%,1,2,3,2,1,0,0
0x4d9e51,0%,1,0,1,0,1,0,0
0xa5bfc3,97.2222%,1,35,36,35,1,0,0
0x438998,99.8047%,1,511,512,0,0,1,511
0x441fca,0%,1,0,1,0,1,0,0
0x889827,0%,1,0,1,0,1,0,0
0x888de7,0%,1,0,1,0,1,0,0
0xa8cae4,91.6667%,1,11,12,0,1,0,11
0x888fb5,0%,1,0,1,0,1,0,0
0x888bcc,0%,1,0,1,0,1,0,0
0x8893a0,0%,1,0,1,0,1,0,0
0x888f1b,0%,1,0,1,0,1,0,0
0xa8c7b5,94.7368%,1,18,19,0,0,1,18
0x4d7f27,0%,1,0,1,0,1,0,0
0x88a17c,0%,1,0,1,0,1,0,0
0x4d9ca4,0%,1,0,1,0,1,0,0
0x889655,0%,1,0,1,0,1,0,0
0x888b32,0%,1,0,1,0,1,0,0
0x4da1a1,0%,1,0,1,0,1,0,0
0x4d95ca,0%,1,0,1,0,1,0,0
0x4d7ed1,0%,1,0,1,0,1,0,0
0xa7a43a,50%,1,1,2,1,1,0,0
0x888e81,0%,1,0,1,0,1,0,0
0x4357ca,94.4444%,1,17,18,0,0,1,17
0x888d4d,0%,1,0,1,0,1,0,0
0xa5bfbe,97.2222%,1,35,36,0,0,1,35
0x889608,0%,1,0,1,0,1,0,0
0x88a687,0%,1,0,1,0,1,0,0
0x88a1c9,0%,1,0,1,0,1,0,0
0x47875a,0%,1,0,1,0,1,0,0
0x88b882,0%,1,0,1,0,1,0,0
0x478750,0%,1,0,1,0,0,1,0
0x4d9f14,0%,1,0,1,0,1,0,0
0x4d963f,0%,1,0,1,0,1,0,0
0x4c70e7,50%,1,1,2,1,1,0,0
0xa5f52c,97.2222%,1,35,36,35,1,0,0
0x4d9924,0%,1,0,1,0,1,0,0
0x889ddf,0%,1,0,1,0,1,0,0
0xa673a0,0%,1,0,1,0,1,0,0
0x88b0fa,0%,1,0,1,0,1,0,0
0x4d9ec6,0%,1,0,1,0,1,0,0
0xa8aa55,92.8571%,1,13,14,0,0,1,13
0x4357c2,94.4444%,1,17,18,0,0,1,17
0x888cb3,0%,1,0,1,0,1,0,0
0x88b3ca,0%,1,0,1,0,1,0,0
0x889002,0%,1,0,1,0,1,0,0
0xa738dc,0%,1,0,1,0,1,0,0
0x888c19,0%,1,0,1,0,1,0,0
0x47e042,50%,1,1,2,0,0,1,1
0x980487,0%,1,0,1,0,1,0,0
0x441e72,0%,1,0,1,0,1,0,0
0x8893ed,0%,1,0,1,0,1,0,0
0x888c66,0%,1,0,1,0,1,0,0
0x435822,99.537%,1,215,216,17,1,0,198
0x88943a,0%,1,0,1,0,1,0,0
0x888d9a,0%,1,0,1,0,1,0,0
0x88b34b,0%,1,0,1,0,1,0,0
0x8894d4,0%,1,0,1,0,1,0,0
0x888d00,0%,1,0,1,0,1,0,0
0x88909d,0%,1,0,1,0,1,0,0
0x88af69,0%,1,0,1,0,1,0,0
0x88956e,0%,1,0,1,0,1,0,0
0x88afbc,0%,1,0,1,0,1,0,0
0x8d42fd,66.6667%,1,2,3,2,0,1,0
0x441f85,0%,1,0,1,0,1,0,0
0x88a255,0%,1,0,1,0,1,0,0
0x889d92,0%,1,0,1,0,1,0,0
0x48c956,66.6667%,1,2,3,0,0,1,2
0x4d9702,0%,1,0,1,0,1,0,0
0x441db9,0%,1,0,1,0,1,0,0
0x889138,0%,1,0,1,0,1,0,0
0x88b8d2,0%,1,0,1,0,1,0,0
0xa5f53b,97.2222%,1,35,36,0,0,1,35
0x47b9cf,99.8645%,1,737,738,0,0,1,737
0x88b0d3,0%,1,0,1,0,1,0,0
0x88b922,0%,1,0,1,0,1,0,0
0x889a43,0%,1,0,1,0,1,0,0
0xa8aaaf,50%,1,1,2,1,1,0,0
0xa8aaa5,50%,1,1,2,0,0,1,1
0x48cb0f,50%,1,1,2,1,1,0,0
0xa61f2f,66.6667%,1,2,3,2,1,0,0
0xa64688,97.9167%,1,47,48,0,0,1,47
0x441bce,0%,1,0,1,0,1,0,0
0x4d98af,0%,1,0,1,0,1,0,0
0x889076,0%,1,0,1,0,1,0,0
0x8896ca,0%,1,0,1,0,1,0,0
0x4c6f5c,50%,1,1,2,1,1,0,0
0xa5d3f5,97.2222%,1,35,36,0,0,1,35
0xa5d3e7,97.2222%,1,35,36,35,1,0,0
0xa5d48d,97.2222%,1,35,36,0,0,1,35
0x4d957c,0%,1,0,1,0,1,0,0
0xa5d3b5,97.2222%,1,35,36,0,0,1,35
0x4d7e51,0%,1,0,1,0,0,1,0
0xa5f4fb,97.2222%,1,35,36,35,1,0,0
0x436c17,99.8047%,1,511,512,0,0,1,511
0xa73904,0%,1,0,1,0,0,1,0
0xa66f00,94.4444%,1,17,18,17,1,0,0
0x889e2c,0%,1,0,1,0,1,0,0
0x47e07b,94.7368%,1,18,19,0,0,1,18
0x4d9c7d,0%,1,0,1,0,1,0,0
0x4d7ee9,0%,1,0,1,0,1,0,0
0x889487,0%,1,0,1,0,1,0,0
0x436889,94.4444%,1,17,18,0,0,1,17
0xa8cb7d,95.4545%,1,21,22,0,0,1,21
0xa8cb20,80%,1,4,5,0,1,0,4
0xa66f40,94.4444%,1,17,18,17,1,0,0
0xa7aafa,90.9091%,1,10,11,10,1,0,0
0x4d9a3d,94.4444%,1,17,18,0,0,1,17
0x94caaf,94.4444%,1,17,18,17,1,0,0
