Branch PC,Accuracy,Mispredictions,Correct Predictions,Total,dir_t_pred_t,dir_t_pred_nt,dir_nt_pred_t,dir_nt_pred_nt
aggregate,97.1705%,757405,26010629,26768034,9856030,429483,327922,16154599
0x471355,74.9602%,261658,783312,1044970,174507,187721,73937,608805
0x471357,80.5251%,132963,549779,682742,401775,40417,92546,148004
0x471374,60.3055%,95485,145065,240550,77403,47192,48293,67662
0x471328,95.1925%,53311,1055598,1108909,6409,51233,2078,1049189
0x4712b5,85.7035%,39564,237176,276740,224233,3920,35644,12943
0x47139c,97.5212%,26059,1025208,1051267,2090,24920,1139,1023118
0x55bb1a,78.8677%,20943,78161,99104,32228,12198,8745,45933
0x55bb07,85.7512%,15118,90982,106100,44551,10127,4991,46431
0x55bb3b,76.8005%,12685,41993,54678,19862,6957,5728,22131
0x4712b3,96.7605%,10072,300844,310916,28774,5402,4670,272070
0x47139e,99.0275%,9961,1014296,1024257,1004548,88,9873,9748
0x54ff31,88.4503%,9409,72056,81465,58100,2490,6919,13956
0x471334,99.4006%,6301,1044966,1051267,31,6266,35,1044935
0x5510fc,96.5907%,5520,156390,161910,38351,2792,2728,118039
0x64e094,83.8171%,5475,28357,33832,6335,3043,2432,22022
0x54ff95,85.3388%,5042,29348,34390,10716,2756,2286,18632
0x5557f7,78.6547%,4465,16453,20918,10114,1972,2493,6339
0x443f3b,93.1337%,3989,54106,58095,47222,1670,2319,6884
0x6408b8,93.3666%,3235,45533,48768,41480,608,2627,4053
0x416e82,96.3307%,2660,69833,72493,51706,1219,1441,18127
0x4ebafe,81.4601%,2509,11024,13533,6942,1099,1410,4082
0x416e79,97.8855%,2316,107215,109531,35717,1321,995,71498
0x54536e,68.4865%,2257,4905,7162,2598,1102,1155,2307
0x54ff6f,97.3412%,2166,79299,81465,45981,1094,1072,33318
0x4712e1,99.1024%,2048,226105,228153,225483,0,2048,622
0x550b40,93.0696%,1419,19056,20475,19,1399,20,19037
0x558412,87.6814%,1333,9488,10821,308,1310,23,9180
0x558424,86.0372%,1285,7918,9203,379,1239,46,7539
0x5500d9,91.8795%,1094,12378,13472,12118,168,926,260
0x5564ba,92.1182%,1043,12190,13233,7465,496,547,4725
0x5549b7,94.9569%,1024,19281,20305,44,972,52,19237
0x4ebf4b,92.4372%,1006,12296,13302,7483,538,468,4813
0x544cc7,93.1229%,989,13392,14381,13388,16,973,4
0x55083d,92.6363%,979,12316,13295,11993,93,886,323
0x544c93,93.1989%,978,13402,14380,1,975,3,13401
0x54517e,85.6712%,950,5680,6630,979,633,317,4701
0x550924,93.641%,842,12399,13241,11993,77,765,406
0x55845a,92.607%,800,10021,10821,8829,374,426,1192
0x4713c3,96.473%,692,18928,19620,18726,116,576,202
0x545187,88.9199%,556,4462,5018,4241,102,454,221
0x54538a,86.8108%,488,3212,3700,3004,141,347,208
0x55212b,76.7351%,476,1570,2046,850,180,296,720
0x621e8a,98.8881%,387,34417,34804,29034,206,181,5383
0x544e70,99.6305%,381,102719,103100,101957,112,269,762
0x545377,89.0237%,380,3082,3462,2930,57,323,152
0x629198,99.6117%,359,92100,92459,162,293,66,91938
0x4168d2,99.5883%,305,73771,74076,48747,28,277,25024
0x55b6fc,99.9094%,275,303254,303529,56501,187,88,246753
0x6291ab,99.7533%,227,91777,92004,33338,63,164,58439
0x5510f7,99.8613%,226,162704,162930,837,183,43,161867
0x621e15,99.5619%,210,47720,47930,311,133,77,47409
0x54519a,87.531%,201,1411,1612,1227,30,171,184
0x62203c,99.5712%,146,33903,34049,74,119,27,33829
0x550861,98.9771%,136,13159,13295,12082,4,132,1077
0x55033b,99.4349%,118,20762,20880,44,88,30,20718
0x622005,99.6664%,115,34358,34473,330,94,21,34028
0x550535,63.245%,111,191,302,56,76,35,135
0x62204d,99.7092%,99,33950,34049,28793,23,76,5157
0x471495,64.7727%,93,171,264,152,32,61,19
0x55061b,79.9539%,87,347,434,282,20,67,65
0x64cb0d,99.7614%,82,34280,34362,264,75,7,34016
0x64cb17,99.7678%,79,33944,34023,100,69,10,33844
0x629254,84.8352%,69,386,455,22,59,10,364
0x552278,93.2485%,69,953,1022,953,2,67,0
0x5525fd,93.6954%,65,966,1031,966,4,61,0
