Branch PC,Accuracy,Mispredictions,Correct Predictions,Total,dir_t_pred_t,dir_t_pred_nt,dir_nt_pred_t,dir_nt_pred_nt
aggregate,99.6611%,157232,46233758,46390990,19647467,76078,81154,26586291
0x4dde45,98.8824%,41067,3633353,3674420,2909088,39332,1735,724265
0x59d4ea,99.3663%,39262,6156411,6195673,5468315,1004,38258,688096
0x4cd69b,98.292%,3482,200387,203869,4822,2632,850,195565
0x406c31,70.199%,3355,7903,11258,6558,1218,2137,1345
0x406ce1,76.1404%,3175,10132,13307,8694,1086,2089,1438
0x7b2fc5,85.1895%,3072,17670,20742,4234,2060,1012,13436
0x5fff91,94.4288%,2309,39136,41445,2543,2111,198,36593
0x7c938c,87.2154%,2145,14633,16778,5472,1205,940,9161
0x7c93a3,87.7339%,2058,14720,16778,8768,1003,1055,5952
0x4bc339,98.7109%,2041,156292,158333,145883,939,1102,10409
0x7c93b4,88.1154%,1994,14784,16778,8330,972,1022,6454
0x7c9468,86.6366%,1987,12882,14869,2435,1562,425,10447
0x7b1b7f,87.3661%,1969,13616,15585,6198,1096,873,7418
0x4ca06a,99.0156%,1938,194937,196875,194797,109,1829,140
0x4d07c3,95.5035%,1865,39612,41477,39017,41,1824,595
0x7c9492,84.4647%,1689,9183,10872,8655,362,1327,528
0x5c86fa,99.322%,1617,236869,238486,232128,113,1504,4741
0x5bf5cb,91.2266%,1595,16585,18180,14617,696,899,1968
0x406c06,67.978%,1457,3093,4550,2602,542,915,491
0x67e1e1,92.3787%,1337,16206,17543,14617,509,828,1589
0x5bfe69,88.6217%,1320,10281,11601,8912,624,696,1369
0x496934,91.9901%,1263,14505,15768,12859,492,771,1646
0x7b358e,59.0246%,1235,1779,3014,1066,583,652,713
0x5c5a9e,72.6015%,1228,3254,4482,1879,538,690,1375
0x7c93ca,92.8955%,1192,15586,16778,6232,630,562,9354
0x5bd249,87.2528%,1057,7235,8292,3558,473,584,3677
0x7b347d,85.307%,1041,6044,7085,691,670,371,5353
0x64dd49,99.193%,917,112719,113636,105225,92,825,7494
0x4291b0,87.8097%,856,6166,7022,4800,273,583,1366
0x50547b,96.0439%,851,20660,21511,0,850,1,20660
0x7c941f,80.9349%,832,3532,4364,2926,321,511,606
0x7b31b5,89.4059%,831,7013,7844,6042,331,500,971
0x4f6619,93.5814%,821,11970,12791,10852,236,585,1118
0x7b2fa5,96.9236%,665,20951,21616,456,418,247,20495
0x406c39,82.2493%,655,3035,3690,77,489,166,2958
0x406b91,82.2764%,654,3036,3690,1995,289,365,1041
0x4113e9,97.0569%,636,20974,21610,20406,65,571,568
0x7b303a,91.0766%,620,6328,6948,6235,136,484,93
0x7b3597,56.044%,600,765,1365,338,315,285,427
0x507872,92.3237%,591,7108,7699,6860,47,544,248
0x527667,94.6337%,583,10281,10864,1882,280,303,8399
0x7b13d8,73.9091%,574,1626,2200,345,348,226,1281
0x67b4c0,77.3047%,549,1870,2419,621,297,252,1249
0x46167b,84.3993%,522,2824,3346,1717,252,270,1107
0x5fff99,98.5975%,516,36275,36791,34963,216,300,1312
0x527678,94.2312%,502,8200,8702,4998,314,188,3202
0x7b1469,56.2778%,491,632,1123,465,214,277,167
0x67ba82,80.182%,479,1938,2417,1694,190,289,244
0x4291c3,96.6304%,477,13679,14156,1619,245,232,12060
