Branch PC,Accuracy,Mispredictions,Correct Predictions,Total,dir_t_pred_t,dir_t_pred_nt,dir_nt_pred_t,dir_nt_pred_nt
aggregate,98.4191%,124460,7748180,7872640,4652506,61457,63003,3095674
0x445632,94.1403%,9512,152818,162330,128885,3760,5752,23933
0x445604,95.7338%,9351,209837,219188,49848,7010,2341,159989
0x445611,96.05%,6412,155918,162330,52010,4848,1564,103908
0x41e591,83.6605%,5361,27449,32810,23434,1773,3588,4015
0x4455bf,96.0918%,4643,114157,118800,6227,2979,1664,107930
0x429ab4,91.4551%,3716,39772,43488,932,2798,918,38840
0x429b8e,75.6511%,3319,10312,13631,3008,2017,1302,7304
0x45ed2a,79.7399%,3287,12937,16224,12563,535,2752,374
0x41e5cf,90.5425%,3103,29707,32810,29508,501,2602,199
0x402828,95.3536%,2769,56825,59594,27949,1525,1244,28876
0x429c82,91.418%,2574,27419,29993,1985,1657,917,25434
0x429c2f,91.618%,2514,27479,29993,2213,1607,907,25266
0x429dc2,85.6907%,2254,13498,15752,4186,1276,978,9312
0x429ac2,94.4866%,2192,37566,39758,36770,481,1711,796
0x445f99,76.5612%,1993,6510,8503,3913,1029,964,2597
0x445d65,90.9208%,1897,18997,20894,15465,856,1041,3532
0x429be2,95.1132%,1658,32270,33928,1190,1101,557,31080
0x429aeb,86.1571%,1505,9367,10872,7596,558,947,1771
0x44591d,98.7652%,1467,117333,118800,117305,10,1457,28
0x403b2e,91.3062%,1423,14945,16368,14144,178,1245,801
0x426ca7,50.4773%,1297,1322,2619,890,557,740,432
0x429bfc,95.9666%,1276,30360,31636,765,878,398,29595
0x463702,58.8939%,1271,1821,3092,447,780,491,1374
0x426c80,52.4246%,1246,1373,2619,903,541,705,470
0x426cce,53.8373%,1209,1410,2619,961,529,680,449
0x43a53a,73.158%,1133,3088,4221,1715,363,770,1373
0x426c57,57.4265%,1115,1504,2619,1239,372,743,265
0x4636c8,89.7626%,1104,9680,10784,7207,485,619,2473
0x463a56,75.7403%,1065,3325,4390,534,598,467,2791
0x402ac0,99.6689%,925,278445,279370,249191,59,866,29254
0x445d6f,80.6691%,884,3689,4573,1755,446,438,1934
0x44b95b,86.2437%,876,5492,6368,5210,279,597,282
0x446034,90.1447%,838,7665,8503,7334,74,764,331
0x446639,89.0787%,780,6362,7142,6144,221,559,218
0x45edad,95.3649%,752,15472,16224,11976,192,560,3496
0x463da2,63.2064%,599,1029,1628,598,287,312,431
0x463745,94.5846%,584,10200,10784,10040,70,514,160
0x41e67e,85.9926%,568,3487,4055,3478,70,498,9
0x463c2c,83.5145%,546,2766,3312,278,379,167,2488
0x429a78,98.5444%,537,36354,36891,950,396,141,35404
0x45da5f,64.8814%,518,957,1475,778,179,339,179
0x433027,64.0972%,517,923,1440,870,137,380,53
0x45faf4,82.9569%,498,2424,2922,2399,90,408,25
0x4482a9,92.3198%,489,5878,6367,215,316,173,5663
0x463dec,64.8503%,458,845,1303,768,140,318,77
0x446186,92.8224%,457,5910,6367,4813,195,262,1097
0x44ac5d,93.1208%,438,5929,6367,5877,96,342,52
0x4634d7,80.6792%,421,1758,2179,1745,70,351,13
0x429c34,98.4106%,416,25757,26173,18622,156,260,7135
0x42897a,70.3943%,413,982,1395,373,221,192,609
0x463a91,87.4156%,410,2848,3258,2461,140,270,387
0x46336c,49.6314%,410,404,814,176,213,197,228
0x429bc6,98.8584%,393,34031,34424,232,264,129,33799
0x45fb49,85.9504%,391,2392,2783,2372,47,344,20
0x427b51,64.9863%,382,709,1091,47,271,111,662
0x463b73,88.4662%,382,2930,3312,2897,83,299,33
0x444b1d,92.8314%,378,4895,5273,4040,113,265,855
0x434e92,73.8889%,376,1064,1440,346,194,182,718
0x45ef35,90.7544%,375,3681,4056,501,275,100,3180
0x401cc6,93.9749%,375,5849,6224,5802,33,342,47
0x4456c4,98.7662%,365,29219,29584,270,280,85,28949
0x46349a,51.9205%,363,392,755,224,167,196,168
0x401a1b,81.6233%,360,1599,1959,1450,120,240,149
0x46334e,56.0197%,358,456,814,306,152,206,150
0x45f97b,65.5819%,349,665,1014,529,145,204,136
0x427c15,95.2649%,345,6941,7286,1644,300,45,5297
0x444b92,86.9928%,343,2294,2637,505,166,177,1789
0x45fbaa,87.4574%,331,2308,2639,2306,30,301,2
0x45d172,67.357%,331,683,1014,149,207,124,534
0x428700,72.4108%,317,832,1149,442,157,160,390
0x45fbfc,87.4552%,315,2196,2511,2193,42,273,3
0x429f3a,98.0256%,311,15441,15752,11600,214,97,3841
0x4279e5,92.6277%,303,3807,4110,3534,53,250,273
0x428f02,73.2255%,298,815,1113,462,132,166,353
0x44605b,73.516%,290,805,1095,570,145,145,235
0x429e05,97.213%,285,9941,10226,99,221,64,9842
0x4289da,64.794%,282,519,801,318,138,144,201
0x427b5d,63.6481%,281,492,773,51,201,80,441
0x42a125,93.2674%,279,3865,4144,3865,20,259,0
0x42a620,79.2256%,279,1064,1343,606,141,138,458
0x463754,64.3709%,269,486,755,91,175,94,395
0x463477,66.8874%,250,505,755,44,180,70,461
0x4279ae,93.8866%,249,3824,4073,2,228,21,3822
0x429a91,99.3051%,247,35298,35545,388,217,30,34910
0x463415,72.4022%,247,648,895,410,101,146,238
0x45dcf3,79.0777%,245,926,1171,287,107,138,639
0x45d1f1,63.0699%,243,415,658,156,150,93,259
0x4290da,69.625%,243,557,800,318,126,117,239
0x45fd61,69.9126%,241,560,801,44,172,69,516
0x405189,99.4531%,241,43823,44064,43790,2,239,33
0x45f036,67.7419%,240,504,744,479,64,176,25
0x428ab6,70.5368%,236,565,801,250,97,139,315
0x429eb7,97.7022%,235,9992,10227,163,151,84,9829
0x4482ae,96.0247%,232,5604,5836,132,158,74,5472
0x45fc3a,90.3589%,231,2165,2396,1954,23,208,211
0x429d35,99.3289%,231,34192,34423,25706,112,119,8486
0x45ed6b,92.6424%,230,2896,3126,194,186,44,2702
0x463798,53.1697%,229,260,489,60,133,96,200
0x42a014,94.1146%,229,3662,3891,125,154,75,3537
0x463dbd,60.7266%,227,351,578,32,151,76,319
0x404f3c,99.9364%,225,353647,353872,353593,7,218,54
0x45f064,70.6989%,218,526,744,503,56,162,23
0x434e9b,76.5556%,211,689,900,100,130,81,589
0x45f00c,71.9086%,209,535,744,525,33,176,10
0x4293c3,74.125%,207,593,800,330,108,99,263
0x463db7,73.3513%,198,545,743,17,148,50,528
0x4291cb,75.625%,195,605,800,263,91,104,342
0x45effd,81.3609%,189,825,1014,139,131,58,686
0x42a031,94.7674%,189,3423,3612,101,136,53,3322
0x429c94,99.2828%,189,26162,26351,18777,85,104,7385
0x42907a,86.8006%,184,1210,1394,477,117,67,733
0x45d2a8,74.2898%,181,523,704,25,131,50,498
0x429e21,98.1829%,180,9726,9906,16,146,34,9710
0x463809,64.8262%,172,317,489,89,84,88,228
0x45d341,68.6131%,172,376,548,354,63,109,22
0x45ddc3,85.0615%,170,968,1138,474,91,79,494
0x429ed7,98.3557%,163,9750,9913,30,141,22,9720
0x428c9f,80.5243%,156,645,801,327,98,58,318
0x45f989,55.2941%,152,188,340,48,92,60,140
0x4152f6,82.5287%,152,718,870,80,105,47,638
0x4279f5,84.216%,152,811,963,5,120,32,806
0x42a62b,74.4966%,152,444,596,42,107,45,402
0x4152f0,88.9625%,150,1209,1359,375,114,36,834
0x42a0d2,95.8472%,150,3462,3612,141,97,53,3321
0x45f095,79.9731%,149,595,744,503,40,109,92
0x4279e1,96.6094%,144,4103,4247,0,137,7,4103
0x40d054,99.8432%,139,88501,88640,83063,37,102,5438
0x429856,93.6567%,136,2008,2144,1865,11,125,143
0x40e51e,99.6789%,135,41913,42048,39353,67,68,2560
0x429a5e,99.6376%,135,37116,37251,232,128,7,36884
0x426d24,95.994%,133,3187,3320,3146,33,100,41
0x427a07,84.6062%,129,709,838,369,71,58,340
0x46e32e,91.5219%,122,1317,1439,669,50,72,648
0x45f2a3,91.0494%,116,1180,1296,1175,23,93,5
0x45d7c0,97.8474%,114,5182,5296,3929,43,71,1253
0x434eb7,82.9851%,114,556,670,18,87,27,538
0x4298e5,94.5%,110,1890,2000,1742,8,102,148
0x41b2f6,99.2259%,108,13844,13952,10405,59,49,3439
0x45f2f8,91.6667%,108,1188,1296,1187,28,80,1
0x41560a,92.6389%,106,1334,1440,747,67,39,587
0x427b45,91.1392%,105,1080,1185,6,88,17,1074
0x45d1c4,84.1945%,104,554,658,8,93,11,546
0x429fec,97.5354%,101,3997,4098,49,74,27,3948
0x44a9d7,90.7763%,101,994,1095,490,36,65,504
0x428da3,92.3135%,101,1213,1314,1154,20,81,59
