Branch PC,Accuracy,Mispredictions,Correct Predictions,Total,dir_t_pred_t,dir_t_pred_nt,dir_nt_pred_t,dir_nt_pred_nt
aggregate,94.8241%,948595,17378656,18327251,11528988,435962,512633,5849668
0x8816ab,79.0055%,232835,876195,1109030,722831,67312,165523,153364
0x8816d7,88.5281%,127227,981802,1109029,741752,52376,74851,240050
0x880b51,89.083%,65020,530564,595584,278361,33785,31235,252203
0x88382c,89.0877%,62949,513915,576864,238005,23093,39856,275910
0x880b6b,90.2004%,58365,537219,595584,247825,28908,29457,289394
0x880bbe,90.8476%,54510,541074,595584,93903,41917,12593,447171
0x880bd4,90.8955%,54225,541359,595584,95883,40487,13738,445476
0x88387f,91.7384%,47658,529206,576864,68835,41207,6451,460371
0x883895,92.0009%,46144,530720,576864,68294,40813,5331,462426
0x880b94,92.2767%,45999,549585,595584,225704,20039,25960,323881
0x883859,92.8389%,41310,535554,576864,252283,6809,34501,283271
0x8823fb,93.3058%,40294,561626,601920,279424,20157,20137,282202
0x8834eb,97.8428%,10804,490028,500832,79181,5499,5305,410847
0x88a4b4,93.6587%,9442,139454,148896,1884,8133,1309,137570
0x88a4ba,95.998%,5558,133321,138879,66181,2918,2640,67140
0x88247e,99.3056%,4180,597740,601920,597740,0,4180,0
0x880bfd,99.3054%,4137,591447,595584,591447,1,4136,0
0x8838b6,99.3056%,4006,572858,576864,572858,0,4006,0
0x881711,99.6824%,3522,1105508,1109030,1105508,0,3522,0
0x883575,99.3056%,3478,497354,500832,497354,0,3478,0
0x882f56,98.6766%,3314,247102,250416,246938,0,3314,164
0x883647,99.1135%,2557,285875,288432,284426,0,2557,1449
0x8863f1,99.4392%,2505,444183,446688,443586,0,2505,597
0x883812,99.7533%,1423,575441,576864,288865,595,828,286576
0x88a4f2,99.3056%,1034,147862,148896,147862,0,1034,0
0x883fd2,99.8117%,871,461657,462528,459316,0,871,2341
0x88292f,99.4258%,864,149616,150480,146300,0,864,3316
0x8801eb,99.4855%,766,148130,148896,144760,0,766,3370
0x886096,99.6876%,688,219554,220242,217135,5,683,2419
0x881c8d,99.796%,614,300346,300960,296779,1,613,3567
0xa7838e,94.504%,610,10489,11099,10489,5,605,0
0x884521,99.3056%,528,75504,76032,75504,0,528,0
0x88a80a,99.3606%,476,73972,74448,73414,0,476,558
0x886899,99.3658%,459,71921,72380,70306,6,453,1615
0x88bccb,99.5122%,367,74873,75240,74195,0,367,678
0x890b95,99.546%,338,74110,74448,73413,1,337,697
0x88c552,99.5465%,334,73322,73656,72631,2,332,691
0x88b96c,99.3056%,330,47190,47520,47190,0,330,0
0x88a0ec,99.3056%,330,47190,47520,47190,0,330,0
0x88b7e2,99.1441%,322,37298,37620,36575,0,322,723
0x88a9ca,99.588%,310,74930,75240,74195,0,310,735
0x88b4e9,99.1552%,309,36266,36575,35530,0,309,736
