Branch PC,Accuracy,Mispredictions,Correct Predictions,Total,dir_t_pred_t,dir_t_pred_nt,dir_nt_pred_t,dir_nt_pred_nt
aggregate,99.2674%,208784,28289824,28498608,23883081,56943,151841,4406743
0x8e36ee,99.1239%,4758,538310,543068,494014,282,4476,44296
0x848698,86.3889%,3113,19758,22871,19758,254,2859,0
0x86de67,98.2243%,1772,98020,99792,74222,1105,667,23798
0x78afb8,96.7998%,1659,50181,51840,48943,594,1065,1238
0x86da87,98.3566%,1640,98152,99792,74887,1073,567,23265
0x8e376d,96.7973%,1562,47210,48772,47210,192,1370,0
0x87a868,94.0856%,1533,24387,25920,18575,839,694,5812
0x8739c4,94.9074%,1320,24600,25920,22355,614,706,2245
0x873b44,94.946%,1310,24610,25920,2259,692,618,22351
0x873ae4,95.027%,1289,24631,25920,22384,585,704,2247
0x873a36,95.0424%,1285,24635,25920,22344,625,660,2291
0x873bc4,95.1235%,1264,24656,25920,2292,659,605,22364
0x873b84,95.1659%,1253,24667,25920,2274,677,576,22393
0x873961,95.2469%,1232,24688,25920,21445,604,628,3243
0x87dd1c,95.1614%,1226,24112,25338,6296,468,758,17816
0x96b86e,99.4901%,1212,236478,237690,224785,308,904,11693
0x64aa77,97.9377%,1191,56559,57750,56531,64,1127,28
0x77e124,97.7552%,1151,50124,51275,14721,314,837,35403
0x8e3686,97.6769%,1133,47639,48772,16369,619,514,31270
0x64a9c3,98.0814%,1108,56642,57750,12540,372,736,44102
0x77b113,97.8391%,1108,50167,51275,35423,817,291,14744
0x86de8c,98.9428%,1055,98737,99792,97816,128,927,921
0x64a181,97.8482%,1014,46110,47124,46108,92,922,2
0x77e3c3,98.0594%,1006,50834,51840,36166,639,367,14668
0x77dc80,98.0671%,1002,50838,51840,50838,42,960,0
0x64a9f8,98.3065%,978,56772,57750,19402,476,502,37370
0x77af30,98.1481%,960,50880,51840,50880,0,960,0
0x86dab6,99.038%,960,98832,99792,97812,132,828,1020
0x77f6df,98.1442%,946,50030,50976,50030,2,944,0
0x77f761,98.1462%,945,50031,50976,50031,1,944,0
0x77e313,98.2234%,921,50919,51840,36194,611,310,14725
0x77e136,98.2465%,909,50931,51840,50838,42,867,93
0x77e263,98.2639%,900,50940,51840,36201,604,296,14739
0x77e1b3,98.2967%,883,50957,51840,36204,601,282,14753
0x77b127,98.3005%,881,50959,51840,50855,25,856,104
0x825e01,85.7167%,857,5143,6000,5143,107,750,0
0x7a8a67,97.4387%,852,32412,33264,7818,337,515,24594
0x7803bc,88.8452%,852,6786,7638,6204,314,538,582
0x8e40ab,98.506%,843,55584,56427,0,766,77,55584
0x873c1c,96.7747%,836,25084,25920,24763,174,662,321
0x794f89,97.472%,830,32002,32832,24460,473,357,7542
0x825cf1,86.3333%,820,5180,6000,5180,70,750,0
0x7a89a7,97.5469%,816,32448,33264,7827,328,488,24621
0x7863fa,97.542%,807,32025,32832,24216,510,297,7809
0x831aa3,97.607%,796,32468,33264,7641,303,493,24827
0x8273e8,86.75%,795,5205,6000,5205,45,750,0
0x831b34,97.613%,794,32470,33264,24835,485,309,7635
0x825e86,86.8%,792,5208,6000,5208,42,750,0
0x825d76,86.8667%,788,5212,6000,5212,38,750,0
0x65f976,97.6431%,784,32480,33264,24638,471,313,7842
0x831b93,97.6431%,784,32480,33264,7600,344,440,24880
0x827543,86.9601%,782,5215,5997,5215,33,749,0
0x8276a1,86.966%,781,5211,5992,5211,32,749,0
0x65f876,97.6581%,779,32485,33264,24610,499,280,7875
0x8e3f1f,99.785%,779,361625,362404,361625,61,718,0
0x7d4f49,97.6671%,776,32488,33264,24620,489,287,7868
0x827707,87.233%,765,5227,5992,5227,16,749,0
0x64ebc7,97.6759%,753,31647,32400,23988,468,285,7659
0x64b3a7,97.7814%,738,32526,33264,25052,475,263,7474
0x65f8f7,97.7844%,737,32527,33264,24649,460,277,7878
0x831c24,97.7874%,736,32528,33264,7684,260,476,24844
0x795199,97.7583%,736,32096,32832,24256,470,266,7840
0x7a89d7,97.8295%,722,32542,33264,32509,139,583,33
0x873168,97.3305%,715,26069,26784,8361,222,493,17708
0x848168,86.7504%,707,4629,5336,4629,40,667,0
0x780794,97.3635%,672,24816,25488,17618,475,197,7198
0x780705,97.3909%,665,24823,25488,17641,452,213,7182
0x7eed97,97.7386%,646,27921,28567,20505,423,223,7416
0x64a0fa,98.6461%,638,46486,47124,7142,172,466,39344
0x831bea,98.1%,632,32632,33264,32582,66,566,50
0x780874,97.5361%,628,24860,25488,7203,192,436,17657
0x873825,97.5887%,625,25295,25920,24376,255,370,919
0x780378,97.5557%,623,24865,25488,17423,427,196,7442
0x873664,97.6042%,621,25299,25920,24373,258,363,926
0x873883,97.608%,620,25300,25920,937,352,268,24363
0x873783,97.6157%,618,25302,25920,926,363,255,24376
0x7db02b,97.6196%,617,25303,25920,17869,413,204,7434
0x873905,97.6235%,616,25304,25920,24370,261,355,934
0x7a8a9b,98.1512%,615,32649,33264,32580,68,547,69
0x8736e4,97.6427%,611,25309,25920,24357,274,337,952
0x78b037,98.8214%,611,51229,51840,50816,64,547,413
0x780a17,97.5876%,609,24636,25245,17422,428,181,7214
0x831afa,98.1722%,608,32656,33264,32591,57,551,65
0x7d4e91,92.6916%,596,7559,8155,89,501,95,7470
0x780689,97.6391%,596,24649,25245,17427,423,173,7222
0x7950b3,98.1847%,596,32236,32832,32108,116,480,128
0x795091,92.7585%,587,7519,8106,111,473,114,7408
0x7a3de4,97.7009%,586,24902,25488,17464,386,200,7438
0x87beec,97.7126%,583,24905,25488,7469,169,414,17436
0x794f11,92.632%,582,7317,7899,137,431,151,7180
0x87da65,97.7244%,580,24908,25488,17443,407,173,7465
0x831b5a,98.2624%,578,32686,33264,32581,67,511,105
0x780814,97.7362%,577,24911,25488,17682,411,166,7229
0x794fac,98.2822%,564,32268,32832,32104,120,444,164
0x786423,98.2852%,563,32269,32832,32168,56,507,101
0x65f914,98.3225%,558,32706,33264,32603,45,513,103
0x7a1c86,97.8107%,558,24930,25488,17472,378,180,7458
0x786342,93.1285%,557,7549,8106,84,500,57,7465
0x7a3b44,97.8147%,557,24931,25488,17472,378,179,7459
0x87daf4,97.8225%,555,24933,25488,17460,390,165,7473
0x7d4f73,98.3526%,548,32716,33264,32587,61,487,129
0x831c4c,98.3586%,546,32718,33264,32612,36,510,106
0x64ebec,98.3272%,542,31858,32400,31728,72,470,130
0x77ee48,97.8853%,539,24949,25488,20204,212,327,4745
0x87b673,97.9321%,536,25384,25920,7495,143,393,17889
0x7db0eb,97.9398%,534,25386,25920,17762,358,176,7624
0x794f2c,98.3827%,531,32301,32832,32087,137,394,214
0x7d4eb3,98.4067%,530,32734,33264,32571,77,453,163
0x65f893,98.4157%,527,32737,33264,32590,58,469,147
0x87db73,97.952%,522,24966,25488,17495,355,167,7471
0x64b3e3,98.4307%,522,32742,33264,32562,86,436,180
0x7eee57,98.1762%,521,28046,28567,27956,72,449,90
0x77e1da,99.0066%,515,51325,51840,50868,12,503,457
0x878016,97.9873%,513,24975,25488,17516,334,179,7459
0x786364,98.4375%,513,32319,32832,32154,70,443,165
0x64a9da,99.1117%,513,57237,57750,4967,151,362,52270
0x7951c4,98.4558%,507,32325,32832,32164,60,447,161
0x65f993,98.4758%,507,32757,33264,32603,45,462,154
0x7a3a65,98.0187%,505,24983,25488,17523,327,178,7460
0x879bd6,98.0826%,497,25423,25920,7662,138,359,17761
0x7a3cf5,98.054%,496,24992,25488,17513,337,159,7479
0x87397c,85.7887%,491,2964,3455,2808,143,348,156
0x87a963,98.0564%,487,24569,25056,24569,23,464,0
0x87317c,98.1818%,487,26297,26784,26267,21,466,30
0x77e961,98.1443%,481,25439,25920,25439,1,480,0
0x87dd41,98.1246%,478,25010,25488,25009,7,471,1
0x77ef4f,98.1325%,476,25012,25488,25012,4,472,0
0x77efd1,98.1481%,472,25016,25488,25016,0,472,0
0x5e9603,99.8549%,470,323530,324000,323174,76,394,356
0x780749,98.156%,470,25018,25488,24995,21,449,23
0x87bf24,98.1717%,466,25022,25488,24997,19,447,25
0x78072c,93.739%,463,6932,7395,5764,206,257,1168
0x780a34,98.1913%,461,25027,25488,25014,2,459,13
0x7806b7,98.1992%,459,25029,25488,25013,3,456,16
0x7db095,94.1538%,456,7344,7800,127,416,40,7217
0x87bfc7,98.2423%,448,25040,25488,17996,310,138,7044
0x7803ec,98.258%,444,25044,25488,24958,58,386,86
0x65037b,98.5617%,443,30357,30800,30104,80,363,253
0x77e3ea,99.1512%,440,51400,51840,50851,29,411,549
0x873993,98.314%,437,25483,25920,25419,21,416,64
0x780884,98.2933%,435,25053,25488,25008,8,427,45
0x650352,98.5909%,434,30366,30800,25227,281,153,5139
0x87a886,98.3488%,428,25492,25920,25410,30,398,82
0x7dafd5,94.4488%,424,7214,7638,132,400,24,7082
0x7db33f,96.5083%,419,11581,12000,2576,184,235,9005
0x77e28a,99.1917%,419,51421,51840,50845,35,384,576
0x7a1c0e,94.5405%,417,7221,7638,7049,57,360,172
0x8277ee,87.0958%,415,2801,3216,2801,13,402,0
0x7807cd,98.4346%,399,25089,25488,25000,16,383,89
0x77e33a,99.2438%,392,51448,51840,50860,20,372,588
0x873b99,98.5378%,379,25541,25920,25425,15,364,116
0x873b59,98.5455%,377,25543,25920,25428,12,365,115
0x873bd9,98.5494%,376,25544,25920,25434,6,370,110
0x825cda,99.7698%,373,161627,162000,155872,128,245,5755
0x8739fb,98.5687%,371,25549,25920,25411,29,342,138
0x7db11a,98.5995%,363,25557,25920,25407,33,330,150
0x7db0ba,98.6034%,362,25558,25920,25414,26,336,144
0x873a98,98.615%,359,25561,25920,25424,16,343,137
0x87dab3,98.5993%,357,25131,25488,25002,14,343,129
0x873b16,98.6535%,349,25571,25920,25431,9,340,140
0x78082e,98.6347%,348,25140,25488,25009,7,341,131
0x7db313,97.1167%,346,11654,12000,944,256,90,10710
0x797ae7,97.7597%,345,15055,15400,12514,240,105,2541
0x7a1cb7,98.6543%,343,25145,25488,24994,22,321,151
0x7db329,97.1417%,343,11657,12000,1459,221,122,10198
0x650f72,97.7857%,341,15059,15400,15020,72,269,39
0x7a3d19,98.6621%,341,25147,25488,24982,34,307,165
0x7a3a89,98.666%,340,25148,25488,24973,43,297,175
0x7a1c37,98.6817%,336,25152,25488,24983,33,303,169
0x7db051,98.7114%,334,25586,25920,25422,18,316,164
0x795089,98.9857%,333,32499,32832,24620,106,227,7879
0x7daff1,98.723%,331,25589,25920,25426,14,317,163
0x87b69c,98.7346%,328,25592,25920,25439,1,327,153
0x879e4f,98.75%,324,25596,25920,15993,207,117,9603
0x8737cc,98.7539%,323,25597,25920,25432,8,315,165
0x7a3e06,98.7445%,320,25168,25488,24976,40,280,192
0x7973b6,97.9351%,318,15082,15400,15049,43,275,33
0x78633a,99.0528%,311,32521,32832,24654,72,239,7867
0x879c03,98.8079%,309,25611,25920,25428,12,297,183
0x797b16,98%,308,15092,15400,15054,38,270,38
0x8736a0,76.3382%,305,984,1289,838,142,163,146
0x7a3b66,98.8151%,302,25186,25488,24977,39,263,209
0x8738c8,98.8426%,300,25620,25920,25430,10,290,190
0x87db1e,98.823%,300,25188,25488,24990,26,274,198
0x873c45,98.8657%,294,25626,25920,25420,20,274,206
0x7a8922,84.0909%,294,1554,1848,1554,63,231,0
