Branch PC,Accuracy,Mispredictions,Correct Predictions,Total,dir_t_pred_t,dir_t_pred_nt,dir_nt_pred_t,dir_nt_pred_nt
aggregate,95.1436%,944124,18496622,19440746,9652266,455081,489043,8844356
0x403465,94.0899%,37020,589361,626381,282474,19301,17719,306887
0x403479,94.8906%,27788,516071,543859,205140,14113,13675,310931
0x40ad24,74.6729%,22646,66768,89414,30600,10726,11920,36168
0x4013c9,79.2935%,20447,78300,98747,52214,9639,10808,26086
0x40db09,90.9327%,19006,190604,209610,5390,16579,2427,185214
0x407638,82.8319%,19002,91680,110682,73425,6896,12106,18255
0x407276,81.3902%,18594,81321,99915,20824,11810,6784,60497
0x40abd3,85.4165%,15965,93508,109473,83892,4175,11790,9616
0x40140c,84.0876%,15713,83034,98747,53744,5948,9765,29290
0x40acfb,83.2298%,15036,74623,89659,51983,6567,8469,22640
0x401427,86.8401%,12995,85752,98747,62693,5036,7959,23059
0x4013e7,87.1824%,12657,86090,98747,71161,5149,7508,14929
0x40111c,87.553%,11706,82341,94047,72256,3327,8379,10085
0x40cc63,67.446%,11404,23627,35031,9567,6141,5263,14060
0x40d488,84.0894%,10919,57708,68627,51556,3558,7361,6152
0x40f888,88.9495%,10912,87835,98747,15407,6736,4176,72428
0x40ca35,84.8338%,10495,58705,69200,57724,1566,8929,981
0x40ab55,91.2317%,9555,99417,108972,35038,6286,3269,64379
0x40777b,91.3853%,9535,101148,110683,16741,5405,4130,84407
0x4101b1,83.3474%,8907,44580,53487,8185,5619,3288,36395
0x406eb1,92.0757%,8771,101914,110685,24989,5375,3396,76925
0x4064ec,79.7995%,8746,34550,43296,17796,4077,4669,16754
0x401148,89.0058%,8659,70101,78760,59811,3075,5584,10290
0x40ad00,85.0655%,8635,49184,57819,2872,6859,1776,46312
0x40d4a6,60.2707%,8512,12913,21425,7212,3416,5096,5701
0x40117c,87.8241%,8393,60538,68931,54079,2766,5627,6459
0x40f8e5,91.9634%,8241,94303,102544,63386,3979,4262,30917
0x40dba7,96.104%,8229,202987,211216,202797,192,8037,190
0x40fa66,87.4193%,7895,54860,62755,21828,4112,3783,33032
0x40c8fd,87.0712%,7801,52537,60338,28113,3611,4190,24424
0x405e82,89.0779%,7267,59268,66535,55254,1588,5679,4014
0x407122,93.4824%,7214,103471,110685,55229,3522,3692,48242
0x407085,77.1498%,6938,23425,30363,12749,3330,3608,10676
0x403789,87.0933%,6911,46635,53546,39469,2462,4449,7166
0x40d3ef,74.9062%,6888,20561,27449,9296,3756,3132,11265
0x40ca68,90.4032%,6641,62559,69200,57686,1928,4713,4873
0x40658c,82.0388%,6438,29406,35844,24738,2331,4107,4668
0x40ac6d,90.7124%,6359,62109,68468,6151,4498,1861,55958
0x40d163,70.6563%,6242,15030,21272,5913,3288,2954,9117
0x407785,93.0594%,6145,82392,88537,76627,1420,4725,5765
0x40cbe3,90.1734%,5858,53756,59614,21725,2858,3000,32031
0x40c6f9,88.313%,5716,43193,48909,39294,1474,4242,3899
0x401238,92.1867%,5657,66745,72402,61171,2089,3568,5574
0x406d3a,81.9984%,5603,25522,31125,21014,2326,3277,4508
0x406f21,82.4787%,5320,25043,30363,16015,2508,2812,9028
0x40ac98,91.1309%,5128,52691,57819,23811,2899,2229,28880
0x40ac62,94.453%,4881,83113,87994,15600,3926,955,67513
0x405de2,89.7099%,4867,42431,47298,37643,1527,3340,4788
0x401260,92.5365%,4847,60096,64943,53274,1713,3134,6822
0x40fa16,92.3974%,4771,57984,62755,23453,2704,2067,34531
0x40fa3f,92.4086%,4764,57991,62755,18741,2402,2362,39250
0x40feb9,89.5934%,4691,40386,45077,5406,2949,1742,34980
0x406c0b,75.6829%,4629,14407,19036,4913,2573,2056,9494
0x406522,83.8234%,4583,23748,28331,3910,2998,1585,19838
0x406529,89.4355%,4574,38722,43296,20728,2011,2563,17994
0x40cb3f,93.5882%,4437,64763,69200,49089,2182,2255,15674
0x40d041,84.2748%,4304,23066,27370,20496,1551,2753,2570
0x4090ad,87.0921%,4213,28426,32639,24417,1496,2717,4009
0x407659,86.2784%,4166,26195,30361,9949,1890,2276,16246
0x407501,96.2759%,4122,106563,110685,538,3418,704,106025
0x407712,96.2822%,4115,106568,110683,49749,2184,1931,56819
0x40d20c,82.9575%,4111,20011,24122,13287,2962,1149,6724
0x40942c,74.0302%,4037,11508,15545,5488,1986,2051,6020
0x40c715,67.5665%,3989,8310,12299,4427,1751,2238,3883
0x406bdc,77.6259%,3945,13687,17632,3789,2292,1653,9898
0x406839,74.7511%,3906,11564,15470,7568,1794,2112,3996
0x40d48c,72.9259%,3867,10416,14283,215,3271,596,10201
0x40f9cd,90.8513%,3745,37190,40935,5107,2686,1059,32083
0x40adc5,78.8923%,3693,13803,17496,11588,1089,2604,2215
0x40db27,98.0399%,3678,183963,187641,183750,187,3491,213
0x40f994,94.2859%,3669,60541,64210,2787,2801,868,57754
0x40a7d4,84.5309%,3550,19399,22949,4048,2291,1259,15351
0x40cfa1,74.4655%,3511,10239,13750,6663,1749,1762,3576
0x40b50b,80.5579%,3394,14063,17457,10885,1418,1976,3178
0x40ce55,89.725%,3322,29009,32331,16966,1615,1707,12043
0x40ae56,83.6723%,3316,16993,20309,16574,518,2798,419
0x40b505,84.4883%,3304,17996,21300,1113,2730,574,16883
0x40f9e0,93.5865%,3277,47818,51095,38296,1493,1784,9522
0x4070f9,97.0601%,3254,107431,110685,99040,875,2379,8391
0x41022e,77.5343%,3240,11182,14422,8736,1244,1996,2446
0x40b044,81.3728%,3213,14036,17249,4648,1749,1464,9388
0x40a7c9,88.1624%,3210,23907,27117,1595,2573,637,22312
0x406859,79.8966%,3110,12360,15470,4235,1649,1461,8125
0x40ca81,67.7342%,3093,6493,9586,5419,1031,2062,1074
0x40d060,61.7421%,3092,4990,8082,2973,1097,1995,2017
0x406c9b,75.7172%,3081,9607,12688,2053,1903,1178,7554
0x4065c9,91.5076%,3044,32800,35844,14244,1022,2022,18556
0x4037ec,91.2885%,2995,31385,34380,21059,1765,1230,10326
0x40cba5,95.7486%,2942,66258,69200,62560,1115,1827,3698
0x40b536,76.1196%,2938,9365,12303,4859,1457,1481,4506
0x40db65,86.8178%,2896,19073,21969,388,2389,507,18685
0x40f941,89.4341%,2838,24022,26860,2128,2081,757,21894
0x40f958,87.6076%,2807,19844,22651,2728,1970,837,17116
0x4063c4,86.4178%,2805,17847,20652,16919,800,2005,928
0x40832b,91.4152%,2802,29837,32639,7772,1742,1060,22065
0x40a808,78.7989%,2736,10169,12905,2920,1736,1000,7249
0x40ae9b,78.4649%,2730,9947,12677,1437,1833,897,8510
0x40f9ba,93.8922%,2720,41813,44533,1400,2198,522,40413
0x40fa8e,94.9359%,2678,50204,52882,6621,1834,844,43583
0x401134,85.6748%,2645,15819,18464,14672,615,2030,1147
0x406ec0,96.7555%,2606,77715,80321,4034,2316,290,73681
0x40ce40,93.6606%,2578,38088,40666,6731,1604,974,31357
0x40d799,98.599%,2577,181360,183937,181323,96,2481,37
0x40b055,76.5205%,2548,8304,10852,4689,1248,1300,3615
0x4093e4,94.0239%,2534,39868,42402,25903,954,1580,13965
0x40b8f0,86.4964%,2528,16193,18721,15254,502,2026,939
0x406c6c,80.9959%,2515,10719,13234,2997,1505,1010,7722
0x40fed2,93.1649%,2510,34212,36722,34136,324,2186,76
0x40ad98,94.6615%,2474,43869,46343,27314,1533,941,16555
0x408e3e,90.3657%,2413,22633,25046,2928,1618,795,19705
0x406974,66.2367%,2408,4724,7132,3654,907,1501,1070
0x4012b2,96.1023%,2395,59051,61446,57820,457,1938,1231
0x40f981,96.5115%,2350,65015,67365,1382,1773,577,63633
0x40c6fd,71.2426%,2342,5802,8144,365,1658,684,5437
0x401160,85.429%,2313,13561,15874,8644,1185,1128,4917
0x408300,96.1389%,2309,57493,59802,26326,964,1345,31167
0x40d7b4,98.7399%,2286,179133,181419,179119,44,2242,14
0x40d0a4,94.3252%,2273,37781,40054,37658,253,2020,123
0x40cd24,85.2491%,2265,13090,15355,12290,561,1704,800
0x40d7e2,98.7665%,2210,176953,179163,176934,44,2166,19
0x40ad8d,97.1269%,2171,73393,75564,28181,1040,1131,45212
0x4080d5,93.5047%,2120,30519,32639,2016,1566,554,28503
0x4068c2,79.8706%,2115,8392,10507,7318,747,1368,1074
0x40f8fc,94.1073%,2073,33106,35179,1299,1558,515,31807
0x406c12,88.3841%,2048,15583,17631,9483,1028,1020,6100
0x40a9b7,88.1303%,2022,15013,17035,2514,1326,696,12499
0x40ba3c,75.5196%,2014,6213,8227,2351,1265,749,3862
0x40f92a,94.0226%,1932,30390,32322,4061,1401,531,26329
0x40ad85,90.1465%,1924,17602,19526,201,1580,344,17401
0x4090c1,94.1358%,1914,30725,32639,28576,663,1251,2149
0x410271,86.7563%,1910,12512,14422,7134,1096,814,5378
0x408da6,94.237%,1881,30758,32639,2522,1271,610,28236
0x407534,98.299%,1881,108702,110583,108513,165,1716,189
0x4010de,98.053%,1868,94074,95942,240,1655,213,93834
0x408420,94.3381%,1848,30791,32639,3388,1317,531,27403
0x40937a,94.3752%,1829,30688,32517,3545,1483,346,27143
0x409305,94.5219%,1788,30851,32639,1259,1284,504,29592
0x409138,94.4546%,1783,30370,32153,27003,494,1289,3367
0x40d18c,85.526%,1746,10317,12063,149,1496,250,10168
0x40f9a7,97.0898%,1706,56916,58622,12902,1187,519,44014
0x40644d,78.8821%,1704,6365,8069,3917,726,978,2448
0x409439,78.9865%,1696,6375,8071,1285,1004,692,5090
0x408023,94.8589%,1678,30961,32639,1003,1311,367,29958
0x4090f0,94.8987%,1665,30974,32639,27914,384,1281,3060
0x40dae6,99.2188%,1650,209566,211216,209562,48,1602,4
0x40a7fb,90.1144%,1642,14968,16610,2604,1101,541,12364
