Branch PC,Accuracy,Mispredictions,Correct Predictions,Total,dir_t_pred_t,dir_t_pred_nt,dir_nt_pred_t,dir_nt_pred_nt
aggregate,99.9088%,18939,20750402,20769341,3455198,9535,9404,17295204
0x4af210,99.1695%,8462,1010419,1018881,82290,4390,4072,928129
0x41dc41,98.9412%,3596,336031,339627,270626,1783,1813,65405
0x41dbf1,99.2436%,2569,337058,339627,258589,1515,1054,78469
0x41dc23,99.3684%,2145,337482,339627,256998,729,1416,80484
0x41dd33,99.74%,880,337569,338449,12899,456,424,324670
0x41ebcb,99.7852%,726,337241,337967,4614,367,359,332627
0x41dd10,99.9464%,182,339445,339627,1076,102,80,338369
0x41e429,99.9517%,164,339463,339627,845,81,83,338618
0x41e927,99.9656%,117,339510,339627,337907,60,57,1603
0x41eca4,99.9909%,31,339596,339627,339596,0,31,0
0x41e440,99.9908%,31,338670,338701,1434,31,0,337236
0x41ebf5,99.9967%,11,338437,338448,13351,6,5,325086
0x41ec2f,99.997%,10,338690,338700,1462,3,7,337228
0x41ec20,99.9979%,7,339620,339627,922,5,2,338698
0x41ebe6,99.9982%,6,339621,339627,1173,6,0,338448
0x41ec6f,99.9997%,1,337966,337967,4980,1,0,332986
0x41ec60,99.9997%,1,339626,339627,1660,0,1,337966
0x5dfd5f,100%,0,932202,932202,0,0,0,932202
0x412c01,100%,0,31,31,31,0,0,0
0x41065d,100%,0,31,31,0,0,0,31
0x5ae3b8,100%,0,932202,932202,0,0,0,932202
0x4120e0,100%,0,31,31,31,0,0,0
0x5ae3ae,100%,0,932202,932202,0,0,0,932202
0x5ae441,100%,0,932202,932202,0,0,0,932202
0x5ae478,100%,0,932202,932202,0,0,0,932202
0x4127af,100%,0,31,31,0,0,0,31
0x5ae447,100%,0,932202,932202,932202,0,0,0
0x412057,100%,0,31,31,31,0,0,0
0x5dfd52,100%,0,932202,932202,0,0,0,932202
0x41dab9,100%,0,31,31,0,0,0,31
0x4127bd,100%,0,31,31,31,0,0,0
0x5ae437,100%,0,932202,932202,0,0,0,932202
0x41db57,100%,0,339627,339627,0,0,0,339627
0x5ae482,100%,0,932202,932202,0,0,0,932202
0x410666,100%,0,31,31,0,0,0,31
0x40e29a,100%,0,31,31,0,0,0,31
0x5ae396,100%,0,932201,932201,0,0,0,932201
0x4120da,100%,0,31,31,0,0,0,31
0x4127a4,100%,0,31,31,0,0,0,31
0x410619,100%,0,31,31,0,0,0,31
0x412282,100%,0,31,31,0,0,0,31
0x41228c,100%,0,31,31,0,0,0,31
0x410677,100%,0,31,31,0,0,0,31
0x40e2a3,100%,0,31,31,0,0,0,31
0x40e2b8,100%,0,31,31,0,0,0,31
0x40e2c7,100%,0,31,31,0,0,0,31
0x40e2e7,100%,0,31,31,0,0,0,31
0x40e310,100%,0,31,31,0,0,0,31
0x412278,100%,0,31,31,0,0,0,31
0x410645,100%,0,31,31,0,0,0,31
0x4108bd,100%,0,31,31,0,0,0,31
0x410649,100%,0,31,31,0,0,0,31
0x410685,100%,0,31,31,0,0,0,31
0x41068b,100%,0,31,31,31,0,0,0
0x4108a5,100%,0,31,31,31,0,0,0
0x40e1ee,100%,0,31,31,0,0,0,31
0x40e1f6,100%,0,31,31,31,0,0,0
0x5dfd87,100%,0,932202,932202,0,0,0,932202
0x41daf1,100%,0,31,31,0,0,0,31
0x4120ae,100%,0,31,31,31,0,0,0
0x5ae484,100%,0,932202,932202,932202,0,0,0
0x5dfd6b,100%,0,932202,932202,0,0,0,932202
0x5dfd73,100%,0,932202,932202,0,0,0,932202
0x412255,100%,0,31,31,0,0,0,31
0x5dfd82,100%,0,932202,932202,0,0,0,932202
0x4133bc,100%,0,31,31,31,0,0,0
0x40e2af,100%,0,31,31,0,0,0,31
0x412040,100%,0,31,31,31,0,0,0
0x41ecd1,100%,0,31,31,31,0,0,0
0x412261,100%,0,31,31,0,0,0,31
0x40e280,100%,0,31,31,0,0,0,31
0x412082,100%,0,31,31,31,0,0,0
0x41dae6,100%,0,31,31,0,0,0,31
0x41226e,100%,0,31,31,0,0,0,31
0x40e28d,100%,0,31,31,0,0,0,31
