Branch PC,Accuracy,Mispredictions,Correct Predictions,Total,dir_t_pred_t,dir_t_pred_nt,dir_nt_pred_t,dir_nt_pred_nt
aggregate,87.2411%,2552959,17456314,20009273,9157859,1001686,1551273,8298455
0x4164ea,83.3065%,141262,704946,846208,45121,119583,21679,659825
0x40cc3f,73.1676%,109178,297711,406889,192257,48466,60712,105454
0x41683b,50.0303%,93027,93140,186167,46363,46787,46240,46777
0x40bda5,77.2098%,84871,287530,372401,259850,19756,65115,27680
0x40cf70,64.9674%,79111,146710,225821,130257,19405,59706,16453
0x40bbbf,56.9691%,76222,100911,177133,53349,36804,39418,47562
0x40c966,60.2618%,71330,108170,179500,51480,36151,35179,56690
0x40f6e4,60.1596%,70374,106266,176640,68981,29757,40617,37285
0x40bbb6,76.2248%,68890,220866,289756,67101,45522,23368,153765
0x40cdd3,77.7225%,66377,231579,297956,210104,8373,58004,21475
0x40f70f,64.4231%,62843,113797,176640,96158,18015,44828,17639
0x40971d,79.7458%,55212,217383,272595,163490,20640,34572,53893
0x40f73a,69.9604%,53062,123578,176640,111123,12912,40150,12455
0x416416,70.0718%,52500,122920,175420,98108,19400,33100,24812
0x40f765,72.4173%,48722,127918,176640,115872,11468,37254,12046
0x40bcb7,84.4838%,44959,244797,289756,203485,13832,31127,41312
0x40cfb4,73.2303%,42816,117126,159942,112897,6488,36328,4229
0x41651f,77.8708%,39089,137551,176640,121518,5648,33441,16033
0x416298,67.6695%,38159,79869,118028,17325,27514,10645,62544
0x416558,79.1058%,37270,141105,178375,110822,10010,27260,30283
0x409544,76.7119%,35268,116174,151442,6883,28438,6830,109291
0x40b676,75.817%,32203,100961,133164,96229,5390,26813,4732
0x40b6d4,75.8779%,32122,101042,133164,98099,5211,26911,2943
0x40cff1,75.6531%,31148,96786,127934,92888,4732,26416,3898
0x40b5f6,76.7069%,31018,102146,133164,95412,5767,25251,6734
0x40b734,76.9938%,30636,102528,133164,99159,4348,26288,3369
0x40ccb5,86.2423%,29479,184793,214272,182372,3090,26389,2421
0x402e0b,69.4935%,28303,64474,92777,24085,14138,14165,40389
0x40be17,70.6859%,27202,65593,92795,60559,4839,22363,5034
0x40f024,65.6097%,25617,48872,74489,38592,8249,17368,10280
0x40eff2,66.042%,25295,49194,74489,39064,7893,17402,10130
0x40bc9b,67.5681%,24356,50743,75099,18891,13373,10983,31852
0x40b796,81.727%,24333,108831,133164,50897,7025,17308,57934
0x40cc72,75.0096%,24064,72229,96293,31988,9179,14885,40241
0x40ccf3,87.069%,23982,161480,185462,130300,5891,18091,31180
0x40f088,68.1993%,23688,50801,74489,39860,7232,16456,10941
0x40ef5c,68.5162%,23452,51037,74489,46426,5502,17950,4611
0x40d02e,78.2558%,22881,82347,105228,79837,3304,19577,2510
0x40ef8e,69.9593%,22377,52112,74489,40597,7517,14860,11515
0x40cded,73.1866%,21311,58168,79479,56003,5128,16183,2165
0x40f056,71.424%,21286,53203,74489,45214,5817,15469,7989
0x409489,72.285%,20873,54440,75313,1215,18761,2112,53225
0x40cad7,88.4006%,20821,158679,179500,127612,7013,13808,31067
0x40efc0,73.686%,19601,54888,74489,46355,4960,14641,8533
0x40f0ba,75.3413%,18368,56121,74489,44670,5554,12814,11451
0x41136c,82.7044%,17256,82515,99771,46975,5174,12082,35540
0x4096b4,70.2651%,16083,38005,54088,3982,12055,4028,34023
0x402e1a,70.959%,15843,38711,54554,35790,3253,12590,2921
0x4094d0,78.985%,15827,59486,75313,2639,12744,3083,56847
0x416578,73.4095%,15301,42242,57543,22021,5440,9861,20221
0x4094ed,69.2712%,14728,33201,47929,31555,2840,11888,1646
0x411488,84.9197%,14291,80475,94766,70345,3558,10733,10130
0x40caeb,69.6958%,13599,31276,44875,20228,6299,7300,11048
0x40cf7a,82.9974%,12949,63210,76159,62594,1373,11576,616
0x41de07,77.5469%,12695,43845,56540,28436,6100,6595,15409
0x41ddeb,78.3492%,12297,44500,56797,29318,5882,6415,15182
0x40cf60,95.0121%,12007,228716,240723,224818,1003,11004,3898
0x40b69d,88.0754%,11896,87864,99760,1036,10533,1363,86828
0x40bbd7,86.6406%,11620,75360,86980,74150,1527,10093,1210
0x40bc89,87.3149%,11436,78717,90153,6683,8371,3065,72034
0x411385,76.1287%,11368,36254,47622,28417,3112,8256,7837
0x40b6fd,89.5799%,11004,94600,105604,483,10256,748,94117
0x40cfa4,93.9537%,10359,160969,171328,158947,995,9364,2022
0x4095f9,64.8111%,10228,18838,29066,3559,6844,3384,15279
0x4113d4,78.187%,10188,36518,46706,27169,4029,6159,9349
0x40cd08,79.6128%,10045,39226,49271,17711,5692,4353,21515
0x40b75d,89.8561%,9958,88209,98167,902,8682,1276,87307
0x40c98c,89.1881%,9930,81913,91843,81567,859,9071,346
0x416018,86.9941%,9688,64801,74489,10888,5249,4439,53913
0x40ce0a,67.0702%,9603,19559,29162,4690,6124,3479,14869
0x416598,75.5795%,9577,29640,39217,29134,948,8629,506
0x40cfbe,76.6206%,9482,31075,40557,29668,1692,7790,1407
0x40cfe4,93.456%,8948,127787,136735,127410,524,8424,377
0x40b63b,88.2554%,8236,61890,70126,826,7126,1110,61064
0x40cffb,72.8376%,8234,22080,30314,19627,2144,6090,2453
0x411414,82.1724%,8195,37773,45968,26613,3048,5147,11160
0x40d021,93.0056%,7903,105087,112990,104567,661,7242,520
0x40cd39,96.3387%,7528,198081,205609,155990,3156,4372,42091
0x40d038,67.3881%,7203,14884,22087,2306,4984,2219,12578
0x409640,78.3562%,6291,22775,29066,1652,4818,1473,21123
0x40bc4b,69.7286%,6123,14104,20227,5675,3249,2874,8429
0x40b609,81.7008%,5853,26132,31985,25319,1085,4768,813
0x40f115,93.0285%,5193,69296,74489,69263,359,4834,33
