Branch PC,Accuracy,Mispredictions,Correct Predictions,Total,dir_t_pred_t,dir_t_pred_nt,dir_nt_pred_t,dir_nt_pred_nt
aggregate,98.3293%,435938,25656473,26092411,16004104,172469,263469,9652369
0x411480,93.4822%,40046,574365,614411,498486,15268,24778,75879
0x411cdb,95.8825%,36396,847538,883934,781250,12858,23538,66288
0x41104e,93.969%,31704,493981,525685,443374,11470,20234,50607
0x4120ef,96.2418%,30007,768444,798451,744995,8597,21410,23449
0x41321e,96.0879%,20562,505032,525594,458230,8949,11613,46802
0x4118ce,95.3664%,17303,356122,373425,267459,5693,11610,88663
0x412fb0,95.9473%,15130,358204,373334,266767,6001,9129,91437
0x41ac73,96.0371%,14973,362858,377831,339983,6596,8377,22875
0x412e6e,98.3869%,14257,869586,883843,776376,7285,6972,93210
0x410341,90.2362%,13247,122428,135675,26404,7606,5641,96024
0x412d38,98.3497%,13175,785184,798359,701901,6724,6451,83283
0x41ae23,94.0125%,13126,206099,219225,204637,1110,12016,1462
0x412633,95.2889%,12659,256049,268708,30625,7571,5088,225424
0x4130f0,97.9667%,12491,601829,614320,538644,4926,7565,63185
0x4134a1,96.0535%,11819,287663,299482,257611,7952,3867,30052
0x410794,96.5995%,10187,289386,299573,245455,3836,6351,43931
0x41ad1f,92.1452%,9528,111774,121302,106079,1745,7783,5695
0x410c08,92.6776%,7511,95065,102576,41370,2700,4811,53695
0x4123df,85.4567%,6524,38335,44859,24729,3582,2942,13606
0x413360,97.022%,3052,99433,102485,51279,1015,2037,48154
0x41acba,99.2425%,2862,374969,377831,295115,798,2064,79854
0x40de8a,73.4067%,1594,4400,5994,939,1035,559,3461
0x409b7f,66.704%,1189,2382,3571,698,735,454,1684
0x40c953,63.9462%,1100,1951,3051,1728,306,794,223
0x40c2fb,66.1422%,1033,2018,3051,1658,376,657,360
0x4135e8,99.244%,1025,134558,135583,119356,416,609,15202
0x406cc6,59.4937%,992,1457,2449,357,577,415,1100
0x409d02,69.3389%,960,2171,3131,423,596,364,1748
0x40c657,68.8954%,949,2102,3051,1758,276,673,344
0x40f66f,84.8849%,932,5234,6166,4869,272,660,365
0x409b47,87.989%,921,6747,7668,3907,190,731,2840
0x40a83e,88.3281%,895,6773,7668,6630,186,709,143
0x412629,98.4737%,869,56066,56935,5797,537,332,50269
0x40bdac,73.7463%,801,2250,3051,93,644,157,2157
0x402c4d,61.5802%,778,1247,2025,196,509,269,1051
0x40f2d5,79.1633%,772,2933,3705,2906,175,597,27
0x40ee5c,81.1964%,767,3312,4079,3273,126,641,39
