Branch PC,Accuracy,Mispredictions,Correct Predictions,Total,dir_t_pred_t,dir_t_pred_nt,dir_nt_pred_t,dir_nt_pred_nt
aggregate,99.9875%,440,3509173,3509613,3505671,0,440,3502
0x405e0e,99.975%,438,1752000,1752438,1752000,0,438,0
0x405cce,99.9999%,2,1753669,1753671,1753233,0,2,436
0x4044e5,100%,0,438,438,0,0,0,438
0x405b94,100%,0,438,438,0,0,0,438
0x404489,100%,0,438,438,0,0,0,438
0x405e1f,100%,0,438,438,438,0,0,0
0x404b62,100%,0,438,438,0,0,0,438
0x4044bf,100%,0,438,438,0,0,0,438
0x405cda,100%,0,438,438,0,0,0,438
0x404b85,100%,0,438,438,0,0,0,438
