Branch PC,Accuracy,Mispredictions,Correct Predictions,Total,dir_t_pred_t,dir_t_pred_nt,dir_nt_pred_t,dir_nt_pred_nt
aggregate,99.9866%,999,7456363,7457362,7413521,145,854,42842
0x451eb1,99.9806%,51,262605,262656,262140,4,47,465
0x44e527,99.9825%,46,262098,262144,261629,3,43,469
0x452730,99.9837%,43,263126,263169,262656,0,43,470
0x44ef39,99.9874%,33,262621,262654,262140,3,30,481
0x44e05f,99.9882%,31,263137,263168,262655,1,30,482
0x450f2b,99.9886%,30,262626,262656,262140,4,26,486
0x44e7bb,99.989%,29,263140,263169,262654,2,27,486
0x44e2f9,99.989%,29,262627,262656,262138,6,23,489
0x44ec36,99.9787%,28,131300,131328,130808,7,21,492
0x44fc00,99.9801%,26,130790,130816,130301,4,22,489
0x453765,99.9904%,25,261607,261632,261118,3,22,489
0x4540b8,99.9905%,25,262631,262656,262143,1,24,488
0x450388,99.9809%,25,131047,131072,130557,3,22,490
0x44a749,99.9909%,24,263144,263168,262651,3,21,493
0x44c5db,99.9875%,24,191706,191730,191356,1,23,350
0x44a849,99.9909%,24,262632,262656,262142,1,23,490
0x451655,99.9817%,24,131304,131328,130812,3,21,492
0x452ae6,99.9912%,23,262121,262144,261629,3,20,492
0x44daf7,99.9832%,22,130794,130816,130303,2,20,491
0x44f6aa,99.9839%,21,130795,130816,130304,1,20,491
0x450737,99.984%,21,131051,131072,130558,2,19,493
0x454d20,99.992%,21,262123,262144,261627,5,16,496
0x44d51d,99.984%,21,131051,131072,130557,3,18,494
0x453625,99.992%,21,262123,262144,261632,0,21,491
0x45513f,99.9924%,20,261612,261632,261119,2,18,493
0x453034,99.9855%,19,130797,130816,130305,0,19,492
0x4509fd,99.9862%,18,130798,130816,130305,0,18,493
0x449f26,99.9936%,17,265204,265221,264707,1,16,497
0x45118d,99.9741%,17,65519,65536,65022,2,15,497
0x449ab8,99.9936%,17,265721,265738,265220,4,13,501
0x455e11,99.9939%,16,262128,262144,261630,2,14,498
0x455f41,99.9939%,16,261616,261632,261121,0,16,495
0x449cfb,99.9947%,14,265210,265224,264708,2,12,502
0x45141d,99.9801%,13,65395,65408,64896,1,12,499
0x44f1b1,99.9832%,11,65525,65536,65023,1,10,502
0x44e5e2,99.0234%,5,507,512,507,4,1,0
0x4023aa,99.5136%,5,1023,1028,1023,3,2,0
0x40214a,99.2218%,4,510,514,510,3,1,0
0x453780,99.4129%,3,508,511,508,2,1,0
0x44a761,99.4163%,3,511,514,511,2,1,0
0x430b80,99.4141%,3,509,512,509,2,1,0
0x44e7d4,99.4152%,3,510,513,510,2,1,0
0x430c01,99.4141%,3,509,512,509,2,1,0
0x44fe7a,99.4141%,3,509,512,509,2,1,0
0x450dbe,99.4141%,3,509,512,509,3,0,0
0x560fc5,85.7143%,3,18,21,18,1,2,0
0x4531ba,99.6086%,2,509,511,509,1,1,0
0x44f0e7,99.6094%,2,510,512,510,2,0,0
0x44ef5b,99.6086%,2,509,511,509,1,1,0
0x44c23e,99.4652%,2,372,374,372,2,0,0
0x44fdaf,99.6086%,2,509,511,509,1,1,0
0x451201,99.6094%,2,510,512,510,1,1,0
0x450aa9,99.6086%,2,509,511,509,1,1,0
0x4524f2,99.6101%,2,511,513,0,0,2,511
0x55faa5,90%,2,18,20,18,0,2,0
0x44d73f,99.6094%,2,510,512,0,1,1,510
0x44f80f,99.6086%,2,509,511,509,1,1,0
0x44ff6a,99.6094%,2,510,512,510,1,1,0
0x4514b4,99.6086%,2,509,511,509,1,1,0
0x55ff04,90%,2,18,20,18,0,2,0
0x44ed8b,99.6101%,2,511,513,511,1,1,0
0x42fbe9,99.6094%,2,510,512,510,1,1,0
0x561307,88.8889%,2,16,18,1,1,1,15
0x44ea9c,99.6101%,2,511,513,0,0,2,511
0x44f29f,99.6094%,2,510,512,510,1,1,0
0x452b21,99.6094%,2,510,512,510,1,1,0
0x44e6a2,99.6094%,2,510,512,510,1,1,0
0x44e0af,99.6094%,2,510,512,510,1,1,0
