Branch PC,Accuracy,Mispredictions,Correct Predictions,Total,dir_t_pred_t,dir_t_pred_nt,dir_nt_pred_t,dir_nt_pred_nt
aggregate,83.604%,2440672,12445078,14885750,9195906,930304,1510368,3249172
0x4143fd,53.327%,152582,174335,326917,108640,60756,91826,65695
0x414280,53.5254%,151933,174983,326916,108383,60047,91886,66600
0x414344,53.8011%,151032,175885,326917,109104,59271,91761,66781
0x4141bc,54.5461%,148596,178320,326916,107426,58454,90142,70894
0x4140f8,54.6712%,148187,178729,326916,119197,55669,92518,59532
0x413f73,54.7263%,148007,178909,326916,111421,54734,93273,67488
0x414034,55.7593%,144630,182286,326916,129472,51887,92743,52814
0x413eb5,56.516%,142156,184760,326916,104348,52835,89321,80412
0x4165ef,88.36%,63416,481397,544813,476523,1117,62299,4874
0x413da5,88.7342%,52264,411654,463918,79547,21507,30757,332107
0x4165b7,90.5187%,51656,493166,544822,475532,2027,49629,17634
0x413d04,91.2824%,40443,423483,463926,399032,8986,31457,24451
0x442c5c,61.9431%,34346,55903,90249,35671,13527,20819,20232
0x416414,59.5148%,33378,49067,82445,25441,16524,16854,23626
0x416888,50.5664%,33206,33967,67173,17307,16337,16869,16660
0x4167bc,50.8627%,33007,34166,67173,16555,16916,16091,17611
0x41670e,50.894%,32986,34187,67173,17350,16601,16385,16837
0x416661,51.1753%,32797,34376,67173,18108,15964,16833,16268
0x442c6c,63.9154%,32566,57683,90249,34696,11550,21016,22987
0x4164d2,60.6307%,32458,49987,82445,12277,22968,9490,37710
0x442c83,67.0024%,29780,60469,90249,24699,17559,12221,35770
0x416350,64.3629%,29381,53064,82445,29891,13354,16027,23173
0x414683,68.1028%,26298,56148,82446,16574,15702,10596,39574
0x41421e,92.3091%,25143,301777,326920,279406,7967,17176,22371
0x4143a6,92.4628%,24641,302282,326923,278311,8751,15890,23971
0x4142e2,92.5226%,24445,302475,326920,278186,8761,15684,24289
0x413fd2,92.8567%,23353,303568,326921,278562,8741,14612,25006
0x41415a,92.9754%,22965,303957,326922,278470,8664,14301,25487
0x414096,93.0787%,22627,304291,326918,279239,8701,13926,25052
0x413f11,93.2904%,21935,304986,326921,280808,8705,13230,24178
0x416203,73.9975%,21438,61008,82446,29923,10628,10810,31085
0x415f07,77.1729%,18820,63626,82446,7351,13479,5341,56275
0x414eb7,62.661%,18733,31437,50170,14633,9560,9173,16804
0x414ba5,64.8535%,17633,32537,50170,20131,8127,9506,12406
0x442c94,80.5195%,17581,72668,90249,50724,7297,10284,21944
0x414865,66.0235%,17046,33124,50170,21478,4592,12454,11646
0x416085,79.8341%,16626,65820,82446,37187,3772,12854,28633
0x4170c5,61.5917%,13807,22141,35948,11263,6577,7230,10878
0x416ed3,62.8964%,13338,22610,35948,11422,6482,6856,11188
0x416e03,63.9396%,12963,22985,35948,8362,7363,5600,14623
0x416ac3,66.1511%,12168,23780,35948,6152,7190,4978,17628
0x41451d,88.1934%,11931,89123,101054,9835,8773,3158,79288
0x414912,63.4682%,11791,20485,32276,6969,7498,4293,13516
0x416d33,71.0804%,10396,25552,35948,6652,6023,4373,18900
