Branch PC,Accuracy,Mispredictions,Correct Predictions,Total,dir_t_pred_t,dir_t_pred_nt,dir_nt_pred_t,dir_nt_pred_nt
aggregate,48.0985%,13893013,12875011,26768024,5951079,4334431,9558582,6923932
0x47139c,16.4645%,878179,173086,1051265,22125,4885,873294,150961
0x471334,18.0048%,861988,189278,1051266,5463,834,861154,183815
0x63e5f4,20.6415%,395445,102857,498302,79,41,395404,102778
0x471328,68.0859%,353898,755010,1108908,18178,39464,314434,736832
0x63e622,29.7462%,349992,148190,498182,148190,349992,0,0
0x471357,56.28%,298494,384246,682740,298453,143737,154757,85793
0x471355,75.24%,258734,786234,1044968,171788,190440,68294,614446
0x47139e,75.4393%,251564,772691,1024255,769151,235484,16080,3540
0x4712b3,27.8583%,224300,86616,310916,30677,3499,220801,55939
0x55b704,12.8078%,215226,31615,246841,0,0,215226,31615
0x55b734,16.601%,205863,40978,246841,0,0,205863,40978
0x55b739,21.1209%,194706,52135,246841,52135,194706,0,0
0x63e5ef,63.0144%,184300,314002,498302,0,0,184300,314002
0x55b7bc,17.219%,147990,30783,178773,0,0,147990,30783
0x55b7b7,41.5806%,144203,102638,246841,41951,26117,118086,60687
0x5510f7,13.7673%,140499,22431,162930,678,342,140157,21753
0x551004,26.4077%,119904,43026,162930,0,0,119904,43026
0x471374,51.0027%,117863,122687,240550,99024,25571,92292,23663
0x5510d8,33.256%,108746,54184,162930,54184,108746,0,0
0x55b6fc,64.9674%,106334,197195,303529,26483,30205,76129,170712
0x551101,13.7223%,104195,16572,120767,0,0,104195,16572
0x5510fc,36.0923%,103473,58437,161910,33904,7239,96234,24533
0x4712b5,67.4124%,90183,186557,276740,174159,53994,36189,12398
0x4713d6,10.3503%,76352,8815,85167,0,0,76352,8815
0x623f87,8.37769%,75396,6894,82290,0,0,75396,6894
0x471364,68.9844%,74608,165942,240550,0,0,74608,165942
0x4710f6,12.8697%,74438,10995,85433,10995,74438,0,0
