Branch PC,Accuracy,Mispredictions,Correct Predictions,Total,dir_t_pred_t,dir_t_pred_nt,dir_nt_pred_t,dir_nt_pred_nt
aggregate,99.4107%,115646,19508472,19624118,7933369,45652,69994,11575103
0x4bedf9,93.2708%,50390,698439,748829,487972,14989,35401,210467
0x4c5c06,83.279%,12774,63621,76395,52998,4231,8543,10623
0x4c8761,96.3643%,11824,313396,325220,47731,3231,8593,265665
0x4bf7d5,98.3097%,5496,319663,325159,664,5295,201,318999
0x50fc12,96.6014%,5149,146353,151502,722,4706,443,145631
0x4c5c31,76.3828%,4227,13671,17898,9655,1174,3053,4016
0x4be97a,61.7739%,2810,4541,7351,3428,916,1894,1113
0x4bf7d9,99.2754%,2313,316887,319200,316837,54,2259,50
0x4c6bb0,99.1072%,2125,235894,238019,136,2073,52,235758
0x4c2680,84.7929%,2096,11687,13783,1786,1912,184,9901
0x4bdcfc,92.5549%,1608,19990,21598,18109,236,1372,1881
0x4c6bb9,99.4313%,1341,234469,235810,234380,40,1301,89
0x4cb4c0,89.5349%,1269,10857,12126,7492,648,621,3365
0x50feb6,94.7256%,1263,22683,23946,7907,1141,122,14776
0x4ba40c,94.6605%,1082,19182,20264,16886,124,958,2296
0x4c5c1f,94.6518%,1009,17857,18866,58,910,99,17799
0x4cbcb0,86.8619%,978,6466,7444,4055,362,616,2411
0x50fe02,89.2954%,828,6907,7735,6892,30,798,15
0x4bedd7,99.9177%,617,748827,749444,0,615,2,748827
0x4c7ef0,92.9346%,528,6945,7473,6541,63,465,404
0x4bf8b4,99.8382%,526,324632,325158,322774,39,487,1858
0x4be9c1,86.4205%,434,2762,3196,2748,15,419,14
0x50fcd4,98.1332%,338,17768,18106,0,328,10,17768
0x4c9fcb,96.5552%,309,8661,8970,2043,233,76,6618
0x4c5c18,98.4347%,300,18866,19166,10,290,10,18856
0x4c5c38,96.3927%,255,6814,7069,33,205,50,6781
0x50fec1,98.3488%,246,14652,14898,3485,225,21,11167
0x4cbcea,87.8472%,210,1518,1728,109,172,38,1409
0x4c5929,99.7564%,187,76584,76771,76352,45,142,232
0x4ca08a,99.9705%,146,495304,495450,319037,74,72,176267
0x4c4407,99.3208%,146,21349,21495,21163,4,142,186
