Branch PC,Accuracy,Mispredictions,Correct Predictions,Total,dir_t_pred_t,dir_t_pred_nt,dir_nt_pred_t,dir_nt_pred_nt
aggregate,99.9709%,7638,26237699,26245337,18333622,3508,4130,7904077
0x42fe5c,97.0634%,1099,36325,37424,34141,405,694,2184
0x42fff7,95.5646%,936,20167,21103,328,792,144,19839
0x430015,96.0297%,882,21333,22215,21006,96,786,327
0x42f195,98.311%,797,46392,47189,36004,259,538,10388
0x42e0fa,97.1859%,759,26212,26971,22120,162,597,4092
0x42dbb8,77.9976%,745,2641,3386,896,568,177,1745
0x42ee5d,99.4406%,264,46926,47190,8335,108,156,38591
0x42e038,99.1668%,238,28328,28566,14490,151,87,13838
0x42e09b,99.9549%,234,518624,518858,489666,92,142,28958
0x42fe64,93.4407%,220,3134,3354,400,128,92,2734
0x42ee76,99.9579%,120,284578,284698,6272,74,46,278306
0x42ffd6,96.4211%,120,3233,3353,1059,62,58,2174
0x42e6b3,99.4457%,117,20992,21109,6226,62,55,14766
0x42f14e,99.9522%,106,221550,221656,35699,56,50,185851
0x42edb9,98.2158%,104,5725,5829,477,57,47,5248
0x42fe4e,96.9589%,102,3252,3354,418,58,44,2834
0x42e575,97.0414%,95,3116,3211,1222,47,48,1894
0x42ee82,99.9723%,77,278275,278352,17909,47,30,260366
0x42acdd,98.6453%,76,5534,5610,2925,39,37,2609
0x42e8e3,99.7723%,52,22781,22833,20531,26,26,2250
0x42fe70,98.7179%,43,3311,3354,1107,14,29,2204
0x42e0d6,99.9609%,27,69093,69120,40541,13,14,28552
0x4074b0,99.0374%,27,2778,2805,2778,1,26,0
0x42f10e,99.9993%,27,3698824,3698851,3058456,11,16,640368
0x42e7b3,99.9708%,20,68423,68443,64420,11,9,4003
0x42ef31,99.9955%,19,424117,424136,376937,9,10,47180
0x42e130,99.9968%,19,590088,590107,561003,4,15,29085
0x42ff97,99.8775%,18,14675,14693,11335,5,13,3340
0x42ee69,99.9535%,18,38729,38747,24292,10,8,14437
0x461cae,99.9633%,15,40807,40822,21128,10,5,19679
0x42e249,99.992%,15,187117,187132,177062,8,7,10055
0x461c0c,99.9729%,15,55245,55260,24021,3,12,31224
