Branch PC,Accuracy,Mispredictions,Correct Predictions,Total,dir_t_pred_t,dir_t_pred_nt,dir_nt_pred_t,dir_nt_pred_nt
aggregate,97.6759%,622111,26145915,26768026,9929065,356446,265665,16216850
0x471355,75.523%,255777,789192,1044969,179892,182336,73441,609300
0x471357,81.628%,125433,557308,682741,399939,42252,83181,157369
0x471374,61.4118%,92824,147726,240550,78987,45608,47216,68739
0x47139c,97.5499%,25757,1025508,1051265,2415,24595,1162,1023093
0x4712b5,92.6892%,20232,256508,276740,221718,6435,13797,34790
0x471328,98.4955%,16683,1092225,1108908,44543,13099,3584,1047682
0x55bb1a,85.8704%,14003,85101,99104,36223,8203,5800,48878
0x47139e,99.0309%,9926,1014329,1024255,1004551,84,9842,9778
0x55bb07,90.9604%,9591,96509,106100,48974,5704,3887,47535
0x4712b3,97.5315%,7675,303241,310916,30173,4003,3672,273068
0x471334,99.3937%,6374,1044892,1051266,137,6160,214,1044755
0x54ff31,93.2167%,5526,75939,81465,58837,1753,3773,17102
0x55bb3b,90.669%,5102,49576,54678,24144,2675,2427,25432
0x6408b8,94.4021%,2730,46038,48768,41361,727,2003,4677
0x64e094,93.5328%,2188,31644,33832,8171,1207,981,23473
0x416e79,98.1777%,1996,107535,109531,35950,1088,908,71585
0x54536e,76.0123%,1718,5444,7162,2834,866,852,2610
0x54ff6f,98.0495%,1589,79876,81465,46360,715,874,33516
0x54ff95,96.7694%,1111,33279,34390,12773,699,412,20506
0x4ebf4b,92.0689%,1055,12247,13302,7496,525,530,4751
0x5549b7,95.213%,972,19333,20305,147,869,103,19186
0x54517e,87.8431%,806,5824,6630,1150,462,344,4674
0x4ebafe,94.1772%,788,12745,13533,7722,319,469,5023
0x550b40,96.591%,698,19777,20475,751,667,31,19026
0x544c93,95.1669%,695,13685,14380,442,534,161,13243
0x55212b,66.129%,693,1353,2046,760,270,423,593
0x5510fc,99.588%,667,161243,161910,40713,430,237,120530
0x4713c3,96.6667%,654,18966,19620,18741,101,553,225
0x558424,93.9368%,558,8645,9203,1381,237,321,7264
0x416e82,99.4027%,433,72060,72493,52685,240,193,19375
0x54538a,89.3243%,395,3305,3700,3024,121,274,281
0x629198,99.6496%,324,92135,92459,163,292,32,91972
0x443f3b,99.4681%,309,57786,58095,48793,99,210,8993
0x545187,94.3404%,284,4734,5018,4254,89,195,480
0x545377,92.1144%,273,3189,3462,2904,83,190,285
0x544cc7,98.2685%,249,14132,14381,13373,31,218,759
0x558412,97.9669%,220,10601,10821,1460,158,62,9141
