Branch PC,Accuracy,Mispredictions,Correct Predictions,Total,dir_t_pred_t,dir_t_pred_nt,dir_nt_pred_t,dir_nt_pred_nt
aggregate,99.0185%,196638,19837000,20033638,10637733,105422,91216,9199267
0x1147781,84.6777%,19421,107329,126750,71398,11434,7987,35931
0x1147007,93.5343%,14074,203598,217672,101481,6662,7412,102117
0x114836b,93.2459%,11135,153727,164862,58713,6593,4542,95014
0x11479b8,97.8312%,11047,498314,509361,120207,6542,4505,378107
0x162634e,75.786%,7663,23984,31647,4390,6094,1569,19594
0x1148112,95.8444%,6851,158011,164862,130286,3875,2976,27725
0x114821f,96.3018%,6097,158765,164862,127736,3084,3013,31029
0x11477b5,86.978%,5719,38199,43918,9790,3400,2319,28409
0x1626359,74.342%,5430,15733,21163,3214,3999,1431,12519
0x1148356,96.7142%,5417,159445,164862,48886,2994,2423,110559
0x1146216,89.6778%,5103,44334,49437,19724,2786,2317,24610
0x114b11d,91.0724%,4792,48884,53676,19195,2714,2078,29689
0x11477ba,86.3219%,4203,26525,30728,19973,2229,1974,6552
0x1625fec,98.8521%,3862,332570,336432,332482,117,3745,88
0x114ad85,93.5036%,3487,50189,53676,32693,1607,1880,17496
0x1146117,93.1853%,3369,46068,49437,36373,1838,1531,9695
0x114e7fb,94.5605%,3024,52569,55593,10583,1465,1559,41986
0x114e1a5,93.3417%,2802,39281,42083,23134,756,2046,16147
0x114d779,95.4041%,2555,53038,55593,43658,1533,1022,9380
0x1146501,94.44%,2502,42498,45000,16914,1033,1469,25584
0x114b111,95.6591%,2330,51346,53676,16157,1157,1173,35189
0x114f207,95.861%,2301,53292,55593,35821,1222,1079,17471
0x114e100,89.8536%,2142,18969,21111,6341,1179,963,12628
0x114be27,96.5301%,1929,53664,55593,22645,1147,782,31019
0x1146426,95.7267%,1923,43077,45000,33474,1298,625,9603
0x114d7e3,96.8593%,1746,53847,55593,38612,705,1041,15235
0x1148102,98.944%,1741,163121,164862,38021,1055,686,125100
0x114cb3f,95.9425%,1718,40623,42341,33663,906,812,6960
0x114dd53,96.9493%,1696,53897,55593,38899,814,882,14998
0x114e991,96.1739%,1620,40721,42341,40443,233,1387,278
0x114de33,96.2991%,1567,40774,42341,31185,896,671,9589
0x114f25c,97.1957%,1559,54034,55593,0,1533,26,54034
0x114f369,97.2299%,1540,54053,55593,11003,909,631,43050
0x114adc2,97.1402%,1535,52141,53676,43369,673,862,8772
0x114f35d,97.3072%,1497,54096,55593,1176,992,505,52920
0x114dd98,97.363%,1466,54127,55593,45082,663,803,9045
0x114b9cf,89.0884%,1446,11806,13252,6381,814,632,5425
0x114ecd3,96.6014%,1439,40902,42341,279,1351,88,40623
0x114dff7,87.1479%,1419,9622,11041,6215,619,800,3407
0x11479c2,99.6372%,1388,381224,382612,377489,247,1141,3735
0x114d783,87.3101%,1320,9082,10402,1378,870,450,7704
0x114ebb3,96.9439%,1294,41047,42341,13364,698,596,27683
0x114cc82,97.1352%,1213,41128,42341,35530,482,731,5598
0x114f1eb,97.8469%,1197,54396,55593,53587,472,725,809
0x114d872,92.7255%,1184,15092,16276,754,796,388,14338
0x114e977,97.2296%,1173,41168,42341,15150,730,443,26018
0x114eb3a,97.4115%,1096,41245,42341,3274,641,455,37971
0x114e150,92.5833%,1008,12583,13591,4032,605,403,8551
0x114be56,96.868%,996,30805,31801,607,670,326,30198
0x114debe,90.6112%,957,9236,10193,606,633,324,8630
0x114ca7d,92.9746%,931,12321,13252,2627,610,321,9694
0x114cd7a,86.2854%,868,5461,6329,1570,456,412,3891
0x114e082,97.9547%,866,41475,42341,20968,262,604,20507
0x114caea,96.0405%,852,20666,21518,19425,361,491,1241
0x114be71,97.6825%,737,31064,31801,103,632,105,30961
0x114ecfc,98.2972%,721,41620,42341,1,716,5,41619
0x1147bd9,86.6256%,652,4223,4875,1762,316,336,2461
0x1146133,94.29%,641,10585,11226,668,422,219,9917
0x11462bb,98.7418%,622,48815,49437,47462,144,478,1353
0x114e813,98.8848%,620,54973,55593,42122,219,401,12851
0x114a60c,98.8524%,616,53060,53676,12145,412,204,40915
0x114b985,98.9081%,607,54986,55593,12845,407,200,42141
0x114ebbc,98.5711%,605,41736,42341,41732,14,591,4
0x114ca66,98.9351%,592,55001,55593,42145,196,396,12856
0x114d896,96.1632%,565,14161,14726,5526,351,214,8635
0x114e285,95.1423%,531,10400,10931,6938,193,338,3462
0x114bbc8,91.7286%,501,5556,6057,4996,224,277,560
0x114adf5,99.1672%,447,53229,53676,52861,59,388,368
0x114e8c1,96.6797%,440,12812,13252,10618,141,299,2194
0x114f228,97.426%,438,16578,17016,16517,65,373,61
0x114cdf6,99.2409%,422,55171,55593,54756,54,368,415
0x114dfe0,99.2625%,410,55183,55593,44355,197,213,10828
0x11477ef,99.7041%,375,126375,126750,121754,121,254,4621
0x114f37c,99.3488%,362,55231,55593,54750,60,302,481
0x114b13c,99.3647%,341,53335,53676,52890,30,311,445
0x114de15,99.4046%,331,55262,55593,13084,168,163,42178
0x1148a5d,99.4187%,312,53364,53676,1,308,4,53363
0x114e419,95.9102%,297,6965,7262,2969,160,137,3996
0x1146c50,95.2073%,296,5880,6176,1144,158,138,4736
0x114bec5,99.5251%,264,55329,55593,54780,30,234,549
0x114bc78,99.5341%,259,55334,55593,54781,29,230,553
0x1148a84,99.5398%,247,53429,53676,0,241,6,53429
0x114d3c9,99.5557%,247,55346,55593,54810,0,247,536
0x114a932,99.5491%,242,53434,53676,52920,0,242,514
