Branch PC,Accuracy,Mispredictions,Correct Predictions,Total,dir_t_pred_t,dir_t_pred_nt,dir_nt_pred_t,dir_nt_pred_nt
aggregate,99.8548%,10354,7122205,7132559,5044639,6274,4080,2077566
0x402828,97.044%,3525,115724,119249,55430,2425,1100,60294
0x446639,90.159%,1485,13605,15090,12072,874,611,1533
0x445d6f,81.0246%,1326,5662,6988,157,1192,134,5505
0x445d65,97.9376%,1039,49339,50378,43004,386,653,6335
0x44b95b,94.6507%,693,12262,12955,11444,239,454,818
0x44ac5d,95.098%,635,12319,12954,11948,247,388,371
0x4482a9,96.0321%,514,12440,12954,662,253,261,11778
0x4442bf,99.0818%,152,16403,16555,61,146,6,16342
0x444b1d,99.0428%,124,12831,12955,11196,29,95,1635
0x4482ae,98.9949%,121,11918,12039,249,84,37,11669
0x446186,99.2821%,93,12861,12954,11290,64,29,1571
0x402ac0,99.9815%,91,491562,491653,430196,63,28,61366
0x44485c,97.5556%,88,3512,3600,2181,34,54,1331
0x445e7b,99.8968%,52,50326,50378,37414,14,38,12912
0x444b92,98.8333%,42,3558,3600,1374,10,32,2184
0x445122,99.6758%,42,12913,12955,923,25,17,11990
0x4442c3,99.8532%,24,16324,16348,382,13,11,15942
0x402a92,99.9988%,24,1974604,1974628,1482959,16,8,491645
0x4443f7,99.8611%,23,16532,16555,16135,6,17,397
0x43ee15,99.8671%,22,16533,16555,16337,11,11,196
0x4451ae,99.8732%,21,16534,16555,1178,16,5,15356
0x4449b0,99.8338%,21,12614,12635,143,15,6,12471
0x444b75,99.9008%,20,20135,20155,3589,11,9,16546
0x44492c,99.9008%,20,20135,20155,7192,8,12,12943
0x444970,99.8842%,15,12940,12955,150,12,3,12790
0x40d805,99.9988%,14,1162544,1162558,1017230,9,5,145314
0x444514,99.9215%,13,16542,16555,12947,8,5,3595
0x4442e5,99.9238%,12,15739,15751,385,5,7,15354
0x444991,99.9305%,9,12946,12955,315,5,4,12631
0x446691,99.6265%,8,2134,2142,2134,2,6,0
