Branch PC,Accuracy,Mispredictions,Correct Predictions,Total,dir_t_pred_t,dir_t_pred_nt,dir_nt_pred_t,dir_nt_pred_nt
aggregate,94.842%,945316,17381935,18327251,11512357,452593,492723,5869578
0x8816ab,77.9565%,244469,864561,1109030,715913,74230,170239,148648
0x8816d7,88.0144%,132924,976105,1109029,738374,55754,77170,237731
0x88382c,88.1693%,68247,508617,576864,235522,25576,42671,273095
0x880b51,88.6656%,67506,528078,595584,278242,33904,33602,249836
0x880b6b,89.7504%,61045,534539,595584,245664,31069,29976,288875
0x880bd4,90.6151%,55895,539689,595584,96166,40204,15691,443523
0x880bbe,90.6893%,55453,540131,595584,94106,41714,13739,446025
0x88387f,91.3765%,49746,527118,576864,67670,42372,7374,459448
0x883895,91.4496%,49324,527540,576864,68187,40920,8404,459353
0x880b94,91.9326%,48048,547536,595584,224524,21219,26829,323012
0x883859,92.6047%,42661,534203,576864,250520,8572,34089,283683
0x8823fb,93.5608%,38759,563161,601920,280650,18931,19828,282511
0x8834eb,97.8484%,10776,490056,500832,79233,5447,5329,410823
0x88a4b4,93.6943%,9389,139507,148896,2066,7951,1438,137441
0x88a4ba,95.9576%,5614,133265,138879,66355,2744,2870,66910
0x883812,99.8032%,1135,575729,576864,288925,535,600,286804
0x881711,99.9668%,368,1108662,1109030,1105347,161,207,3315
0x880b7e,99.9542%,273,595311,595584,283318,120,153,311993
0x88448d,95.8063%,168,3838,4006,3428,50,118,410
0x88383f,99.978%,127,576737,576864,287366,38,89,289371
0xa76a95,86.9383%,125,832,957,413,49,76,419
0xa7838e,98.9278%,119,10980,11099,10481,13,106,499
0x8807ce,95.4125%,109,2267,2376,468,56,53,1799
0x880795,95.7071%,102,2274,2376,1137,51,51,1137
0x8809be,95.9596%,96,2280,2376,640,50,46,1640
0x88075b,95.9596%,96,2280,2376,817,51,45,1463
0x880931,96.0438%,94,2282,2376,936,43,51,1346
0x880741,96.0859%,93,2283,2376,1058,52,41,1225
0x880985,96.5067%,83,2293,2376,1056,36,47,1237
0x88094b,96.8013%,76,2300,2376,914,39,37,1386
0x883f64,98.2507%,72,4044,4116,4000,6,66,44
0xa77ea3,91.8415%,70,788,858,365,31,39,423
0x8809a8,97.3906%,62,2314,2376,336,40,22,1978
0x884c1f,99.1965%,58,7160,7218,7130,11,47,30
0x8807b8,97.6431%,56,2320,2376,506,29,27,1814
0x880384,93.5606%,51,741,792,327,24,27,414
0x88298a,98.8038%,50,4130,4180,4130,6,44,0
0x8803ba,93.9394%,48,744,792,295,23,25,449
0x882498,98.8517%,48,4132,4180,4123,13,35,9
0x8803f3,94.1919%,46,746,792,287,25,21,459
0x880c14,98.8878%,46,4090,4136,4090,2,44,0
0xa7807b,90.4863%,45,428,473,407,0,45,21
0x8809e7,98.1061%,45,2331,2376,2330,13,32,1
0x881e08,98.9474%,44,4136,4180,4136,0,44,0
0x881d35,98.9474%,44,4136,4180,4136,0,44,0
0x8803dd,94.5707%,43,749,792,143,21,22,606
0x880269,98.9845%,42,4094,4136,4090,2,40,4
0x886899,99.9434%,41,72339,72380,70296,16,25,2043
0x8805dc,94.9495%,40,752,792,141,26,14,611
0x880361,94.9495%,40,752,792,307,23,17,445
0xa77e20,95.8203%,40,917,957,835,23,17,82
0x883f3f,99.5012%,36,7182,7218,3086,16,20,4096
0x884521,99.9527%,36,75996,76032,75503,1,35,493
0x8861c5,98.9039%,34,3068,3102,3068,1,33,0
0xa77fb5,97.8811%,31,1432,1463,934,23,8,498
0x880a5f,98.7374%,30,2346,2376,2342,1,29,4
0x880584,96.2121%,30,762,792,335,14,16,427
0x88056a,96.4646%,28,764,792,423,17,11,341
0x8805bd,96.4646%,28,764,792,392,2,26,372
0x88b93a,97.4163%,27,1018,1045,704,11,16,314
0x8807f7,99.032%,23,2353,2376,2343,0,23,10
0x88a0ba,97.7756%,23,1011,1034,693,11,12,318
0xa785f9,95.5556%,22,473,495,396,0,22,77
0x8869ae,98.9362%,22,2046,2068,2046,0,22,0
0xa7801b,95.7576%,21,474,495,472,1,20,2
0x88b7e2,99.9442%,21,37599,37620,36559,16,5,1040
0x88b96c,99.9558%,21,47499,47520,47189,1,20,310
0x88a9ca,99.9747%,19,75221,75240,74188,7,12,1033
0x8805f2,97.601%,19,773,792,36,13,6,737
0x88048c,97.8535%,17,775,792,775,6,11,0
0x88fbde,99.9548%,17,37603,37620,36571,4,13,1032
0xa7827d,98.4067%,17,1050,1067,106,15,2,944
0x88041c,97.8535%,17,775,792,775,6,11,0
0xa78514,96.5368%,16,446,462,32,12,4,414
0x88fcea,99.053%,15,1569,1584,1569,4,11,0
0x88bccb,99.9801%,15,75225,75240,74191,4,11,1034
0x8801eb,99.9899%,15,148881,148896,144756,4,11,4125
0x88a4ff,98.646%,14,1020,1034,1020,3,11,0
0xa78296,97.1074%,14,470,484,385,11,3,85
0x88a011,98.7427%,13,1021,1034,1021,2,11,0
0xa7800a,97.4308%,13,493,506,0,11,2,493
0x889b6d,98.3355%,13,768,781,768,2,11,0
0x88ad4e,99.9684%,12,38004,38016,36959,1,11,1045
0x88ff7a,99.2424%,12,1572,1584,1572,1,11,0
0x88bf72,98.8395%,12,1022,1034,1022,1,11,0
0x890509,98.8636%,12,1044,1056,1044,1,11,0
0x88b893,98.8517%,12,1033,1045,1033,1,11,0
0x88e242,98.8868%,12,1066,1078,1066,1,11,0
