Branch PC,Accuracy,Mispredictions,Correct Predictions,Total,dir_t_pred_t,dir_t_pred_nt,dir_nt_pred_t,dir_nt_pred_nt
aggregate,99.7719%,65003,28433604,28498607,23913088,26935,38068,4520516
0x78afb8,97.9321%,1072,50768,51840,49158,379,693,1610
0x87dd1c,95.8915%,1041,24297,25338,6322,442,599,17975
0x87a868,95.9954%,1038,24882,25920,18854,560,478,6028
0x8739c4,96.1574%,996,24924,25920,22533,436,560,2391
0x873a36,96.1651%,994,24926,25920,22502,467,527,2424
0x873961,96.2114%,982,24938,25920,21603,446,536,3335
0x873ae4,96.3927%,935,24985,25920,22537,432,503,2448
0x8e376d,98.1055%,924,47848,48772,47373,29,895,475
0x873b84,96.4622%,917,25003,25920,2438,513,404,22565
0x873b44,96.5008%,907,25013,25920,2447,504,403,22566
0x873bc4,96.5123%,904,25016,25920,2463,488,416,22553
0x873c1c,97.2994%,700,25220,25920,24757,180,520,463
0x7803bc,91.071%,682,6956,7638,6267,251,431,689
0x873783,97.6003%,622,25298,25920,906,383,239,24392
0x873825,97.6466%,610,25310,25920,24407,224,386,903
0x873905,97.6775%,602,25318,25920,24393,238,364,925
0x873664,97.7353%,587,25333,25920,24379,252,335,954
0x8736e4,97.7662%,579,25341,25920,24401,230,349,940
0x873883,97.7739%,577,25343,25920,942,347,230,24401
0x8e36ee,99.9055%,513,542555,543068,494099,197,316,48456
0x86da87,99.525%,474,99318,99792,75716,244,230,23602
0x780705,98.1795%,464,25024,25488,17824,269,195,7200
0x64a9f8,99.2052%,459,57291,57750,19610,268,191,37681
0x780378,98.207%,457,25031,25488,17544,306,151,7487
0x77e313,99.1377%,447,51393,51840,36590,215,232,14803
0x86de67,99.5541%,445,99347,99792,75090,237,208,24257
0x77e3c3,99.1454%,443,51397,51840,36593,212,231,14804
0x77e263,99.1628%,434,51406,51840,36577,228,206,14829
0x77e1b3,99.1802%,425,51415,51840,36588,217,208,14827
0x77e124,99.296%,361,50914,51275,14873,162,199,36041
