Branch PC,Accuracy,Mispredictions,Correct Predictions,Total,dir_t_pred_t,dir_t_pred_nt,dir_nt_pred_t,dir_nt_pred_nt
aggregate,96.2846%,722307,18718439,19440746,9764685,342662,379645,8953754
0x403465,94.4523%,34750,591631,626381,283901,17874,16876,307730
0x403479,95.1625%,26309,517550,543859,206326,12927,13382,311224
0x4013c9,81.6875%,18083,80664,98747,53393,8460,9623,27271
0x40db09,92.6759%,15352,194258,209610,10212,11757,3595,184046
0x407276,86.3304%,13658,86257,99915,24208,8426,5232,62049
0x40140c,86.3976%,13432,85315,98747,54270,5422,8010,31045
0x401427,88.5637%,11293,87454,98747,63284,4445,6848,24170
0x40cc63,69.978%,10517,24514,35031,10066,5642,4875,14448
0x4013e7,89.3637%,10503,88244,98747,72037,4273,6230,16207
0x40abd3,90.6945%,10187,99286,109473,84946,3121,7066,14340
0x40111c,89.3532%,10013,84034,94047,72451,3132,6881,11583
0x40ca35,85.8902%,9764,59436,69200,58088,1202,8562,1348
0x40f888,90.8017%,9083,89664,98747,16523,5620,3463,73141
0x40ad24,89.9065%,9025,80389,89414,36882,4444,4581,43507
0x407638,91.9445%,8916,101766,110682,76643,3678,5238,25123
0x40d488,87.0241%,8905,59722,68627,52074,3040,5865,7648
0x4064ec,80.6657%,8371,34925,43296,17973,3900,4471,16952
0x40acfb,90.9858%,8082,81577,89659,54674,3876,4206,26903
0x4101b1,85.0412%,8001,45486,53487,8794,5010,2991,36692
0x40ab55,93.067%,7555,101417,108972,36695,4629,2926,64722
0x401148,90.5231%,7464,71296,78760,60549,2337,5127,10747
0x40dba7,96.5561%,7274,203942,211216,201887,1102,6172,2055
0x40117c,89.6026%,7167,61764,68931,54421,2424,4743,7343
0x40d4a6,66.7631%,7121,14304,21425,7684,2944,4177,6620
0x40658c,82.4824%,6279,29565,35844,24995,2074,4205,4570
0x40fa66,90.7099%,5830,56925,62755,23019,2921,2909,33906
0x40f8e5,94.42%,5722,96822,102544,64757,2608,3114,32065
0x403789,89.3251%,5716,47830,53546,39860,2071,3645,7970
0x40ca68,91.7977%,5676,63524,69200,57997,1617,4059,5527
0x40c8fd,90.7422%,5586,54752,60338,29017,2707,2879,25735
0x40d3ef,81.1651%,5170,22279,27449,10253,2799,2371,12026
0x405e82,92.4401%,5030,61505,66535,54994,1848,3182,6511
0x40d163,76.4009%,5020,16252,21272,6530,2671,2349,9722
0x406d3a,84.2699%,4896,26229,31125,21486,1854,3042,4743
0x401238,93.3386%,4823,67579,72402,61701,1559,3264,5878
0x407085,84.3066%,4765,25598,30363,13639,2440,2325,11959
0x406eb1,95.7149%,4743,105942,110685,27655,2709,2034,78287
0x40c6f9,90.423%,4684,44225,48909,39036,1732,2952,5189
0x407122,95.8585%,4584,106101,110685,56454,2297,2287,49647
0x401260,93.0231%,4531,60412,64943,53383,1604,2927,7029
0x406522,84.2505%,4462,23869,28331,3967,2941,1521,19902
0x40ad00,92.7636%,4184,53635,57819,6747,2984,1200,46888
