Branch PC,Accuracy,Mispredictions,Correct Predictions,Total,dir_t_pred_t,dir_t_pred_nt,dir_nt_pred_t,dir_nt_pred_nt
aggregate,99.9996%,85,20699412,20699497,13756590,47,38,6942822
0x4a7e96,95.5197%,25,533,558,150,12,13,383
0x4a8634,96.2366%,21,537,558,207,11,10,330
0x4a85f8,96.4158%,20,538,558,174,12,8,364
0x4a8c84,97.491%,14,544,558,447,8,6,97
0x4a7ea7,99.4949%,2,394,396,394,1,1,0
0x4a8641,99.7059%,1,339,340,339,1,0,0
0x4a7865,99.8208%,1,557,558,557,1,0,0
0x4a8c90,99.0291%,1,102,103,102,1,0,0
0x4a8660,100%,0,558,558,558,0,0,0
0x4a88ba,100%,0,558,558,0,0,0,558
0x4a7e52,100%,0,61934,61934,61376,0,0,558
0x4a895d,100%,0,558,558,558,0,0,0
0x4a8998,100%,0,558,558,0,0,0,558
0x4a88c0,100%,0,558,558,558,0,0,0
0x4a8624,100%,0,558,558,0,0,0,558
0x4a78d8,100%,0,558,558,558,0,0,0
0x4a85e8,100%,0,558,558,0,0,0,558
0x4a7d53,100%,0,558,558,0,0,0,558
0x4a8605,100%,0,372,372,372,0,0,0
0x4a7e39,100%,0,6874692,6874692,6812758,0,0,61934
0x4a7e0d,100%,0,6874692,6874692,6874692,0,0,0
0x4a78b4,100%,0,558,558,558,0,0,0
0x4a7e82,100%,0,558,558,0,0,0,558
0x4a7db9,100%,0,6874692,6874692,0,0,0,6874692
0x4a89d0,100%,0,558,558,558,0,0,0
0x4a8d18,100%,0,558,558,558,0,0,0
0x4a790a,100%,0,558,558,558,0,0,0
0x4a7be0,100%,0,558,558,0,0,0,558
0x4a7beb,100%,0,558,558,558,0,0,0
0x4a7d5c,100%,0,558,558,0,0,0,558
