Branch PC,Accuracy,Mispredictions,Correct Predictions,Total,dir_t_pred_t,dir_t_pred_nt,dir_nt_pred_t,dir_nt_pred_nt
aggregate,89.9351%,2003032,17898223,19901255,9247429,748984,1254048,8650794
0x40cc3f,75.3283%,100470,306758,407228,182233,45482,54988,124525
0x4164ea,89.7285%,90965,794643,885608,109210,63672,27293,685433
0x41683b,49.7377%,90362,89419,179781,43404,46899,43463,46015
0x40bda5,79.3206%,74872,287188,362060,258185,12633,62239,29003
0x40cf70,69.9562%,63968,148948,212916,129359,12459,51509,19589
0x40bbbf,63.6191%,62208,108783,170991,56905,30124,32084,51878
0x40f6e4,66.9057%,61143,123611,184754,74581,25721,35422,49030
0x40f70f,69.0248%,57228,127526,184754,108304,11945,45283,19222
0x40c966,68.1849%,56482,121050,177532,58064,28241,28241,62986
0x40971d,79.8419%,53716,212758,266474,159600,17892,35824,53158
0x40f73a,72.773%,50303,134451,184754,119878,9599,40704,14573
0x40f765,76.3816%,43636,141118,184754,124757,9080,34556,16361
0x416416,76.6839%,41820,137541,179361,104971,16812,25008,32570
0x40bbb6,86.3734%,39110,247902,287012,91161,24860,14250,156741
0x41651f,78.9743%,38846,145909,184755,127633,5858,32988,18276
0x40cfb4,74.8622%,38314,114102,152416,106314,5803,32511,7788
0x416298,69.5926%,34897,79868,114765,14424,28935,5962,65444
0x409544,77.2683%,33720,114619,148339,10478,25800,7920,104141
0x40cdd3,90.413%,28340,267268,295608,212610,5455,22885,54658
0x416558,85.4129%,27211,159331,186542,122472,6338,20873,36859
0x402e0b,70.0031%,25881,60398,86279,22872,13286,12595,37526
0x40b6d4,79.8775%,25681,101942,127623,93079,5331,20350,8863
0x40b676,80.212%,25254,102369,127623,92435,5189,20065,9934
0x40cff1,79.0712%,25206,95231,120437,91277,2352,22854,3954
0x40b734,80.3131%,25125,102498,127623,94454,4201,20924,8044
0x40b796,80.9627%,24296,103327,127623,42952,11362,12934,60375
0x40ccb5,87.805%,23997,172780,196777,166325,3554,20443,6455
0x40b5f6,81.3302%,23827,103796,127623,91871,5296,18531,11925
0x40be17,74.0942%,23637,67605,91242,61228,3700,19937,6377
0x40bc9b,68.0252%,23387,49755,73142,19461,13133,10254,30294
0x40f088,72.2633%,20498,53404,73902,38148,6966,13532,15256
0x409489,72.715%,20398,54361,74759,2188,17859,2539,52173
0x40ef5c,72.8208%,20086,53816,73902,45912,4693,15393,7904
0x40cc72,78.6426%,19513,71851,91364,35244,5488,14025,36607
0x40d02e,80.4274%,19483,80059,99542,76823,3021,16462,3236
0x40f024,74.6137%,18761,55141,73902,40465,5412,13349,14676
0x40f056,75.7219%,17942,55960,73902,43419,5624,12318,12541
0x40cded,77.3468%,17566,59977,77543,58005,1596,15970,1972
0x40efc0,77.4769%,16645,57257,73902,45307,4850,11795,11950
0x4094d0,79.2747%,15494,59265,74759,3970,12236,3258,55295
0x40f0ba,80.0019%,14779,59123,73902,44018,4840,9939,15105
