Branch PC,Accuracy,Mispredictions,Correct Predictions,Total,dir_t_pred_t,dir_t_pred_nt,dir_nt_pred_t,dir_nt_pred_nt
aggregate,98.4787%,384436,24885781,25270217,10973600,224066,160370,13912181
0x40a333,97.0496%,99524,3273746,3373270,2948159,48939,50585,325587
0x40a326,97.4738%,87437,3373750,3461187,2040,85877,1560,3371710
0x40a19a,93.7497%,83019,1245214,1328233,824541,37920,45099,420673
0x40a293,91.3572%,28175,297820,325995,197568,13196,14979,100252
0x40a206,95.9122%,26400,619417,645817,564400,9799,16601,55017
0x40a0a1,96.8535%,18327,564135,582462,532522,6486,11841,31613
0x40a074,99.1246%,11630,1316867,1328497,101792,5721,5909,1215075
0x40a1d7,99.3189%,9049,1319448,1328497,101927,5586,3463,1217521
0x40a079,99.2803%,8787,1212197,1220984,635378,3144,5643,576819
0x40a19f,98.9604%,4842,460930,465772,227526,2375,2467,233404
0x40a309,99.8871%,3906,3457281,3461187,794,3767,139,3456487
0x40a2a1,98.7443%,1447,113784,115231,92684,557,890,21100
0x40a2c1,99.832%,391,232363,232754,232135,91,300,228
0x40a275,99.9034%,315,325680,325995,105,189,126,325575
0x409792,99.8833%,276,236216,236492,236216,12,264,0
0x4097db,99.8814%,271,228203,228474,228203,7,264,0
0x40a106,99.9801%,264,1328233,1328497,0,264,0,1328233
0x47107e,96.2496%,214,5492,5706,5377,66,148,115
0x40a1dc,99.9895%,128,1220856,1220984,575115,52,76,645741
0x40a213,99.9935%,7,107506,107513,107506,7,0,0
0x40a2ee,99.9987%,6,464611,464617,527,0,6,464084
0x40a258,99.9983%,4,232750,232754,232750,4,0,0
0x471076,99.9449%,3,5440,5443,0,0,3,5440
0x40a176,99.9998%,3,1328230,1328233,1328230,3,0,0
0x40a34e,99.9994%,3,464613,464616,464086,3,0,527
0x40a0b3,99.9981%,2,107511,107513,0,0,2,107511
0x470c98,99.6198%,1,262,263,0,0,1,262
0x471278,99.6198%,1,262,263,262,1,0,0
0x40a235,99.8106%,1,527,528,0,0,1,527
0x47122b,99.6198%,1,262,263,0,0,1,262
0x471d30,99.6198%,1,262,263,0,0,1,262
0x4712cc,99.6198%,1,262,263,0,0,1,262
0x472c27,100%,0,263,263,0,0,0,263
0x471087,100%,0,263,263,263,0,0,0
0x470cd7,100%,0,263,263,263,0,0,0
0x470ba4,100%,0,263,263,0,0,0,263
0x472c1b,100%,0,263,263,0,0,0,263
0x47126e,100%,0,263,263,263,0,0,0
0x472c0c,100%,0,263,263,263,0,0,0
0x472c03,100%,0,263,263,0,0,0,263
0x470bb2,100%,0,263,263,263,0,0,0
0x470ca5,100%,0,526,526,263,0,0,263
0x470cc6,100%,0,263,263,0,0,0,263
0x471d21,100%,0,263,263,0,0,0,263
0x470d0b,100%,0,263,263,263,0,0,0
0x470ced,100%,0,263,263,0,0,0,263
0x470ee3,100%,0,263,263,263,0,0,0
0x471d37,100%,0,263,263,0,0,0,263
0x470b93,100%,0,263,263,0,0,0,263
0x471264,100%,0,263,263,0,0,0,263
0x47124f,100%,0,263,263,0,0,0,263
0x471245,100%,0,263,263,0,0,0,263
0x4712f6,100%,0,263,263,0,0,0,263
0x4712e9,100%,0,263,263,263,0,0,0
0x470d6b,100%,0,263,263,263,0,0,0
0x40a116,100%,0,1328233,1328233,1328233,0,0,0
0x4097f4,100%,0,264,264,264,0,0,0
0x4096d7,100%,0,263,263,263,0,0,0
0x471100,100%,0,263,263,263,0,0,0
0x472c30,100%,0,263,263,0,0,0,263
0x40973f,100%,0,263,263,0,0,0,263
0x470a6a,100%,0,263,263,0,0,0,263
0x470d26,100%,0,263,263,263,0,0,0
0x472c35,100%,0,263,263,0,0,0,263
0x4097ac,100%,0,264,264,0,0,0,264
0x472bec,100%,0,263,263,0,0,0,263
0x40979a,100%,0,264,264,0,0,0,264
0x472bb3,100%,0,263,263,0,0,0,263
0x470b10,100%,0,263,263,263,0,0,0
0x470f6d,100%,0,263,263,263,0,0,0
0x409775,100%,0,263,263,0,0,0,263
0x470b6d,100%,0,263,263,0,0,0,263
0x470e13,100%,0,263,263,263,0,0,0
0x470f14,100%,0,263,263,263,0,0,0
0x472bc7,100%,0,263,263,0,0,0,263
0x470cfa,100%,0,263,263,0,0,0,263
0x413f2b,100%,0,263,263,0,0,0,263
0x472bdb,100%,0,263,263,263,0,0,0
0x40a2c6,100%,0,528,528,0,0,0,528
0x470cb9,100%,0,263,263,0,0,0,263
0x470a95,100%,0,263,263,263,0,0,0
0x470f36,100%,0,263,263,263,0,0,0
