Branch PC,Accuracy,Mispredictions,Correct Predictions,Total,dir_t_pred_t,dir_t_pred_nt,dir_nt_pred_t,dir_nt_pred_nt
aggregate,91.7568%,1743795,19410529,21154324,9860571,719996,1023799,9549958
0x40e097,89.8691%,198379,1759776,1958155,1673358,40039,158340,86418
0x40dc85,85.777%,174053,1049693,1223746,859696,79835,94218,189997
0x40dcd3,65.6288%,143968,274894,418862,141741,71853,72115,133153
0x41348c,66.9658%,131984,267553,399537,112018,69955,62029,155535
0x40e09f,71.377%,102049,254479,356528,136125,50674,51375,118354
0x40dc48,79.4091%,86642,334137,420779,94163,40484,46158,239974
0x40dd12,80.9703%,79693,339090,418783,324843,9684,70009,14247
0x40e06b,82.1222%,74197,340827,415024,71336,40434,33763,269491
0x40d87e,73.4128%,57302,158223,215525,68101,27794,29508,90122
0x413463,85.6662%,57269,342268,399537,253223,18645,38624,89045
0x4138a7,79.3904%,44839,172725,217564,106710,23151,21688,66015
0x4134df,84.8606%,40004,224234,264238,212263,5158,34846,11971
0x40f3f7,91.3988%,38472,408816,447288,395158,7568,30904,13658
0x4133ac,91.7397%,33003,366534,399537,310968,13465,19538,55566
0x413116,63.9533%,31614,56089,87703,47959,7119,24495,8130
0x41213b,68.2727%,29915,64373,94288,52448,8453,21462,11925
0x412447,69.0364%,29195,65093,94288,56523,6384,22811,8570
0x4132d2,59.1438%,28706,41555,70261,25900,12148,16558,15655
0x412969,93.6845%,23819,353333,377152,316805,324,23495,36528
0x40e0ea,93.3426%,23726,332660,356386,327210,3427,20299,5450
0x40d823,76.5858%,23299,76209,99508,6378,19188,4111,69831
0x40e083,99.0431%,19298,1997353,2016651,40585,17911,1387,1956768
0x4124e1,79.6443%,19193,75095,94288,48047,9929,9264,27048
0x40d7ed,80.9784%,18928,80580,99508,1310,17561,1367,79270
0x412979,70.2414%,17862,42161,60023,26574,7695,10167,15587
0x40f53e,96.1224%,17344,429944,447288,418780,1447,15897,11164
0x41299b,74.9555%,15898,47581,63479,16162,9586,6312,31419
0x40f407,64.9006%,15641,28921,44562,509,14827,814,28412
0x40dc98,94.6815%,15218,270914,286132,171385,6502,8716,99529
0x40dbe4,88.3733%,11510,87486,98996,4085,8658,2852,83401
0x40ed1c,67.2333%,8867,18194,27061,2351,7229,1638,15843
0x41331b,92.5961%,7795,97488,105283,12934,4646,3149,84554
0x4133ca,97.6975%,7470,316963,324433,11268,6986,484,305695
0x412c2b,82.5449%,6815,32228,39043,22905,2746,4069,9323
0x410177,81.8931%,6506,29425,35931,22247,2365,4141,7178
0x40d837,91.2526%,6468,67474,73942,1550,5361,1107,65924
0x41261e,84.631%,5219,28739,33958,28143,516,4703,596
0x411f39,63.3946%,5079,8796,13875,7532,893,4186,1264
0x40fe98,70.4877%,4490,10724,15214,3208,2439,2051,7516
0x41214f,86.3212%,4276,26984,31260,2437,3317,959,24547
0x410181,67.8697%,3935,8312,12247,3643,2006,1929,4669
0x4130f4,95.9327%,3835,90453,94288,3852,2733,1102,86601
0x4121a1,94.0868%,3522,56040,59562,54675,540,2982,1365
0x41002c,81.1551%,2842,12239,15081,11767,480,2362,472
0x4110ce,89.6641%,2797,24264,27061,21146,697,2100,3118
0x40e2ec,97.1051%,2460,82517,84977,82477,69,2391,40
0x413961,90.0438%,2412,21814,24226,21762,81,2331,52
0x40b207,94.7805%,2381,43236,45617,23,2367,14,43213
0x412bb4,96.2731%,2366,61119,63485,57726,775,1591,3393
0x40ed56,86.86%,2297,15184,17481,14924,290,2007,260
0x41366d,72.9167%,2171,5845,8016,4515,576,1595,1330
0x412143,93.6023%,2136,31251,33387,4,2123,13,31247
0x4102ad,89.8248%,1737,15334,17071,2459,1594,143,12875
0x4137bc,80.7064%,1677,7015,8692,5443,387,1290,1572
0x40ee73,84.666%,1469,8111,9580,5216,693,776,2895
0x4110e7,72.0008%,1461,3757,5218,3285,351,1110,472
0x40dc75,99.8823%,1443,1224220,1225663,593,1324,119,1223627
0x412096,98.4897%,1424,92864,94288,92863,13,1411,1
0x4121cd,70.7439%,1349,3262,4611,2400,523,826,862
0x411f45,75.4862%,1336,4114,5450,2556,516,820,1558
0x4105c9,93.0936%,1179,15892,17071,4,1133,46,15888
0x412bd9,98.1696%,1162,62323,63485,37403,328,834,24920
0x411e72,92.1153%,1094,12781,13875,10742,295,799,2039
0x4100c5,61.8913%,1080,1754,2834,483,660,420,1271
0x411c5c,71.9601%,1040,2669,3709,1444,387,653,1225
0x41254e,96.8539%,1034,31832,32866,30388,363,671,1444
0x41316e,96.8337%,1033,31592,32625,2,1016,17,31590
0x41011f,92.0225%,977,11270,12247,36,892,85,11234
0x4100bf,75.2776%,935,2847,3782,932,440,495,1915
0x411c2b,63.3764%,935,1618,2553,508,442,493,1110
0x4114bc,83.4259%,865,4354,5219,4177,213,652,177
0x4138ff,96.479%,853,23373,24226,23367,52,801,6
0x413837,89.3962%,850,7166,8016,3890,162,688,3276
0x4121f1,69.7223%,796,1833,2629,482,459,337,1351
0x40f0b8,92.0564%,761,8819,9580,1500,320,441,7319
0x410378,82.112%,725,3328,4053,1678,91,634,1650
0x412018,99.3752%,604,96068,96672,396,405,199,95672
0x40e01b,99.2975%,597,84380,84977,62,528,69,84318
0x411c32,76.1745%,568,1816,2384,94,412,156,1722
