Branch PC,Accuracy,Mispredictions,Correct Predictions,Total,dir_t_pred_t,dir_t_pred_nt,dir_nt_pred_t,dir_nt_pred_nt
aggregate,99.0896%,178651,19445467,19624118,7912830,66191,112460,11532637
0x4bedf9,85.4951%,108617,640212,748829,469409,33552,75065,170803
0x4c5c06,82.529%,13347,63048,76395,53323,3906,9441,9725
0x4c8761,96.0018%,13003,312217,325220,47642,3320,9683,264575
0x4bf7d5,98.1655%,5965,319194,325159,0,5959,6,319194
0x50fc12,96.4786%,5335,146167,151502,388,5040,295,145779
0x4c5c31,76.2152%,4257,13641,17898,9606,1223,3034,4035
0x4be97a,60.6584%,2892,4459,7351,3472,872,2020,987
0x4bf7d9,99.2751%,2314,316886,319200,316885,6,2308,1
0x4c6bb0,99.0803%,2189,235830,238019,40,2169,20,235790
0x4c2680,85.0976%,2054,11729,13783,1754,1944,110,9975
0x4bdcfc,92.3373%,1655,19943,21598,18056,289,1366,1887
0x4cb4c0,87.5062%,1515,10611,12126,7440,700,815,3171
0x4ba40c,92.8741%,1444,18820,20264,16866,144,1300,1954
0x4c6bb9,99.4144%,1381,234429,235810,234407,13,1368,22
0x50feb6,94.5127%,1314,22632,23946,7818,1230,84,14814
0x4cbcb0,84.6722%,1141,6303,7444,3923,494,647,2380
0x4c5c1f,94.7366%,993,17873,18866,44,924,69,17829
0x50fe02,89.0498%,847,6888,7735,6877,45,802,11
0x4bf8b4,99.7921%,676,324482,325158,322745,68,608,1737
0x4bedd7,99.9178%,616,748828,749444,0,615,1,748828
0x4c7ef0,92.7874%,539,6934,7473,6543,61,478,391
0x4c9fcb,94.8718%,460,8510,8970,1934,342,118,6576
0x4be9c1,86.5457%,430,2766,3196,2752,11,419,14
0x50fcd4,98.1277%,339,17767,18106,0,328,11,17767
0x4c5c18,98.3565%,315,18851,19166,18,282,33,18833
0x50fec1,98.2011%,268,14630,14898,3476,234,34,11154
0x4c5c38,96.52%,246,6823,7069,35,203,43,6788
0x4ca08a,99.9508%,244,495206,495450,319009,102,142,176197
0x4cbcea,88.3681%,201,1527,1728,106,175,26,1421
0x47b38c,85.4815%,196,1154,1350,0,193,3,1154
0x4c5929,99.759%,185,76586,76771,76349,48,137,237
0x4ba510,81.4774%,168,739,907,177,87,81,562
0x50fc1e,99.8898%,161,145913,146074,145887,33,128,26
0x4c64da,99.8917%,151,139297,139448,74608,61,90,64689
0x4c4407,99.3115%,148,21347,21495,21166,1,147,181
0x4c02ce,77.3984%,139,476,615,91,66,73,385
0x4c57c3,94.4996%,133,2285,2418,2284,10,123,1
0x4c4988,92.3611%,132,1596,1728,589,102,30,1007
0x4b8dbd,91.6883%,96,1059,1155,900,33,63,159
0x4c466b,99.9742%,84,325136,325220,548,32,52,324588
0x4ca0c8,99.9529%,83,176256,176339,154209,43,40,22047
0x4761b1,67.4603%,82,170,252,166,27,55,4
0x50fe76,93.1756%,75,1024,1099,328,45,30,696
0x418b3c,90.9646%,74,745,819,743,13,61,2
0x50fcff,99.5913%,74,18032,18106,18032,8,66,0
0x50fcf7,85.9838%,52,319,371,4,39,13,315
0x4c5c90,88.2212%,49,367,416,3,39,10,364
0x4bf6d4,99.3721%,46,7280,7326,7280,9,37,0
0x4ba887,99.9161%,40,47634,47674,47634,1,39,0
0x4c9ecc,99.5764%,38,8932,8970,7353,29,9,1579
0x50fb20,99.3449%,37,5611,5648,43,23,14,5568
0x4b9f2e,98.8937%,36,3218,3254,1121,20,16,2097
0x5114de,99.9897%,33,319084,319117,319084,33,0,0
0x4bddbd,99.8894%,32,28893,28925,28893,6,26,0
