Branch PC,Accuracy,Mispredictions,Correct Predictions,Total,dir_t_pred_t,dir_t_pred_nt,dir_nt_pred_t,dir_nt_pred_nt
aggregate,99.8927%,41079,38245227,38286306,15489049,11936,29143,22756178
0xa52200,94.8746%,4264,78929,83193,78191,446,3818,738
0xa51c30,94.7154%,3691,66154,69845,65632,368,3323,522
0x40f7c3,99.8774%,3471,2826657,2830128,2354156,1906,1565,472501
0x40d412,89.5986%,2778,23930,26708,21571,927,1851,2359
0xa56750,94.401%,2539,42808,45347,42758,39,2500,50
0xa52180,84.3603%,2292,12363,14655,11972,205,2087,391
0xa51bb0,83.8253%,2000,10365,12365,10090,195,1805,275
0x40d4a5,93.3637%,1731,24353,26084,22477,378,1353,1876
0x40d42e,99.3878%,1572,255217,256789,254988,117,1455,229
0x40e3aa,90.3331%,1541,14400,15941,9808,357,1184,4592
0xa521e4,89.617%,1521,13128,14649,9549,544,977,3579
0xa51c14,89.199%,1335,11025,12360,8036,479,856,2989
0xa566cb,78.385%,1151,4174,5325,3793,287,864,381
0xa521db,71.5776%,1117,2813,3930,589,869,248,2224
0xa51c0b,71.1381%,951,2344,3295,537,683,268,1807
0xa51dc9,92.3749%,768,9304,10072,266,547,221,9038
0xa56891,94.4524%,660,11237,11897,11203,30,630,34
0xa5223c,93.6734%,614,9091,9705,4784,354,260,4307
0xa51c5f,95.1861%,595,11765,12360,9830,145,450,1935
0xa5672f,89.0496%,583,4741,5324,2486,288,295,2255
0xa51d6e,95.5312%,551,11779,12330,6258,362,189,5521
0xa568d2,86.1479%,534,3321,3855,3025,155,379,296
0xa5672b,70.9175%,504,1229,1733,113,376,128,1116
0xa56775,91.3035%,463,4861,5324,3485,89,374,1376
0xa521b4,93.6758%,373,5525,5898,3755,175,198,1770
0xa52640,95.0863%,353,6831,7184,6831,16,337,0
0x40d429,99.8745%,323,257010,257333,257,287,36,256753
0x40e2b0,98.3063%,279,16194,16473,15958,21,258,236
