Branch PC,Accuracy,Mispredictions,Correct Predictions,Total,dir_t_pred_t,dir_t_pred_nt,dir_nt_pred_t,dir_nt_pred_nt
aggregate,99.9637%,9557,26310779,26320336,18543863,3852,5705,7766916
0x42f195,94.9027%,2217,41277,43494,32676,362,1855,8601
0x42fff7,96.0594%,849,20696,21545,588,768,81,20108
0x42e0fa,96.8541%,817,25153,25970,21657,85,732,3496
0x42fe5c,97.3427%,814,29819,30633,27493,282,532,2326
0x430015,97.7796%,493,21710,22203,21470,75,418,240
0x42e6b3,97.4926%,492,19130,19622,5378,315,177,13752
0x42ff97,96.6312%,469,13453,13922,10816,92,377,2637
0x42f14e,99.8365%,352,214875,215227,33001,176,176,181874
0x42e09b,99.9412%,303,515144,515447,488436,132,171,26708
0x42dbb8,88.4553%,287,2199,2486,1000,196,91,1199
0x42ee76,99.9004%,285,285825,286110,6134,184,101,279691
0x42e038,98.976%,270,26097,26367,13408,168,102,12689
0x42ee5d,99.4068%,258,43236,43494,6863,150,108,36373
0x42ee82,99.9475%,147,279645,279792,16300,74,73,263345
0x42edb9,97.7894%,139,6149,6288,420,91,48,5729
0x42ffd6,95.7214%,129,2886,3015,934,66,63,1952
0x42fe64,96.4167%,108,2906,3014,457,59,49,2449
0x42fe4e,97.1466%,86,2928,3014,107,49,37,2821
0x42e575,97.1488%,82,2794,2876,1129,47,35,1665
0x42e130,99.9868%,77,582550,582627,555714,34,43,26836
0x42fe70,97.5116%,75,2939,3014,964,36,39,1975
0x42f10e,99.9983%,64,3793558,3793622,3162550,36,28,631008
0x42ee69,99.8712%,47,36434,36481,22661,31,16,13773
0x42e7b3,99.9364%,43,67529,67572,63856,22,21,3673
0x42ef31,99.9902%,41,416814,416855,373343,18,23,43471
0x42e8e3,99.8178%,39,21362,21401,19381,21,18,1981
0x42acdd,98.9539%,39,3689,3728,1829,19,20,1860
0x42effb,99.967%,35,106126,106161,91369,24,11,14757
0x42e0d6,99.9517%,32,66235,66267,39878,21,11,26357
0x461cae,99.9467%,31,58183,58214,35416,16,15,22767
0x42e317,98.0556%,28,1412,1440,224,20,8,1188
0x461c12,99.9036%,25,25920,25945,5589,15,10,20331
0x42f13c,99.9425%,25,43469,43494,33158,19,6,10311
0x461c0c,99.9547%,23,50742,50765,24809,11,12,25933
0x42f309,99.9988%,22,1866836,1866858,1735599,12,10,131237
0x42e249,99.9889%,20,179962,179982,170930,10,10,9032
0x4074b0,99.0343%,18,1846,1864,1846,1,17,0
0x461c85,99.9355%,16,24804,24820,2030,8,8,22774
0x42f0d5,99.9979%,14,674516,674530,43493,1,13,631023
0x473d85,99.9712%,14,48647,48661,26694,7,7,21953
0x42e938,99.8632%,13,9488,9501,7499,3,10,1989
0x42eeb5,99.9701%,13,43481,43494,20304,2,11,23177
0x42f076,99.9982%,12,670994,671006,600528,9,3,70466
0x42e507,99.9383%,12,19450,19462,14,2,10,19436
0x42f3cb,99.9749%,11,43737,43748,9922,8,3,33815
0x4302e3,99.4936%,11,2161,2172,1326,4,7,835
0x42f0b4,99.9985%,10,674520,674530,321246,2,8,353274
0x42e282,99.3056%,10,1430,1440,17,7,3,1413
0x42f014,99.977%,10,43484,43494,17579,5,5,25905
0x42f04b,99.9886%,8,70461,70469,0,0,8,70461
0x42f158,99.9963%,8,215219,215227,215219,8,0,0
0x42efa1,99.9392%,7,11512,11519,4608,5,2,6904
