Branch PC,Accuracy,Mispredictions,Correct Predictions,Total,dir_t_pred_t,dir_t_pred_nt,dir_nt_pred_t,dir_nt_pred_nt
aggregate,98.6298%,386980,27856039,28243019,18474477,195391,191589,9381562
0x402e07,96.8996%,260767,8150055,8410822,199907,148168,112599,7950148
0x402e9d,86.7716%,65242,427955,493197,331683,16393,48849,96272
0x402dd2,99.3357%,60176,8998475,9058651,8379996,30826,29350,618479
0x40312b,99.9906%,789,8410034,8410823,8410034,0,789,0
0x403104,99.9991%,3,348073,348076,348073,3,0,0
0x41ac56,99.7465%,2,787,789,0,0,2,787
0x402f0a,99.9993%,1,145120,145121,145120,1,0,0
0x41ac99,100%,0,789,789,0,0,0,789
0x41d3b8,100%,0,789,789,0,0,0,789
0x41d36f,100%,0,789,789,0,0,0,789
0x41ac8d,100%,0,789,789,0,0,0,789
0x41acb2,100%,0,789,789,0,0,0,789
0x41d3d1,100%,0,789,789,789,0,0,0
0x41d4c4,100%,0,789,789,789,0,0,0
0x41aca6,100%,0,789,789,0,0,0,789
0x402d83,100%,0,789,789,0,0,0,789
0x41a78a,100%,0,789,789,0,0,0,789
0x41d3fc,100%,0,789,789,0,0,0,789
0x402d4a,100%,0,789,789,0,0,0,789
0x41a88d,100%,0,789,789,0,0,0,789
0x41a830,100%,0,789,789,0,0,0,789
0x41a84a,100%,0,789,789,789,0,0,0
0x41a7b5,100%,0,789,789,0,0,0,789
0x41a9c5,100%,0,789,789,789,0,0,0
0x41ad07,100%,0,789,789,789,0,0,0
0x41d49a,100%,0,789,789,0,0,0,789
0x41accb,100%,0,789,789,0,0,0,789
0x402dde,100%,0,647829,647829,647829,0,0,0
0x402e25,100%,0,348075,348075,0,0,0,348075
0x41d4a4,100%,0,789,789,0,0,0,789
0x41d485,100%,0,789,789,789,0,0,0
0x41d47c,100%,0,789,789,0,0,0,789
0x41d44c,100%,0,789,789,789,0,0,0
0x41d430,100%,0,789,789,789,0,0,0
0x41d423,100%,0,789,789,0,0,0,789
0x41d408,100%,0,789,789,0,0,0,789
0x402c86,100%,0,789,789,789,0,0,0
0x41d3a7,100%,0,789,789,789,0,0,0
0x41a7d5,100%,0,789,789,789,0,0,0
0x402d90,100%,0,789,789,0,0,0,789
0x41d37f,100%,0,789,789,0,0,0,789
0x403167,100%,0,789,789,789,0,0,0
0x41acd8,100%,0,789,789,0,0,0,789
0x41d411,100%,0,789,789,789,0,0,0
0x41ace0,100%,0,789,789,789,0,0,0
0x41d43f,100%,0,789,789,0,0,0,789
0x41acbf,100%,0,789,789,0,0,0,789
0x402e66,100%,0,348076,348076,0,0,0,348076
0x402cbd,100%,0,789,789,789,0,0,0
0x41d393,100%,0,789,789,0,0,0,789
