Branch PC,Accuracy,Mispredictions,Correct Predictions,Total,dir_t_pred_t,dir_t_pred_nt,dir_nt_pred_t,dir_nt_pred_nt
aggregate,97.1471%,765652,26071608,26837260,10110246,436581,329071,15961362
0x471355,73.336%,274749,755664,1030413,206904,182534,92215,548760
0x471357,82.5243%,112015,528960,640975,420355,34841,77174,108605
0x471374,59.0842%,76013,109766,185779,61363,35217,40796,48403
0x471328,95.8556%,45212,1045694,1090906,9345,43408,1804,1036349
0x55bb1a,81.8988%,40821,184694,225515,79411,22952,17869,105283
0x4712b5,88.4169%,35277,269279,304556,252997,7681,27596,16282
0x47139c,96.9555%,31607,1006546,1038153,655,30991,616,1005891
0x55bb07,87.615%,30046,212554,242600,105134,18018,12028,107420
0x55bb3b,87.0428%,15957,107195,123152,53885,7713,8244,53310
0x4712b3,95.648%,15017,330039,345056,33025,7475,7542,297014
0x54ff31,84.7681%,12301,68457,80758,55929,3088,9213,12528
0x471334,99.24%,7890,1030263,1038153,26,7714,176,1030237
0x6408b8,90.7086%,5165,50424,55589,41772,2199,2966,8652
0x47139e,99.5249%,4782,1001725,1006507,993804,646,4136,7921
0x5510fc,97.0712%,4704,155906,160610,38688,2680,2024,117218
0x6291ab,95.0781%,4553,87951,92504,5927,3084,1469,82024
0x54ff6f,95.2054%,3872,76886,80758,44170,2173,1699,32716
0x5557f7,87.2182%,2704,18451,21155,10783,1089,1615,7668
0x64cb0d,92.2828%,2651,31701,34352,2269,2114,537,29432
0x54517e,66.1564%,2410,4711,7121,1439,1484,926,3272
0x416e79,97.9098%,2299,107689,109988,35967,1243,1056,71722
0x5458ae,62.0138%,1875,3061,4936,1525,911,964,1536
0x443f3b,97.4481%,1491,56937,58428,48074,692,799,8863
0x416e82,98.0392%,1427,71351,72778,52217,733,694,19134
0x54536e,79.5205%,1401,5440,6841,972,965,436,4468
0x558424,87.1662%,1240,8422,9662,694,1011,229,7728
0x5500d9,91.3047%,1153,12107,13260,11957,156,997,150
0x5549b7,94.7235%,1064,19101,20165,30,986,78,19071
0x544c93,92.9516%,997,13148,14145,2,966,31,13146
0x54ff95,97.3471%,913,33502,34415,12706,554,359,20796
0x544cc7,93.545%,913,13231,14144,13171,5,908,60
0x558412,92.0999%,898,10469,11367,910,795,103,9559
0x55083d,94.1279%,773,12391,13164,11733,139,634,658
0x550b40,96.4215%,727,19589,20316,2409,610,117,17180
0x55212b,68.3694%,644,1392,2036,665,356,288,727
0x544e70,99.399%,613,101387,102000,100686,294,319,701
0x64e094,93.7617%,567,8522,9089,594,428,139,7928
0x544fa4,99.2817%,505,69795,70300,69409,188,317,386
0x545187,88.4945%,483,3715,4198,3545,68,415,170
0x54519a,83.6469%,478,2445,2923,2309,178,300,136
0x54509a,99.3414%,463,69837,70300,69339,258,205,498
0x55845a,96.0324%,451,10916,11367,9533,129,322,1383
0x545377,91.0481%,439,4465,4904,4368,112,327,97
0x5458b7,82.76%,431,2069,2500,2044,125,306,25
0x4ebf4b,96.8604%,403,12433,12836,503,289,114,11930
0x55bc42,65.839%,399,769,1168,482,221,178,287
0x4168d2,99.4706%,394,74026,74420,48660,96,298,25366
0x55bd8a,57.7297%,391,534,925,357,174,217,177
0x5458ca,84.2365%,384,2052,2436,2006,58,326,46
0x4713c3,96.8898%,375,11682,12057,11570,91,284,112
0x5510f7,99.7889%,341,161175,161516,702,204,137,160473
0x54538a,82.3955%,341,1596,1937,1214,126,215,382
0x5451bf,69.8335%,308,713,1021,596,107,201,117
0x55baa4,55.8273%,307,388,695,285,131,176,103
0x63f854,99.9389%,304,497615,497919,80545,106,198,417070
0x55bd67,57.0413%,302,401,703,45,227,75,356
0x629198,99.678%,299,92563,92862,131,227,72,92432
0x621e8a,99.1516%,292,34124,34416,15144,177,115,18980
0x62204d,99.2262%,267,34240,34507,14880,135,132,19360
0x55bdff,66.8563%,233,470,703,322,128,105,148
0x55bc4f,53.3333%,217,248,465,102,141,76,146
0x55baca,74.9682%,197,590,787,382,74,123,208
0x4ebafe,98.5755%,189,13079,13268,946,123,66,12133
0x55baba,73.8129%,182,513,695,236,95,87,277
0x55b6fc,99.941%,179,303080,303259,56914,86,93,246166
0x4712e1,99.9348%,170,260508,260678,259420,107,63,1088
0x55bde1,59.5855%,156,230,386,196,49,107,34
0x6209cf,99.6709%,155,46938,47093,673,30,125,46265
0x62203c,99.6001%,138,34369,34507,1,79,59,34368
0x55baeb,62.7841%,131,221,352,143,44,87,78
0x5564ba,99.0078%,127,12673,12800,710,73,54,11963
0x55badb,65.1099%,127,237,364,69,96,31,168
0x55bf83,60.5178%,122,187,309,168,37,85,19
0x55be4e,82.0679%,111,508,619,255,35,76,253
0x620af1,99.6717%,110,33391,33501,33391,7,103,0
0x620a9a,99.6896%,104,33397,33501,33397,7,97,0
0x55bc54,54.0541%,102,120,222,62,44,58,58
0x550861,99.2252%,102,13062,13164,11844,28,74,1218
0x55b7b7,99.9586%,102,246157,246259,67494,30,72,178663
0x64cb17,99.6763%,97,29872,29969,20813,67,30,9059
0x471495,56.9507%,96,127,223,85,65,31,42
0x49bf5c,99.7211%,96,34320,34416,34296,10,86,24
0x55ba0a,72.807%,93,249,342,182,39,54,67
0x63fac2,99.9267%,93,126810,126903,80596,55,38,46214
0x550924,99.2906%,91,12736,12827,11563,30,61,1173
0x622005,99.7415%,90,34723,34813,241,65,25,34482
0x55033b,99.5739%,90,21031,21121,74,43,47,20957
0x55bcd7,63.786%,88,155,243,47,47,41,108
0x55b704,99.9647%,87,246172,246259,0,0,87,246172
0x55bf6b,73.1392%,83,226,309,172,43,40,54
0x55ba6a,69.145%,83,186,269,101,47,36,85
0x550535,69.403%,82,186,268,86,31,51,100
0x44403c,99.8734%,80,63111,63191,48729,36,44,14382
0x55b9ef,76.9006%,79,263,342,228,7,72,35
0x621df5,99.9071%,77,82779,82856,34349,67,10,48430
0x5509b3,99.4153%,75,12752,12827,12748,26,49,4
0x55bef3,55.2147%,73,90,163,73,19,54,17
0x53f54d,99.9172%,70,84502,84572,84502,70,0,0
0x55bb26,99.9414%,70,119378,119448,61519,35,35,57859
0x544d7b,99.9353%,66,101934,102000,101934,66,0,0
0x550816,99.5138%,64,13100,13164,13099,12,52,1
0x411c48,99.8119%,63,33438,33501,270,33,30,33168
0x54ff04,99.9245%,61,80696,80757,80696,61,0,0
0x55be55,81.7629%,60,269,329,263,15,45,6
0x4714e8,55.303%,59,73,132,57,19,40,16
0x445101,99.9007%,58,58369,58427,35467,55,3,22902
0x55bdb0,79.9308%,58,231,289,224,17,41,7
0x55bee1,73.4884%,57,158,215,109,40,17,49
0x62205a,99.7076%,57,19435,19492,19433,12,45,2
0x55be29,48.1818%,57,53,110,7,48,9,46
0x620957,99.8811%,56,47037,47093,0,0,56,47037
0x551004,99.9659%,55,161460,161515,0,0,55,161460
0x55b1b1,99.9567%,54,124570,124624,124570,54,0,0
0x5453b5,94.0893%,49,780,829,770,7,42,10
0x55101c,99.9337%,48,72312,72360,72312,48,0,0
0x6209d4,99.9008%,46,46344,46390,46344,46,0,0
0x43b919,99.9456%,46,84526,84572,84526,46,0,0
0x555e9f,99.6575%,45,13092,13137,13092,19,26,0
0x55b7bc,99.9748%,45,178690,178735,0,0,45,178690
0x5501e7,99.5152%,45,9238,9283,9238,11,34,0
0x620b58,99.8687%,44,33457,33501,33438,17,27,19
0x4ea024,99.9502%,44,88339,88383,88339,44,0,0
0x55bed8,79.5349%,44,171,215,3,20,24,168
0x549393,99.6682%,44,13216,13260,13,25,19,13203
0x507575,99.956%,43,97595,97638,0,0,43,97595
0x507664,99.8747%,43,34263,34306,34263,43,0,0
0x53f493,99.9497%,43,85486,85529,85486,43,0,0
0x55631d,99.6809%,42,13122,13164,13122,42,0,0
0x4450e3,99.9315%,40,58387,58427,48727,38,2,9660
0x4ea050,99.9559%,39,88344,88383,0,0,39,88344
0x55bd74,90.9513%,39,392,431,0,37,2,392
0x43b8d4,99.9539%,39,84533,84572,84533,39,0,0
0x623f13,99.9529%,39,82817,82856,0,0,39,82817
0x55bca7,68.0328%,39,83,122,39,24,15,44
0x550fe3,99.9759%,39,161476,161515,161476,39,0,0
0x64cb03,99.8925%,37,34388,34425,50,23,14,34338
0x55b1fe,99.9368%,36,56964,57000,56964,36,0,0
0x443ffe,99.9262%,36,48730,48766,0,0,36,48730
0x63fafe,99.9352%,36,55553,55589,0,0,36,55553
0x411c63,99.8946%,35,33158,33193,33158,1,34,0
0x620b23,66.0194%,35,68,103,66,19,16,2
0x551148,99.9154%,35,41333,41368,41333,35,0,0
